frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.235800,1.129600,37.116785,0.955964,27.517744,0.669806
17,0.300006,6.039500,1.166848,37.203019,0.956618,27.501538,0.668541
18,0.316673,6.337800,1.112896,37.288351,0.956874,27.471392,0.666807
19,0.333340,6.021200,1.155392,37.304728,0.957077,27.434262,0.664586
20,0.350007,5.655200,1.139008,37.353330,0.957362,27.394511,0.662761
21,0.366674,5.737300,0.975584,37.400915,0.957976,27.374060,0.661721
22,0.383341,5.590600,1.346368,37.421282,0.958454,27.339874,0.660613
23,0.400008,5.779500,1.201472,37.486168,0.958920,27.314727,0.658994
24,0.416675,5.780400,1.130016,37.577562,0.959815,27.273502,0.656457
25,0.433342,5.580300,0.977888,37.527716,0.959797,27.245845,0.654422
26,0.450009,5.514900,0.970848,37.569557,0.960114,27.221370,0.653789
27,0.466676,5.570900,0.968576,37.484364,0.959979,27.180981,0.654368
28,0.483343,6.014700,0.970336,37.545069,0.960684,27.162974,0.655424
29,0.500010,5.945900,0.971008,37.606372,0.961394,27.151121,0.656139
30,0.516677,5.913700,1.162336,37.662368,0.961699,27.170612,0.656964
31,0.533344,6.406000,1.177440,37.746260,0.962212,27.212209,0.657984
32,0.550011,5.415800,1.125888,37.705784,0.962471,27.242515,0.659662
33,0.566678,6.437000,1.163936,37.690918,0.962814,27.284177,0.661603
34,0.583345,5.878000,0.981632,37.764944,0.963450,27.330988,0.664797
35,0.600012,6.144100,1.523360,37.902589,0.964128,27.422674,0.670466
36,0.616679,5.760600,1.114080,37.980030,0.964607,27.516172,0.675028
37,0.633346,5.506600,1.160704,37.860067,0.964176,27.602350,0.678554
38,0.650013,5.646800,0.968192,37.835561,0.964536,27.676853,0.684231
39,0.666680,5.959500,0.970816,37.781440,0.964204,27.753427,0.690535
40,0.683347,5.984900,0.972608,37.925029,0.965042,27.834002,0.695601
41,0.700014,5.592200,1.176960,37.908043,0.965319,27.902168,0.702160
