frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.869700,0.963328,37.140010,0.956665,27.517744,0.669806
17,0.300006,5.541600,0.969216,37.215514,0.957214,27.501538,0.668541
18,0.316673,5.381900,1.165600,37.309334,0.957471,27.471392,0.666807
19,0.333340,5.614000,0.964960,37.322222,0.957597,27.434262,0.664586
20,0.350007,5.552300,0.972512,37.377805,0.957945,27.394511,0.662761
21,0.366674,5.523100,1.127136,37.417698,0.958453,27.374060,0.661721
22,0.383341,5.558600,1.126112,37.434739,0.958877,27.339874,0.660613
23,0.400008,5.614100,1.137760,37.504628,0.959263,27.314727,0.658994
24,0.416675,5.571300,1.022528,37.581718,0.960125,27.273502,0.656457
25,0.433342,5.607800,1.131904,37.534861,0.960140,27.245845,0.654422
26,0.450009,5.304100,0.963200,37.585900,0.960476,27.221370,0.653789
27,0.466676,5.497700,1.120320,37.497186,0.960331,27.180981,0.654368
28,0.483343,5.441300,0.963616,37.540430,0.960989,27.162974,0.655424
29,0.500010,5.769600,0.963232,37.621053,0.961721,27.151121,0.656139
30,0.516677,6.005600,0.969792,37.674848,0.962024,27.170612,0.656964
31,0.533344,5.599600,1.098560,37.761446,0.962545,27.212209,0.657984
32,0.550011,5.813900,1.132864,37.702325,0.962843,27.242515,0.659662
33,0.566678,5.696200,1.160640,37.699096,0.963193,27.284177,0.661603
34,0.583345,5.695400,0.966880,37.781333,0.963830,27.330988,0.664797
35,0.600012,5.618400,0.966688,37.920272,0.964478,27.422674,0.670466
36,0.616679,5.847900,0.968032,37.986027,0.964990,27.516172,0.675028
37,0.633346,5.669900,1.144192,37.874314,0.964686,27.602350,0.678554
38,0.650013,5.709500,0.967424,37.876568,0.965165,27.676853,0.684231
39,0.666680,5.642200,1.136672,37.835310,0.965119,27.753427,0.690535
40,0.683347,5.676400,1.168864,37.992021,0.965902,27.834002,0.695601
