frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,18.623701,5.044160,37.113320,0.955890,27.532836,0.670844
17,0.300006,18.642396,5.092640,37.191838,0.956481,27.515581,0.669523
18,0.316673,17.186535,5.048000,37.283502,0.956776,27.484817,0.667740
19,0.333340,17.254041,5.045280,37.294078,0.956881,27.448103,0.665570
20,0.350007,16.747392,5.046880,37.358252,0.957339,27.409120,0.663715
21,0.366674,17.212033,5.048160,37.399505,0.957927,27.387222,0.662659
22,0.383341,17.241428,5.094240,37.419180,0.958307,27.353588,0.661515
23,0.400008,18.214974,5.076960,37.484235,0.958721,27.326768,0.659856
24,0.416675,17.252880,5.071040,37.576640,0.959723,27.285165,0.657300
25,0.433342,17.246237,5.080960,37.523362,0.959610,27.258557,0.655258
26,0.450009,18.740249,5.054560,37.567374,0.960023,27.233730,0.654586
27,0.466676,17.296070,5.070560,37.487686,0.959949,27.193654,0.655175
28,0.483343,17.373956,5.034560,37.549344,0.960631,27.174854,0.656258
29,0.500010,16.752901,5.036960,37.617905,0.961380,27.163811,0.656992
30,0.516677,17.721478,5.082080,37.665429,0.961704,27.182004,0.657778
31,0.533344,17.373536,5.110080,37.756638,0.962236,27.223123,0.658784
32,0.550011,17.419693,5.102080,37.727253,0.962530,27.254050,0.660424
33,0.566678,17.468194,5.107840,37.691840,0.962753,27.295847,0.662386
34,0.583345,18.119555,5.076000,37.764604,0.963402,27.343719,0.665589
35,0.600012,17.416296,5.121120,37.898241,0.964049,27.434689,0.671239
36,0.616679,17.442355,5.099680,37.988258,0.964713,27.528091,0.675750
37,0.633346,18.894829,5.075680,37.859147,0.964060,27.614065,0.679250
38,0.650013,19.028260,5.096320,37.840255,0.964512,27.688486,0.684879
39,0.666680,18.920958,5.079680,37.790921,0.964165,27.765302,0.691172
40,0.683347,17.070477,5.056800,37.930281,0.964983,27.845213,0.696207
41,0.700014,17.528927,5.072640,37.923012,0.965352,27.913072,0.702733
42,0.716681,17.573191,5.094720,37.943512,0.965996,27.993682,0.710717
43,0.733348,17.593508,5.111040,37.898173,0.965701,28.047214,0.717266
44,0.750015,17.705399,5.130560,37.844532,0.966007,28.032215,0.721455
45,0.766682,17.542533,5.131520,37.751640,0.965592,27.990812,0.725772
46,0.783349,17.534788,5.132000,37.786323,0.966458,27.973102,0.733383
47,0.800016,17.555697,5.158880,37.683295,0.966717,28.023584,0.743651
48,0.816683,18.012263,5.128480,37.644791,0.967375,28.118906,0.754464
49,0.833350,16.984596,5.148800,37.582137,0.966718,28.199603,0.764572
50,0.850017,17.590542,5.147840,37.572196,0.967934,28.306051,0.775713
51,0.866684,18.756410,5.134400,37.135427,0.967666,28.344202,0.789363
52,0.883351,17.567690,5.146880,36.884101,0.966997,28.355819,0.805598
53,0.900018,17.434931,5.112480,34.521469,0.963433,27.384678,0.818134
54,0.916685,16.998452,5.069440,32.495878,0.946937,24.132197,0.808921
55,0.933352,16.223639,5.056800,31.647818,0.941389,23.450297,0.809471
56,0.950019,16.793969,4.986400,29.848139,0.928556,22.584597,0.797765
57,0.966686,16.590006,4.943040,27.562913,0.931954,22.080666,0.795031
58,0.983353,15.593176,4.870720,30.228020,0.947358,21.389878,0.789864
59,1.000020,15.488280,4.830400,29.258605,0.952927,21.609870,0.801265
60,1.016687,16.352180,4.792480,32.192791,0.963535,22.224014,0.818649
61,1.033354,16.059571,4.835360,30.342302,0.954141,22.721744,0.829895
62,1.050021,15.561637,4.834560,31.807554,0.950421,24.007285,0.823009
63,1.066688,16.082815,4.810080,32.353562,0.928003,24.362109,0.803549
64,1.083355,16.799489,4.872640,29.882598,0.902762,23.966055,0.776231
65,1.100022,15.810214,4.909440,29.402052,0.912362,24.431522,0.745994
66,1.116689,15.866169,4.933120,31.522838,0.928635,24.109020,0.704056
67,1.133356,15.964653,4.908960,32.036849,0.933241,23.813127,0.666528
68,1.150023,15.897968,4.945760,32.367961,0.933126,23.882756,0.637046
69,1.166690,15.413519,4.921600,31.219105,0.931595,24.057482,0.613731
70,1.183357,15.954504,4.904320,33.773021,0.936685,24.589603,0.606489
71,1.200024,15.648661,4.980480,34.016399,0.937197,24.576128,0.604611
72,1.216691,15.995290,4.939680,34.107976,0.937430,24.554569,0.603851
73,1.233358,16.405811,4.924000,34.072618,0.936309,24.535508,0.602183
74,1.250025,16.908243,4.949440,34.106722,0.935786,24.515250,0.602378
75,1.266692,15.866910,4.968960,34.071417,0.935381,24.466031,0.602527
76,1.283359,15.919007,4.944640,34.042239,0.935107,24.398410,0.600488
77,1.300026,15.884373,4.919680,34.060663,0.934960,24.339652,0.599284
