frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,16.730409,4.712480,37.113272,0.955889,27.532836,0.670844
17,0.300006,18.254148,4.720480,37.191855,0.956481,27.515581,0.669523
18,0.316673,16.833883,4.692160,37.283502,0.956776,27.484817,0.667740
19,0.333340,16.890230,4.680800,37.294057,0.956881,27.448103,0.665570
20,0.350007,16.402624,4.668160,37.358095,0.957338,27.409120,0.663715
21,0.366674,17.480396,4.718240,37.399466,0.957926,27.387222,0.662659
22,0.383341,16.989806,4.713760,37.419191,0.958307,27.353588,0.661515
23,0.400008,18.260840,4.721440,37.484205,0.958720,27.326768,0.659856
24,0.416675,16.913522,4.680800,37.576594,0.959722,27.285165,0.657300
25,0.433342,16.912792,4.698400,37.523302,0.959609,27.258557,0.655258
26,0.450009,16.970510,4.675040,37.567331,0.960022,27.233730,0.654586
27,0.466676,17.092548,4.698720,37.487638,0.959949,27.193654,0.655175
28,0.483343,16.937759,4.709120,37.549357,0.960631,27.174854,0.656258
29,0.500010,18.062237,4.705920,37.617879,0.961379,27.163811,0.656992
30,0.516677,17.510794,4.715680,37.665318,0.961703,27.182004,0.657778
31,0.533344,17.155246,6.309440,37.756609,0.962236,27.223123,0.658784
32,0.550011,18.871595,4.706080,37.727267,0.962530,27.254050,0.660424
33,0.566678,17.104171,4.702240,37.691807,0.962753,27.295847,0.662386
34,0.583345,16.971712,4.682720,37.764756,0.963402,27.343719,0.665589
35,0.600012,16.968547,4.688000,37.898157,0.964048,27.434689,0.671239
36,0.616679,17.022256,4.722880,37.988227,0.964713,27.528091,0.675750
37,0.633346,17.695620,4.726400,37.859226,0.964061,27.614065,0.679250
38,0.650013,17.048627,4.711520,37.840283,0.964512,27.688486,0.684879
39,0.666680,18.520847,4.739520,37.790744,0.964164,27.765302,0.691172
40,0.683347,18.118342,4.713760,37.930261,0.964982,27.845213,0.696207
41,0.700014,17.089874,4.739200,37.923051,0.965352,27.913072,0.702733
42,0.716681,17.158302,4.717760,37.943495,0.965996,27.993682,0.710717
43,0.733348,17.181695,4.706400,37.899412,0.965710,28.047214,0.717266
44,0.750015,17.230678,4.762560,37.842295,0.966005,28.032215,0.721455
45,0.766682,17.262507,4.758880,37.750502,0.965600,27.990812,0.725772
46,0.783349,17.613656,4.750400,37.785090,0.966478,27.973102,0.733383
47,0.800016,17.057493,4.775200,37.683398,0.966744,28.023584,0.743651
48,0.816683,18.333436,4.780480,37.644494,0.967382,28.118906,0.754464
49,0.833350,16.606126,4.757600,37.582734,0.966732,28.199603,0.764572
50,0.850017,17.193949,4.777280,37.572690,0.967948,28.306051,0.775713
51,0.866684,17.024852,4.743680,37.136058,0.967669,28.344202,0.789363
52,0.883351,17.156869,4.791200,36.884029,0.967003,28.355819,0.805598
53,0.900018,17.408411,4.795520,34.522072,0.963454,27.384678,0.818134
54,0.916685,16.512651,4.750400,32.465957,0.946532,24.132197,0.808921
55,0.933352,16.105497,4.737280,31.645571,0.941346,23.450297,0.809471
56,0.950019,15.858083,4.599840,29.846871,0.928545,22.584597,0.797765
57,0.966686,15.399944,4.556320,27.546761,0.931703,22.080666,0.795031
58,0.983353,16.304792,4.505440,30.254978,0.947657,21.389878,0.789864
59,1.000020,15.218143,4.501600,29.323319,0.953507,21.609870,0.801265
60,1.016687,15.136389,4.492160,32.383603,0.963687,22.224014,0.818649
61,1.033354,15.788553,4.455360,29.356194,0.953746,22.721744,0.829895
62,1.050021,15.307090,4.501920,32.104209,0.950846,24.007285,0.823009
63,1.066688,15.196032,4.477120,32.428167,0.928132,24.362109,0.803549
64,1.083355,16.309370,4.472320,29.925539,0.903070,23.966055,0.776231
65,1.100022,15.331896,4.559520,29.408467,0.912588,24.431522,0.745994
66,1.116689,15.537031,4.570720,31.528738,0.928603,24.109020,0.704056
67,1.133356,16.560020,4.540800,32.085081,0.933444,23.813127,0.666528
68,1.150023,15.540408,4.585760,32.474248,0.933436,23.882756,0.637046
69,1.166690,15.096595,4.585760,31.220385,0.931667,24.057482,0.613731
70,1.183357,15.574672,4.561600,33.773658,0.936696,24.589603,0.606489
71,1.200024,15.293224,4.612800,34.016401,0.937197,24.576128,0.604611
72,1.216691,15.602273,4.570720,34.108016,0.937431,24.554569,0.603851
73,1.233358,15.682193,4.556800,34.072481,0.936306,24.535508,0.602183
74,1.250025,15.748768,4.594880,34.106667,0.935785,24.515250,0.602378
75,1.266692,15.625948,4.570240,34.071509,0.935381,24.466031,0.602527
76,1.283359,15.592385,4.552320,34.042345,0.935108,24.398410,0.600488
77,1.300026,15.516783,4.606560,34.060547,0.934959,24.339652,0.599284
78,1.316693,15.660963,4.566720,34.038984,0.934579,24.323515,0.598577
79,1.333360,15.549595,4.558880,33.947885,0.933600,24.372360,0.599684
80,1.350027,15.184550,4.609920,34.067669,0.933969,24.470859,0.603376
81,1.366694,15.780718,4.572960,34.049171,0.933346,24.592306,0.606583
82,1.383361,15.569271,4.574880,34.140460,0.933840,24.689857,0.609941
83,1.400028,15.548282,4.606880,34.188847,0.934057,24.795881,0.612194
84,1.416695,15.588187,4.559840,34.203248,0.933611,24.874657,0.613573
85,1.433362,15.537342,4.563040,34.227113,0.933547,24.952562,0.615819
86,1.450029,15.573199,4.630240,34.272507,0.933265,25.047971,0.618673
87,1.466696,15.766972,4.600960,34.282346,0.933044,25.129677,0.621761
88,1.483363,15.604047,4.590880,34.277963,0.932340,25.227090,0.624306
89,1.500030,15.086285,4.621600,34.286767,0.931800,25.330244,0.627401
90,1.516697,15.989139,4.602240,34.394374,0.932422,25.444208,0.630660
91,1.533364,16.010920,4.610720,34.445869,0.932915,25.547225,0.633066
92,1.550031,15.829149,4.625120,34.451758,0.932917,25.644273,0.635143
93,1.566698,15.742667,4.609920,34.459316,0.932783,25.727978,0.636925
94,1.583365,16.076874,4.582880,34.492599,0.932532,25.826185,0.639651
95,1.600032,16.575980,4.619360,34.528516,0.932341,25.908414,0.641935
96,1.616699,15.658649,4.620480,34.546806,0.932106,25.986728,0.643720
97,1.633366,15.661675,4.625120,34.428433,0.930496,26.043781,0.644467
98,1.650033,16.563928,4.607360,34.460855,0.930525,26.134558,0.645929
99,1.666700,15.493359,4.632640,34.553951,0.930612,26.271161,0.648918
100,1.683367,15.154013,4.597920,34.652966,0.931548,26.387249,0.651612
101,1.700034,15.551779,4.572480,34.671258,0.931461,26.477148,0.653831
102,1.716701,15.573029,4.616320,34.701114,0.931890,26.561141,0.656034
103,1.733368,15.621850,4.585920,34.724327,0.932390,26.637032,0.657195
104,1.750035,15.681863,4.592960,34.683095,0.931545,26.716067,0.659066
105,1.766702,15.595090,4.617280,34.685955,0.931333,26.787406,0.659854
106,1.783369,15.635395,4.586560,34.690585,0.930860,26.862996,0.661484
107,1.800036,15.660743,4.594240,34.628919,0.930547,26.930208,0.662893
108,1.816703,15.593737,4.620800,34.703134,0.931130,27.004975,0.664267
109,1.833370,15.175023,4.608160,34.750990,0.931930,27.061839,0.664754
110,1.850037,16.613991,4.595360,34.711821,0.931677,27.114972,0.665457
111,1.866704,15.995381,4.657120,34.684306,0.931677,27.152238,0.665659
112,1.883371,15.716698,4.602720,34.606476,0.931306,27.175872,0.665893
113,1.900038,16.501650,4.604320,34.583321,0.930710,27.199234,0.665508
114,1.916705,16.726793,4.636640,34.660000,0.931327,27.249998,0.665687
115,1.933372,15.857773,4.632960,34.553739,0.930028,27.290892,0.665036
116,1.950039,15.865407,4.617600,34.565175,0.930556,27.338418,0.665057
117,1.966706,15.912576,4.624800,34.562395,0.930717,27.382826,0.665175
118,1.983373,15.904771,4.623200,34.674643,0.931711,27.432134,0.665656
119,2.000040,15.933966,4.625760,34.698426,0.932288,27.466317,0.666018
