frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.566100,0.965344,37.116785,0.955964,27.517744,0.669806
17,0.300006,5.660700,0.962432,37.203019,0.956618,27.501538,0.668541
18,0.316673,6.260300,1.306144,37.288351,0.956874,27.471392,0.666807
19,0.333340,5.974900,0.973408,37.304728,0.957077,27.434262,0.664586
20,0.350007,6.258900,1.162208,37.353330,0.957362,27.394511,0.662761
21,0.366674,5.695400,1.167904,37.400915,0.957976,27.374060,0.661721
22,0.383341,5.564200,1.161184,37.421282,0.958454,27.339874,0.660613
23,0.400008,5.790500,0.969728,37.486168,0.958920,27.314727,0.658994
24,0.416675,5.702200,1.155552,37.577562,0.959815,27.273502,0.656457
25,0.433342,5.624500,0.964896,37.527716,0.959797,27.245845,0.654422
26,0.450009,5.858800,1.140800,37.569557,0.960114,27.221370,0.653789
27,0.466676,5.703000,0.974560,37.484364,0.959979,27.180981,0.654368
28,0.483343,5.604700,1.161760,37.545069,0.960684,27.162974,0.655424
29,0.500010,5.437000,1.147072,37.606372,0.961394,27.151121,0.656139
30,0.516677,5.899600,1.130432,37.662368,0.961699,27.170612,0.656964
31,0.533344,5.694700,0.967104,37.746260,0.962212,27.212209,0.657984
32,0.550011,5.781700,1.370144,37.705784,0.962471,27.242515,0.659662
33,0.566678,6.296800,0.969152,37.690918,0.962814,27.284177,0.661603
34,0.583345,5.726000,0.966016,37.764944,0.963450,27.330988,0.664797
35,0.600012,6.247500,0.966528,37.902589,0.964128,27.422674,0.670466
36,0.616679,5.967900,1.170336,37.980030,0.964607,27.516172,0.675028
37,0.633346,6.032300,1.136704,37.860067,0.964176,27.602350,0.678554
38,0.650013,6.312000,1.204192,37.835561,0.964536,27.676853,0.684231
39,0.666680,5.846100,0.969920,37.781440,0.964204,27.753427,0.690535
40,0.683347,5.678100,1.132608,37.925029,0.965042,27.834002,0.695601
41,0.700014,5.739300,1.137312,37.908043,0.965319,27.902168,0.702160
42,0.716681,5.692400,0.980160,37.913966,0.965623,27.982194,0.710136
43,0.733348,5.761900,0.976064,37.896974,0.965713,28.036067,0.716698
44,0.750015,5.541200,1.158624,37.857379,0.966090,28.022592,0.720943
45,0.766682,5.841000,1.135648,37.773753,0.965924,27.981500,0.725271
46,0.783349,5.838700,0.974240,37.838527,0.967008,27.962410,0.732837
47,0.800016,6.104600,1.167456,37.738543,0.967244,28.014592,0.743142
48,0.816683,6.107600,1.139488,37.643243,0.967353,28.110269,0.753992
49,0.833350,5.946100,1.488608,37.586916,0.966803,28.191352,0.764134
50,0.850017,6.126800,1.124608,37.526610,0.967571,28.297499,0.775298
51,0.866684,5.566700,1.230496,37.123410,0.967670,28.336417,0.788966
52,0.883351,6.365000,0.969344,36.863296,0.966953,28.349368,0.805285
53,0.900018,5.588100,0.974432,34.496066,0.963318,27.381478,0.817865
54,0.916685,6.276600,0.967008,32.441592,0.945625,24.131236,0.808582
55,0.933352,5.666600,1.221312,31.596721,0.940359,23.448846,0.808998
56,0.950019,5.743900,1.113184,29.812756,0.928158,22.583884,0.797268
57,0.966686,5.452200,0.935040,27.559686,0.931357,22.080907,0.794752
58,0.983353,5.500300,0.930240,30.211418,0.947324,21.390053,0.789692
59,1.000020,5.053400,1.140992,29.205416,0.952622,21.609243,0.801025
60,1.016687,5.817200,0.919808,32.393981,0.963337,22.222152,0.818276
61,1.033354,5.787000,0.914048,30.338636,0.953689,22.719404,0.829247
62,1.050021,5.773800,1.073920,31.798587,0.950005,24.002658,0.822282
63,1.066688,5.763700,0.924192,32.292334,0.927346,24.356806,0.802661
64,1.083355,6.243300,0.931328,29.956570,0.902403,23.963329,0.775272
65,1.100022,5.686300,1.101088,29.381368,0.911728,24.425130,0.744892
66,1.116689,5.772100,1.106784,31.465153,0.927857,24.097270,0.702981
67,1.133356,6.382400,1.120576,31.934740,0.932800,23.801818,0.665449
68,1.150023,5.586600,1.139744,32.365345,0.932752,23.870533,0.635898
69,1.166690,5.706500,1.156032,30.753863,0.930340,24.043717,0.612611
70,1.183357,6.008800,0.967520,33.755077,0.936271,24.573170,0.605351
71,1.200024,5.857800,1.156704,34.026815,0.936992,24.560666,0.603452
72,1.216691,6.209800,0.974240,34.106432,0.937245,24.538131,0.602606
73,1.233358,5.648900,0.973728,34.063381,0.936021,24.519128,0.600931
74,1.250025,5.546200,0.993952,34.092320,0.935487,24.499050,0.601112
75,1.266692,5.703100,1.142432,34.055840,0.935086,24.449397,0.601209
76,1.283359,5.739400,0.967584,34.029204,0.934905,24.381104,0.599122
77,1.300026,5.425600,1.027072,34.054011,0.934995,24.321613,0.597887
78,1.316693,6.290100,1.146592,34.027300,0.934348,24.305891,0.597180
79,1.333360,5.616100,1.142656,33.931941,0.933080,24.354083,0.598269
80,1.350027,5.669000,1.471040,34.042580,0.933525,24.452117,0.601966
81,1.366694,5.590700,1.242240,34.045793,0.933195,24.574011,0.605246
82,1.383361,5.618400,1.133248,34.135124,0.933906,24.670761,0.608592
83,1.400028,6.106100,1.170208,34.181466,0.934123,24.775969,0.610831
84,1.416695,6.484800,1.134336,34.187034,0.933428,24.854675,0.612266
85,1.433362,5.629300,1.132672,34.216888,0.933470,24.933369,0.614524
86,1.450029,5.645400,1.614080,34.265011,0.933313,25.030160,0.617391
87,1.466696,5.355400,0.971360,34.266454,0.932827,25.112201,0.620525
88,1.483363,5.899300,1.145088,34.258532,0.932130,25.208102,0.623058
89,1.500030,5.253300,1.241056,34.273485,0.931753,25.309776,0.626165
90,1.516697,5.872100,1.129920,34.376820,0.932319,25.421929,0.629406
91,1.533364,5.576700,0.969088,34.430840,0.932840,25.522992,0.631800
92,1.550031,5.632100,1.137824,34.442017,0.932957,25.618270,0.633813
93,1.566698,5.365400,0.969184,34.456038,0.932830,25.702861,0.635703
94,1.583365,5.383300,1.138432,34.500442,0.932823,25.800630,0.638424
95,1.600032,5.487200,0.968416,34.533815,0.932740,25.881434,0.640661
96,1.616699,5.668700,1.035808,34.550319,0.932456,25.959176,0.642427
97,1.633366,5.730400,1.145344,34.433339,0.930889,26.015693,0.643185
98,1.650033,5.613300,0.967264,34.464085,0.930844,26.105394,0.644604
99,1.666700,5.480500,1.136544,34.564974,0.930943,26.240724,0.647601
100,1.683367,6.087300,0.972320,34.663649,0.931929,26.355060,0.650308
101,1.700034,5.382700,0.974976,34.684675,0.931795,26.444104,0.652548
102,1.716701,5.487600,1.234368,34.707761,0.931983,26.526902,0.654702
103,1.733368,6.110600,0.971584,34.736645,0.932707,26.602021,0.655833
104,1.750035,5.639300,0.965472,34.702173,0.932046,26.680456,0.657685
105,1.766702,5.495300,0.979008,34.696640,0.931724,26.750010,0.658440
106,1.783369,5.690000,1.170720,34.704264,0.931262,26.824053,0.660085
107,1.800036,5.591000,0.978368,34.637490,0.930808,26.891745,0.661465
108,1.816703,5.391300,1.163712,34.717159,0.931627,26.966301,0.662816
109,1.833370,5.545700,0.976096,34.767895,0.932441,27.024555,0.663321
110,1.850037,5.734200,1.243648,34.720249,0.931998,27.078691,0.663999
111,1.866704,5.836500,0.970976,34.682444,0.931878,27.116401,0.664199
112,1.883371,6.261900,0.976512,34.605571,0.931470,27.141259,0.664392
113,1.900038,5.615600,1.159840,34.586424,0.930962,27.165815,0.663997
114,1.916705,5.801100,0.977280,34.662158,0.931559,27.217378,0.664201
115,1.933372,5.522700,0.973056,34.550354,0.930138,27.258900,0.663570
116,1.950039,6.432000,0.982144,34.565700,0.930687,27.307422,0.663596
117,1.966706,5.469200,0.979456,34.562068,0.930927,27.351447,0.663682
118,1.983373,5.816500,1.172832,34.674405,0.931877,27.402131,0.664146
119,2.000040,5.197900,0.972096,34.688174,0.932339,27.435154,0.664496
