frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.543500,0.960800,37.103873,0.955919,27.517744,0.669806
17,0.300006,5.420100,1.165952,37.196977,0.956579,27.501538,0.668541
18,0.316673,5.613800,0.976736,37.278199,0.956838,27.471392,0.666807
19,0.333340,5.725200,0.967840,37.288936,0.957027,27.434262,0.664586
20,0.350007,5.625100,0.965120,37.352035,0.957342,27.394511,0.662761
21,0.366674,5.739500,0.972320,37.397777,0.957941,27.374060,0.661721
22,0.383341,5.693400,1.143744,37.415258,0.958425,27.339874,0.660613
23,0.400008,5.633100,0.961216,37.481007,0.958904,27.314727,0.658994
24,0.416675,5.600100,1.193888,37.569237,0.959780,27.273502,0.656457
25,0.433342,5.590600,1.134048,37.513118,0.959761,27.245845,0.654422
26,0.450009,5.718400,1.130112,37.559416,0.960078,27.221370,0.653789
27,0.466676,5.582000,1.136864,37.476484,0.959932,27.180981,0.654368
28,0.483343,5.534100,0.966528,37.539259,0.960657,27.162974,0.655424
29,0.500010,5.087000,0.968800,37.600790,0.961353,27.151121,0.656139
30,0.516677,5.999300,0.974016,37.661191,0.961675,27.170612,0.656964
31,0.533344,5.715700,0.968288,37.740904,0.962177,27.212209,0.657984
32,0.550011,5.865600,1.109984,37.700832,0.962442,27.242515,0.659662
33,0.566678,5.941200,0.969568,37.684844,0.962773,27.284177,0.661603
34,0.583345,5.735800,1.163040,37.757995,0.963403,27.330988,0.664797
35,0.600012,5.433800,1.161344,37.893444,0.964078,27.422674,0.670466
36,0.616679,5.302500,0.969952,37.970104,0.964562,27.516172,0.675028
37,0.633346,5.535900,0.972864,37.851947,0.964128,27.602350,0.678554
38,0.650013,5.500800,0.968736,37.827611,0.964479,27.676853,0.684231
39,0.666680,5.734300,0.965216,37.773063,0.964143,27.753427,0.690535
40,0.683347,5.527100,0.982752,37.918496,0.965002,27.834002,0.695601
41,0.700014,5.356200,0.972768,37.901353,0.965255,27.902168,0.702160
42,0.716681,5.888000,1.165856,37.904471,0.965544,27.982194,0.710136
43,0.733348,5.860400,1.245824,37.885451,0.965649,28.036067,0.716698
44,0.750015,5.350500,1.168576,37.850743,0.966045,28.022592,0.720943
45,0.766682,5.775400,1.133568,37.773530,0.965875,27.981500,0.725271
46,0.783349,5.604900,1.241472,37.831296,0.966935,27.962410,0.732837
47,0.800016,5.877300,1.165760,37.727628,0.967174,28.014592,0.743142
48,0.816683,5.657200,1.243520,37.646541,0.967317,28.110269,0.753992
49,0.833350,5.704400,1.451776,37.577909,0.966756,28.191352,0.764134
50,0.850017,5.880400,1.133024,37.523649,0.967493,28.297499,0.775298
51,0.866684,5.629500,0.969024,37.110011,0.967594,28.336417,0.788966
52,0.883351,5.407600,1.159456,36.843472,0.966855,28.349368,0.805285
53,0.900018,5.712600,0.976832,34.486641,0.963260,27.381478,0.817865
54,0.916685,5.299500,0.965344,32.434467,0.945546,24.131236,0.808582
55,0.933352,5.545800,0.954784,31.589090,0.940288,23.448846,0.808998
56,0.950019,5.355500,0.946656,29.805560,0.928093,22.583884,0.797268
57,0.966686,5.355300,1.161376,27.558119,0.931318,22.080907,0.794752
58,0.983353,5.491700,0.918336,30.210175,0.947280,21.390053,0.789692
59,1.000020,5.273200,0.911328,29.205577,0.952625,21.609243,0.801025
60,1.016687,5.776200,1.077408,32.390033,0.963294,22.222152,0.818276
61,1.033354,5.691900,1.171808,30.339651,0.953688,22.719404,0.829247
62,1.050021,5.740000,0.915232,31.796155,0.949940,24.002658,0.822282
63,1.066688,5.522800,1.372576,32.293670,0.927464,24.356806,0.802661
64,1.083355,5.494900,0.927616,29.548237,0.901919,23.963329,0.775272
65,1.100022,5.662400,0.932000,29.345435,0.911194,24.425130,0.744892
66,1.116689,5.542100,1.418176,31.420727,0.927654,24.097270,0.702981
67,1.133356,5.858900,0.956736,31.926256,0.932694,23.801818,0.665449
68,1.150023,5.356600,0.965344,32.365331,0.932747,23.870533,0.635898
69,1.166690,5.547100,1.107424,30.750451,0.930277,24.043717,0.612611
70,1.183357,5.854400,0.968768,33.749282,0.936213,24.573170,0.605351
71,1.200024,5.454800,0.966688,34.013218,0.936903,24.560666,0.603452
72,1.216691,5.610100,1.163328,34.093466,0.937162,24.538131,0.602606
73,1.233358,5.394400,0.965696,34.055465,0.935948,24.519128,0.600931
74,1.250025,5.389000,1.132288,34.087892,0.935448,24.499050,0.601112
75,1.266692,5.954700,1.243072,34.043752,0.935001,24.449397,0.601209
76,1.283359,5.550700,1.103520,34.021538,0.934842,24.381104,0.599122
77,1.300026,5.224500,1.360576,34.043107,0.934901,24.321613,0.597887
78,1.316693,5.914300,1.205056,34.017717,0.934277,24.305891,0.597180
79,1.333360,5.491000,1.246592,33.921188,0.933000,24.354083,0.598269
80,1.350027,5.461800,0.971104,34.036662,0.933464,24.452117,0.601966
81,1.366694,5.405100,0.982592,34.035077,0.933109,24.574011,0.605246
82,1.383361,5.412100,0.979008,34.128439,0.933841,24.670761,0.608592
83,1.400028,5.467600,1.232832,34.169390,0.934040,24.775969,0.610831
84,1.416695,5.388900,1.233984,34.180523,0.933376,24.854675,0.612266
85,1.433362,5.656100,1.206080,34.210034,0.933420,24.933369,0.614524
86,1.450029,5.645400,1.230080,34.257892,0.933249,25.030160,0.617391
87,1.466696,5.308100,1.123840,34.255501,0.932766,25.112201,0.620525
88,1.483363,5.462000,0.977120,34.253731,0.932075,25.208102,0.623058
89,1.500030,5.357400,0.965152,34.267175,0.931696,25.309776,0.626165
90,1.516697,5.695100,1.199776,34.367076,0.932246,25.421929,0.629406
91,1.533364,5.402600,1.232064,34.422198,0.932770,25.522992,0.631800
92,1.550031,5.705200,1.318112,34.432221,0.932875,25.618270,0.633813
93,1.566698,5.435100,0.971232,34.446697,0.932751,25.702861,0.635703
94,1.583365,5.521900,1.195520,34.494626,0.932780,25.800630,0.638424
95,1.600032,5.689400,0.966144,34.527849,0.932678,25.881434,0.640661
96,1.616699,5.533000,0.964640,34.540276,0.932366,25.959176,0.642427
97,1.633366,5.595600,0.978976,34.423466,0.930819,26.015693,0.643185
98,1.650033,5.515500,1.267968,34.456443,0.930789,26.105394,0.644604
99,1.666700,5.869200,1.452576,34.558334,0.930881,26.240724,0.647601
100,1.683367,5.447700,0.970784,34.655727,0.931864,26.355060,0.650308
101,1.700034,5.739300,1.159808,34.677451,0.931725,26.444104,0.652548
102,1.716701,5.353200,1.205632,34.696991,0.931902,26.526902,0.654702
103,1.733368,5.426700,1.133568,34.729553,0.932622,26.602021,0.655833
104,1.750035,5.169600,1.126528,34.688464,0.931939,26.680456,0.657685
105,1.766702,5.416100,0.977184,34.685463,0.931642,26.750010,0.658440
106,1.783369,5.785400,1.226432,34.693762,0.931179,26.824053,0.660085
107,1.800036,5.953700,1.134112,34.625987,0.930716,26.891745,0.661465
108,1.816703,5.500000,1.132224,34.705481,0.931541,26.966301,0.662816
109,1.833370,5.596500,1.369120,34.758274,0.932351,27.024555,0.663321
110,1.850037,5.823600,0.972768,34.707402,0.931897,27.078691,0.663999
111,1.866704,5.561800,1.147808,34.671415,0.931793,27.116401,0.664199
112,1.883371,5.820100,1.206368,34.597924,0.931407,27.141259,0.664392
113,1.900038,5.521800,1.139840,34.577566,0.930890,27.165815,0.663997
114,1.916705,5.814900,1.243008,34.650612,0.931448,27.217378,0.664201
115,1.933372,5.277000,1.459712,34.532509,0.930028,27.258900,0.663570
116,1.950039,5.740600,1.136032,34.557283,0.930618,27.307422,0.663596
117,1.966706,5.527900,1.257376,34.557310,0.930864,27.351447,0.663682
118,1.983373,5.355800,0.974368,34.665791,0.931811,27.402131,0.664146
119,2.000040,5.448900,0.976032,34.675154,0.932234,27.435154,0.664496
