frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,17.531021,4.716960,36.996937,0.953683,27.532836,0.670844
17,0.300006,16.895269,4.729760,37.076786,0.954401,27.515581,0.669523
18,0.316673,18.242315,4.723680,37.157620,0.954634,27.484817,0.667740
19,0.333340,16.833773,4.684320,37.177507,0.954918,27.448103,0.665570
20,0.350007,16.465994,4.705600,37.242816,0.955329,27.409120,0.663715
21,0.366674,16.952907,4.679520,37.292657,0.956109,27.387222,0.662659
22,0.383341,16.890450,4.715040,37.298580,0.956328,27.353588,0.661515
23,0.400008,17.921002,4.701920,37.374687,0.956899,27.326768,0.659856
24,0.416675,16.855914,4.722720,37.469561,0.958063,27.285165,0.657300
25,0.433342,18.278944,4.711040,37.400088,0.957728,27.258557,0.655258
26,0.450009,16.908053,4.678240,37.445041,0.958209,27.233730,0.654586
27,0.466676,16.885971,4.687840,37.336536,0.958150,27.193654,0.655175
28,0.483343,16.957255,4.668320,37.424735,0.959000,27.174854,0.656258
29,0.500010,16.402104,4.710400,37.512669,0.959759,27.163811,0.656992
30,0.516677,18.483688,4.718880,37.560767,0.960067,27.182004,0.657778
31,0.533344,16.868979,4.731360,37.650433,0.960601,27.223123,0.658784
32,0.550011,18.401384,4.727520,37.617697,0.960704,27.254050,0.660424
33,0.566678,18.418987,4.731520,37.569987,0.960825,27.295847,0.662386
34,0.583345,16.953137,4.715040,37.641752,0.961599,27.343719,0.665589
35,0.600012,16.988052,4.704800,37.767601,0.962185,27.434689,0.671239
36,0.616679,17.026154,4.675520,37.861558,0.962971,27.528091,0.675750
37,0.633346,17.024350,4.728960,37.681830,0.961557,27.614065,0.679250
38,0.650013,17.064045,4.739680,37.648526,0.961907,27.688486,0.684879
39,0.666680,18.260459,4.727520,37.517446,0.960446,27.765302,0.691172
40,0.683347,16.654838,4.726240,37.666380,0.961730,27.845213,0.696207
41,0.700014,18.489509,4.749920,37.634250,0.961910,27.913072,0.702733
42,0.716681,18.549642,4.725120,37.608753,0.962009,27.993682,0.710717
43,0.733348,17.172509,4.712800,37.517072,0.961267,28.047214,0.717266
44,0.750015,17.219687,4.716160,37.401991,0.960963,28.032215,0.721455
45,0.766682,17.242029,4.711520,37.276108,0.960237,27.990812,0.725772
46,0.783349,17.055750,4.756960,37.318529,0.961020,27.973102,0.733383
47,0.800016,17.160225,4.780480,37.229477,0.961648,28.023584,0.743651
48,0.816683,18.342133,4.763040,37.237926,0.962913,28.118906,0.754464
49,0.833350,16.732303,4.785280,37.166497,0.962357,28.199603,0.764572
50,0.850017,18.449584,4.774560,37.147862,0.963677,28.306051,0.775713
51,0.866684,18.337774,4.768960,36.719717,0.963480,28.344202,0.789363
52,0.883351,17.205310,4.779840,36.436414,0.962604,28.355819,0.805598
53,0.900018,16.986670,4.748800,33.851911,0.959218,27.384678,0.818134
54,0.916685,16.547126,4.719360,31.468457,0.941990,24.132197,0.808921
55,0.933352,16.721042,4.742880,31.242557,0.938376,23.450297,0.809471
56,0.950019,16.793067,4.639520,29.926829,0.927107,22.584597,0.797765
57,0.966686,15.249692,4.586720,27.600028,0.930713,22.080666,0.795031
58,0.983353,15.346243,4.523200,29.888160,0.944199,21.389878,0.789864
59,1.000020,16.165550,4.451680,29.211328,0.951195,21.609870,0.801265
60,1.016687,14.980027,4.502880,32.091591,0.961869,22.224014,0.818649
61,1.033354,15.548252,4.459840,30.073788,0.953232,22.721744,0.829895
62,1.050021,16.278111,4.448000,31.393465,0.947677,24.007285,0.823009
63,1.066688,15.158011,4.509120,32.196399,0.927834,24.362109,0.803549
64,1.083355,15.383083,4.482400,29.420515,0.897737,23.966055,0.776231
65,1.100022,16.319749,4.505920,28.738979,0.905674,24.431522,0.745994
66,1.116689,15.464375,4.577280,31.006023,0.922303,24.109020,0.704056
67,1.133356,15.659741,4.561120,31.488228,0.927833,23.813127,0.666528
68,1.150023,15.622692,4.554080,32.153832,0.928059,23.882756,0.637046
69,1.166690,15.022616,4.612800,31.330728,0.928526,24.057482,0.613731
70,1.183357,15.547310,4.576480,33.676928,0.934763,24.589603,0.606489
71,1.200024,16.268924,4.582560,33.939398,0.936002,24.576128,0.604611
72,1.216691,15.465257,4.603680,34.057123,0.936526,24.554569,0.603851
73,1.233358,15.529347,4.581120,33.998388,0.934847,24.535508,0.602183
74,1.250025,15.587405,4.560320,34.069488,0.934910,24.515250,0.602378
75,1.266692,15.687453,4.602560,34.019108,0.934437,24.466031,0.602527
76,1.283359,15.567097,4.581600,33.978728,0.934021,24.398410,0.600488
77,1.300026,15.616991,4.568000,34.000148,0.934060,24.339652,0.599284
78,1.316693,15.473733,4.589280,33.993960,0.933810,24.323515,0.598577
79,1.333360,15.618584,4.592640,33.889930,0.932905,24.372360,0.599684
80,1.350027,15.113978,4.564160,34.038189,0.933388,24.470859,0.603376
81,1.366694,15.566397,4.606720,34.004029,0.932428,24.592306,0.606583
82,1.383361,15.615849,4.581600,34.102281,0.932903,24.689857,0.609941
83,1.400028,15.561096,4.565440,34.140592,0.932985,24.795881,0.612194
84,1.416695,15.594519,4.615040,34.159206,0.932571,24.874657,0.613573
85,1.433362,15.635496,4.583200,34.180185,0.932335,24.952562,0.615819
86,1.450029,15.511173,4.583520,34.231413,0.932271,25.047971,0.618673
87,1.466696,15.538313,4.620480,34.237686,0.931931,25.129677,0.621761
88,1.483363,15.579812,4.582240,34.230735,0.931299,25.227090,0.624306
89,1.500030,16.046527,4.590400,34.235875,0.930379,25.330244,0.627401
90,1.516697,15.789385,4.620640,34.352898,0.931292,25.444208,0.630660
91,1.533364,16.073868,4.617920,34.407769,0.931956,25.547225,0.633066
92,1.550031,16.340879,4.574880,34.411367,0.931875,25.644273,0.635143
93,1.566698,16.691296,4.624480,34.426708,0.932004,25.727978,0.636925
94,1.583365,15.657417,4.607200,34.460471,0.931625,25.826185,0.639651
95,1.600032,15.596383,4.600000,34.492311,0.931362,25.908414,0.641935
96,1.616699,16.658134,4.613920,34.508480,0.931142,25.986728,0.643720
97,1.633366,15.639003,4.629760,34.380415,0.929309,26.043781,0.644467
98,1.650033,15.668708,4.598560,34.418848,0.929434,26.134558,0.645929
99,1.666700,16.666800,4.599680,34.510176,0.929452,26.271161,0.648918
100,1.683367,15.186905,4.607520,34.613628,0.930427,26.387249,0.651612
101,1.700034,15.666664,4.623840,34.623017,0.930073,26.477148,0.653831
102,1.716701,15.918707,4.613760,34.660894,0.930792,26.561141,0.656034
103,1.733368,16.962104,4.620320,34.683350,0.931230,26.637032,0.657195
104,1.750035,15.897387,4.615840,34.645341,0.930457,26.716067,0.659066
105,1.766702,15.891827,4.624960,34.651637,0.930454,26.787406,0.659854
106,1.783369,15.724042,4.607680,34.655762,0.930002,26.862996,0.661484
107,1.800036,15.686231,4.623040,34.597412,0.929786,26.930208,0.662893
108,1.816703,15.754108,4.594080,34.669522,0.930216,27.004975,0.664267
109,1.833370,15.198136,4.594400,34.721051,0.931185,27.061839,0.664754
110,1.850037,15.660072,4.622400,34.673516,0.930682,27.114972,0.665457
111,1.866704,16.120375,4.620160,34.642108,0.930561,27.152238,0.665659
112,1.883371,16.809638,4.577600,34.561189,0.929983,27.175872,0.665893
113,1.900038,16.680707,4.643520,34.525555,0.929090,27.199234,0.665508
114,1.916705,15.705808,4.627520,34.609976,0.929822,27.249998,0.665687
115,1.933372,15.740894,4.631200,34.496919,0.928472,27.290892,0.665036
116,1.950039,15.707440,4.622080,34.526188,0.929310,27.338418,0.665057
117,1.966706,15.719724,4.637440,34.521284,0.929460,27.382826,0.665175
118,1.983373,15.747606,4.618720,34.634442,0.930327,27.432134,0.665656
119,2.000040,15.790917,4.609440,34.653267,0.930828,27.466317,0.666018
