frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.837500,0.884768,36.112935,0.936964,27.517744,0.669806
17,0.300006,5.623300,0.894752,36.239423,0.939466,27.501538,0.668541
18,0.316673,5.568700,0.885088,36.282712,0.939680,27.471392,0.666807
19,0.333340,5.737600,0.882400,36.397407,0.941558,27.434262,0.664586
20,0.350007,5.550300,0.885088,36.339464,0.940166,27.394511,0.662761
21,0.366674,5.498600,1.078336,36.458288,0.942411,27.374060,0.661721
22,0.383341,5.907000,1.014080,36.428439,0.942813,27.339874,0.660613
23,0.400008,5.840400,0.886208,36.612001,0.945100,27.314727,0.658994
24,0.416675,5.462300,1.099776,36.658003,0.945894,27.273502,0.656457
25,0.433342,5.674700,1.048000,36.535327,0.944367,27.245845,0.654422
26,0.450009,5.592600,0.885088,36.564992,0.944806,27.221370,0.653789
27,0.466676,5.527000,1.057024,36.298580,0.944508,27.180981,0.654368
28,0.483343,5.668700,1.055136,36.496622,0.946638,27.162974,0.655424
29,0.500010,5.021800,0.882304,36.682498,0.947553,27.151121,0.656139
30,0.516677,5.739000,1.015424,36.736686,0.947965,27.170612,0.656964
31,0.533344,5.743700,0.890560,36.813539,0.948548,27.212209,0.657984
32,0.550011,5.598000,1.173184,36.682313,0.947072,27.242515,0.659662
33,0.566678,5.954000,1.053344,36.717727,0.947597,27.284177,0.661603
34,0.583345,5.752100,0.889184,36.736916,0.948244,27.330988,0.664797
35,0.600012,5.772500,0.888320,36.898063,0.950335,27.422674,0.670466
36,0.616679,5.931500,1.076512,36.850806,0.949098,27.516172,0.675028
37,0.633346,5.503800,0.889312,36.454057,0.943429,27.602350,0.678554
38,0.650013,5.852700,1.093952,36.240932,0.941124,27.676853,0.684231
39,0.666680,5.595900,1.062560,35.696294,0.932543,27.753427,0.690535
40,0.683347,5.639600,0.896032,35.811534,0.935367,27.834002,0.695601
41,0.700014,5.528400,0.893280,35.523226,0.931961,27.902168,0.702160
42,0.716681,5.350300,0.896064,35.097676,0.923811,27.982194,0.710136
43,0.733348,5.332800,0.896992,35.144388,0.925928,28.036067,0.716698
44,0.750015,5.297500,0.897280,34.881652,0.921890,28.022592,0.720943
45,0.766682,5.591800,0.892064,34.764036,0.922380,27.981500,0.725271
46,0.783349,5.383600,0.898944,34.798124,0.922949,27.962410,0.732837
47,0.800016,5.453900,0.900160,34.865567,0.926782,28.014592,0.743142
48,0.816683,5.546000,0.893568,34.654774,0.925369,28.110269,0.753992
49,0.833350,5.443500,0.898784,34.683951,0.926116,28.191352,0.764134
50,0.850017,5.537800,1.346784,34.335964,0.924206,28.297499,0.775298
51,0.866684,5.734800,0.894208,34.122321,0.928810,28.336417,0.788966
52,0.883351,5.638400,0.892064,33.583824,0.926849,28.349368,0.805285
53,0.900018,5.569700,0.888352,30.992093,0.926359,27.381478,0.817865
54,0.916685,5.454700,0.886304,27.602106,0.909442,24.131236,0.808582
55,0.933352,5.539300,1.163584,28.335592,0.912145,23.448846,0.808998
56,0.950019,5.426900,0.869280,28.952757,0.910934,22.583884,0.797268
57,0.966686,5.197900,0.850784,27.109397,0.920198,22.080907,0.794752
58,0.983353,5.269300,0.836032,27.232940,0.919706,21.390053,0.789692
59,1.000020,5.465900,0.840352,28.543440,0.934871,21.609243,0.801025
60,1.016687,5.425300,0.831904,30.508165,0.945701,22.222152,0.818276
61,1.033354,5.356700,1.080672,27.955846,0.940068,22.719404,0.829247
62,1.050021,5.611300,0.833216,28.509052,0.925916,24.002658,0.822282
63,1.066688,5.483700,0.841664,29.487829,0.919790,24.356806,0.802661
64,1.083355,5.276400,0.840544,26.986871,0.885115,23.963329,0.775272
65,1.100022,5.430000,1.029920,25.816267,0.876099,24.425130,0.744892
66,1.116689,5.579300,0.866976,28.231617,0.883260,24.097270,0.702981
67,1.133356,5.637200,0.878496,28.152462,0.879912,23.801818,0.665449
68,1.150023,5.477900,0.886432,30.380573,0.885462,23.870533,0.635898
69,1.166690,5.472700,1.090144,29.422281,0.890357,24.043717,0.612611
70,1.183357,5.479900,0.886464,32.409402,0.912932,24.573170,0.605351
71,1.200024,5.619800,0.883936,33.253894,0.925252,24.560666,0.603452
72,1.216691,5.454000,0.887136,33.472220,0.927275,24.538131,0.602606
73,1.233358,5.435600,0.895072,33.247980,0.921716,24.519128,0.600931
74,1.250025,5.391800,1.083648,33.591119,0.925616,24.499050,0.601112
75,1.266692,5.313000,0.893248,33.475548,0.924945,24.449397,0.601209
76,1.283359,5.269700,0.891936,33.393851,0.924324,24.381104,0.599122
77,1.300026,5.318600,1.162976,33.533669,0.927482,24.321613,0.597887
78,1.316693,5.339300,0.893088,33.405958,0.924749,24.305891,0.597180
79,1.333360,5.201900,1.169632,33.306750,0.923061,24.354083,0.598269
80,1.350027,5.566300,0.900640,33.595626,0.924007,24.452117,0.601966
81,1.366694,5.325100,0.897824,33.507280,0.922354,24.574011,0.605246
82,1.383361,5.325600,1.138336,33.667821,0.924669,24.670761,0.608592
83,1.400028,5.266700,0.891008,33.721569,0.924795,24.775969,0.610831
84,1.416695,5.058700,0.891872,33.681574,0.922976,24.854675,0.612266
85,1.433362,5.464400,0.893952,33.712741,0.922325,24.933369,0.614524
86,1.450029,5.244400,0.896416,33.793968,0.923406,25.030160,0.617391
87,1.466696,5.394800,0.893536,33.707789,0.920788,25.112201,0.620525
88,1.483363,5.279700,0.889760,33.642812,0.919326,25.208102,0.623058
