frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.082400,0.667872,37.122281,0.957216,27.517744,0.669806
17,0.300006,5.428700,0.666240,37.213642,0.957685,27.501538,0.668541
18,0.316673,5.504900,0.674016,37.319550,0.958049,27.471392,0.666807
19,0.333340,5.374500,0.672192,37.337474,0.958034,27.434262,0.664586
20,0.350007,5.504100,0.890272,37.371878,0.958491,27.394511,0.662761
21,0.366674,5.607800,0.665888,37.424931,0.958916,27.374060,0.661721
22,0.383341,5.435000,0.667968,37.443197,0.959329,27.339874,0.660613
23,0.400008,5.475200,0.665600,37.482483,0.959502,27.314727,0.658994
24,0.416675,5.468700,0.666464,37.598802,0.960462,27.273502,0.656457
25,0.433342,5.111100,0.675136,37.575102,0.960536,27.245845,0.654422
26,0.450009,5.078900,0.669856,37.594123,0.960880,27.221370,0.653789
27,0.466676,5.340700,0.853312,37.552851,0.960846,27.180981,0.654368
28,0.483343,5.382500,0.669024,37.575046,0.961427,27.162974,0.655424
29,0.500010,4.974900,0.861408,37.625653,0.962071,27.151121,0.656139
30,0.516677,5.611700,0.667552,37.690346,0.962381,27.170612,0.656964
31,0.533344,5.229200,0.674080,37.761760,0.962838,27.212209,0.657984
32,0.550011,5.783600,0.845024,37.712579,0.963215,27.242515,0.659662
33,0.566678,5.427600,0.670560,37.722318,0.963605,27.284177,0.661603
34,0.583345,5.321100,0.861184,37.789845,0.964166,27.330988,0.664797
35,0.600012,5.143600,0.671360,37.934489,0.964891,27.422674,0.670466
36,0.616679,5.452200,0.670112,38.016544,0.965441,27.516172,0.675028
37,0.633346,5.264300,0.673632,37.927938,0.965240,27.602350,0.678554
38,0.650013,5.786100,0.674368,37.911737,0.965713,27.676853,0.684231
39,0.666680,5.337800,0.669056,37.910923,0.965948,27.753427,0.690535
40,0.683347,5.359800,0.846528,38.026635,0.966399,27.834002,0.695601
41,0.700014,5.198100,0.673728,38.054624,0.966887,27.902168,0.702160
42,0.716681,5.080300,0.673088,38.084022,0.967820,27.982194,0.710136
43,0.733348,5.452000,0.962624,38.083999,0.967792,28.036067,0.716698
44,0.750015,5.069100,0.676672,38.060732,0.968358,28.022592,0.720943
45,0.766682,5.232100,0.676384,37.978390,0.968121,27.981500,0.725271
46,0.783349,5.027100,0.675008,37.958923,0.968898,27.962410,0.732837
47,0.800016,5.118600,0.676640,37.853614,0.968966,28.014592,0.743142
48,0.816683,5.216600,0.670848,37.774562,0.969320,28.110269,0.753992
49,0.833350,5.256400,0.672768,37.648852,0.968292,28.191352,0.764134
50,0.850017,5.547400,0.671680,37.639520,0.969600,28.297499,0.775298
51,0.866684,5.195100,0.677184,37.230523,0.969189,28.336417,0.788966
52,0.883351,5.566800,0.675168,36.900235,0.968647,28.349368,0.805285
53,0.900018,5.622700,0.673472,34.644774,0.965147,27.381478,0.817865
54,0.916685,5.349300,0.667072,32.182852,0.949590,24.131236,0.808582
55,0.933352,5.183000,0.660864,31.118559,0.941621,23.448846,0.808998
56,0.950019,5.223000,0.838816,28.352215,0.929064,22.583884,0.797268
57,0.966686,5.207800,0.629056,26.682749,0.932426,22.080907,0.794752
58,0.983353,5.270100,0.619136,27.647593,0.948443,21.390053,0.789692
59,1.000020,5.175900,0.611040,27.161352,0.951974,21.609243,0.801025
60,1.016687,5.201400,0.609216,29.146587,0.960458,22.222152,0.818276
61,1.033354,5.131500,0.610336,29.019828,0.951193,22.719404,0.829247
62,1.050021,5.228000,0.614496,31.297666,0.948410,24.002658,0.822282
63,1.066688,5.105700,0.873920,30.832601,0.921692,24.356806,0.802661
64,1.083355,5.470600,0.620256,28.403221,0.904105,23.963329,0.775272
65,1.100022,5.087100,0.636608,28.954188,0.915245,24.425130,0.744892
66,1.116689,5.475900,0.836000,31.244016,0.930493,24.097270,0.702981
67,1.133356,5.424400,0.653088,31.897635,0.934474,23.801818,0.665449
68,1.150023,5.158800,0.663552,31.693897,0.933782,23.870533,0.635898
69,1.166690,5.470800,0.678656,30.549861,0.931409,24.043717,0.612611
70,1.183357,5.256500,0.668000,33.698963,0.936330,24.573170,0.605351
71,1.200024,5.146400,0.675392,33.981448,0.936983,24.560666,0.603452
72,1.216691,5.281400,0.676352,34.024771,0.936801,24.538131,0.602606
73,1.233358,5.166900,0.670080,34.036317,0.936307,24.519128,0.600931
74,1.250025,5.098500,0.854496,34.033458,0.935267,24.499050,0.601112
75,1.266692,5.300200,0.670912,34.038749,0.935144,24.449397,0.601209
76,1.283359,5.066400,0.673952,34.020881,0.934925,24.381104,0.599122
77,1.300026,5.156700,0.674144,34.044952,0.934802,24.321613,0.597887
78,1.316693,4.947600,0.679200,34.011894,0.934306,24.305891,0.597180
79,1.333360,5.031800,0.674720,33.936524,0.933238,24.354083,0.598269
80,1.350027,5.675100,0.675360,34.004352,0.933431,24.452117,0.601966
81,1.366694,4.982800,0.678080,34.030868,0.933328,24.574011,0.605246
82,1.383361,5.103300,1.063552,34.101598,0.933747,24.670761,0.608592
83,1.400028,5.231900,0.962272,34.169290,0.934176,24.775969,0.610831
84,1.416695,5.310000,0.671776,34.175346,0.933649,24.854675,0.612266
85,1.433362,5.125200,0.681056,34.204470,0.933839,24.933369,0.614524
86,1.450029,5.294000,0.683232,34.242499,0.933319,25.030160,0.617391
87,1.466696,5.074800,0.671488,34.262175,0.933287,25.112201,0.620525
88,1.483363,5.107100,0.672160,34.256946,0.932529,25.208102,0.623058
89,1.500030,5.023600,0.675968,34.265222,0.932236,25.309776,0.626165
90,1.516697,5.157400,0.670560,34.368186,0.932650,25.421929,0.629406
91,1.533364,4.996300,0.669760,34.422179,0.933148,25.522992,0.631800
92,1.550031,5.264400,0.668832,34.429591,0.933153,25.618270,0.633813
93,1.566698,5.140600,0.670688,34.446474,0.932959,25.702861,0.635703
94,1.583365,5.226300,0.672096,34.478315,0.932796,25.800630,0.638424
95,1.600032,5.072300,0.671328,34.513077,0.932714,25.881434,0.640661
96,1.616699,5.615100,0.671488,34.545143,0.932598,25.959176,0.642427
97,1.633366,5.011400,0.866560,34.443605,0.931317,26.015693,0.643185
98,1.650033,5.162500,0.861952,34.468776,0.931231,26.105394,0.644604
