frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
10,0.550000,19.629106,4.951360,29.485035,0.942131,25.634145,0.616301,17.144047,0.809209,37.881655,0.955072
11,0.600000,21.869729,4.956640,29.234919,0.942235,25.733658,0.623929,16.823125,0.800690,39.141528,0.967113
12,0.650000,21.045713,4.956320,28.818380,0.940649,25.910386,0.633827,16.298994,0.779144,40.070258,0.973762
13,0.700000,21.107790,4.952000,28.194209,0.938382,26.084526,0.648399,15.527298,0.737502,40.722670,0.977378
14,0.750000,19.660275,4.994400,27.854468,0.938856,26.152277,0.665073,15.206736,0.724494,41.257343,0.981703
15,0.800000,19.726509,4.950400,27.850689,0.938561,25.569782,0.679694,15.399935,0.722145,35.734586,0.972488
16,0.850000,19.270805,4.991360,28.376946,0.940908,25.565505,0.707807,16.128776,0.744939,35.403133,0.970790
17,0.900000,19.920323,5.001280,26.238142,0.926173,24.554819,0.740356,14.524232,0.652711,33.983996,0.990095
18,0.950000,18.755708,5.030880,19.743556,0.777621,19.645714,0.716717,10.268494,0.236657,27.689739,0.960365
19,1.000000,18.730531,4.932000,18.419176,0.830584,18.225499,0.733848,10.024578,0.201013,29.318161,0.923782
20,1.050000,19.336858,4.388480,19.326909,0.825454,19.783115,0.775293,10.815819,0.142472,26.019691,0.909837
21,1.100000,19.721720,4.356960,20.971591,0.825009,20.660352,0.679117,12.255837,0.457977,37.190949,0.963623
22,1.150000,19.326338,4.392800,25.247653,0.864755,20.965360,0.575067,20.631485,0.909590,39.368098,0.973351
23,1.200000,18.874661,4.532800,27.307911,0.890325,22.205159,0.531020,20.384715,0.905808,39.100954,0.973918
24,1.250000,18.724810,4.835200,29.758395,0.901385,22.526147,0.529097,20.182111,0.900981,38.812974,0.974219
25,1.300000,18.510468,4.806560,29.695813,0.898991,22.474825,0.527770,19.836161,0.894749,38.537334,0.974046
26,1.350000,20.043694,4.816640,29.775419,0.909410,22.628407,0.531141,19.685446,0.892689,38.389303,0.974855
27,1.400000,18.613170,4.830240,29.735956,0.910848,22.869712,0.537649,19.263262,0.882895,38.077911,0.974137
28,1.450000,20.367140,4.810080,29.592538,0.909354,23.059439,0.544800,19.109087,0.881956,37.962826,0.975024
29,1.500000,19.120472,4.836800,29.792996,0.912795,23.257960,0.553454,19.025978,0.878068,37.567932,0.973580
