frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
16,0.283339,8.669000,0.999648,32.605325,0.951572,27.665470,0.685519,20.366418,0.880055,38.139350,0.956107
17,0.300006,7.983100,1.005824,32.698393,0.952165,27.651424,0.684272,20.520102,0.880985,37.993335,0.955643
18,0.316673,8.574600,1.200000,32.715936,0.952371,27.621616,0.682478,20.487504,0.881200,37.942284,0.955364
19,0.333340,8.331000,0.998144,32.718523,0.952368,27.585654,0.680374,20.502108,0.879012,37.821020,0.954167
20,0.350007,8.152200,1.128800,32.689789,0.952626,27.551359,0.679042,20.530654,0.878549,37.619856,0.953860
21,0.366674,8.421300,1.166112,32.706521,0.953088,27.533485,0.678072,20.471207,0.877202,37.496353,0.951767
22,0.383341,8.465300,0.999584,32.612640,0.953411,27.497335,0.676797,20.386166,0.874731,37.358783,0.949871
23,0.400008,8.318400,1.191648,32.416282,0.953465,27.473441,0.675225,20.004220,0.865802,37.227256,0.946398
24,0.416675,8.226500,1.162816,32.362694,0.954158,27.436647,0.672831,19.891963,0.861805,37.119845,0.944465
25,0.433342,8.345600,1.010752,32.201301,0.953798,27.409930,0.670672,19.714421,0.856951,37.203021,0.944374
26,0.450009,8.370800,1.003840,32.266371,0.954165,27.381978,0.670119,19.806978,0.856785,37.374026,0.948522
27,0.466676,8.228000,1.009056,32.325716,0.954244,27.336940,0.670503,19.970750,0.862300,37.515269,0.951358
28,0.483343,8.185500,1.000768,32.334928,0.954773,27.313590,0.670999,20.020373,0.860090,37.676134,0.953007
29,0.500010,8.061100,1.010272,32.330056,0.955304,27.295746,0.671239,19.936520,0.856743,37.860404,0.954975
30,0.516677,9.008400,0.999968,32.347154,0.955600,27.309733,0.671584,19.917051,0.855730,38.107094,0.955957
31,0.533344,7.931500,0.996768,32.372992,0.956079,27.347032,0.672237,19.920622,0.854493,38.088272,0.955491
32,0.550011,8.186300,1.168608,32.088074,0.956044,27.370446,0.673408,19.538493,0.848494,38.223882,0.956567
33,0.566678,8.587700,1.002656,32.010907,0.956417,27.400468,0.674611,19.377243,0.848933,38.653356,0.960477
34,0.583345,8.338800,1.006016,31.761438,0.956860,27.434539,0.676629,18.968607,0.842550,38.977155,0.963824
35,0.600012,8.109300,1.009312,31.613638,0.957059,27.513957,0.681153,18.726730,0.838294,39.264154,0.966449
36,0.616679,8.539700,1.004576,31.572189,0.957501,27.595466,0.684856,18.641561,0.836518,39.634061,0.969868
37,0.633346,8.391300,1.011168,31.518150,0.957215,27.676756,0.688177,18.578295,0.835163,39.766284,0.971304
38,0.650013,8.510700,1.170784,31.565867,0.957457,27.752132,0.693431,18.632746,0.831574,39.799995,0.972072
39,0.666680,8.255700,1.004544,31.758065,0.957567,27.830880,0.699171,18.890587,0.835881,39.751196,0.970848
40,0.683347,8.668600,1.270592,32.014533,0.958479,27.913582,0.703768,19.237121,0.842659,39.732133,0.971528
41,0.700014,8.538500,1.012640,32.088540,0.958868,27.980728,0.709731,19.336395,0.845960,39.838139,0.973230
42,0.716681,8.130700,1.179200,31.883996,0.959148,28.058505,0.717126,19.044512,0.841069,39.995504,0.976122
43,0.733348,8.596500,1.163712,31.673874,0.958643,28.110998,0.723217,18.804331,0.832732,40.137646,0.978004
44,0.750015,8.247400,1.007712,31.449484,0.958530,28.094261,0.726840,18.552388,0.824840,40.380555,0.979274
45,0.766682,8.073500,1.287616,31.301759,0.958189,28.057796,0.730622,18.321431,0.819247,40.224624,0.979810
46,0.783349,8.034300,1.261504,31.331924,0.958748,28.064695,0.738129,18.400412,0.815823,39.151046,0.980778
47,0.800016,8.021900,1.016096,31.195846,0.959027,28.117205,0.747426,18.246315,0.806484,39.354699,0.986171
48,0.816683,8.116400,1.000192,31.043505,0.959346,28.211891,0.757697,17.961258,0.803233,39.304002,0.985421
49,0.833350,8.303600,1.284160,30.878840,0.958108,28.289241,0.767554,17.728554,0.794284,39.290524,0.984215
50,0.850017,8.305500,1.158528,30.331741,0.957894,28.362317,0.777564,17.127695,0.762522,40.635931,0.985973
51,0.866684,8.274400,1.194432,30.054581,0.957222,28.460497,0.790420,16.909364,0.738229,38.502482,0.990738
52,0.883351,8.389400,1.000768,29.628249,0.955415,28.431708,0.805663,16.448390,0.726979,40.756201,0.996719
53,0.900018,8.315500,1.173248,29.336604,0.953120,27.482902,0.818216,16.772064,0.742224,38.814715,0.996388
54,0.916685,8.666200,1.263040,28.496705,0.936183,24.445430,0.810183,16.826922,0.737999,30.990198,0.989388
55,0.933352,8.422900,0.993664,27.992394,0.927862,23.965123,0.813244,16.693274,0.715815,27.460330,0.955784
56,0.950019,9.249800,1.138080,26.917697,0.914032,22.897447,0.802724,16.732357,0.694617,28.057110,0.923290
57,0.966686,8.500600,0.971264,26.013605,0.918544,22.289114,0.800358,16.979599,0.702617,29.305936,0.923810
58,0.983353,8.200600,1.116000,27.515371,0.935176,21.560408,0.796413,16.858010,0.702861,31.604469,0.941190
59,1.000020,8.269100,0.946304,26.990425,0.939439,21.814507,0.808606,17.009542,0.711185,31.566079,0.969451
60,1.016687,8.377600,0.947616,28.207444,0.947986,22.421289,0.824550,16.569149,0.667500,30.964852,0.960322
61,1.033354,8.338000,1.215328,27.370818,0.940488,22.884170,0.835735,16.955268,0.683909,32.051220,0.963553
62,1.050021,8.602600,1.102944,29.055385,0.943661,24.234998,0.829636,18.325658,0.718413,31.560921,0.952000
63,1.066688,8.532500,0.959360,31.739478,0.927035,24.373036,0.806657,27.743908,0.977425,43.044327,0.987475
64,1.083355,8.160800,1.145824,29.682729,0.903138,23.974433,0.779082,27.150423,0.977492,44.951084,0.991103
65,1.100022,8.013000,1.212736,29.112065,0.911876,24.437690,0.748749,26.969828,0.976643,44.903210,0.991237
66,1.116689,8.412800,1.245760,31.022949,0.927841,24.109336,0.706944,26.689408,0.975130,44.822722,0.990922
67,1.133356,8.372200,1.270848,31.381948,0.932681,23.813676,0.669581,26.146922,0.972408,44.612453,0.990518
68,1.150023,8.254200,0.993536,31.693204,0.932498,23.883132,0.640209,25.682145,0.969304,44.428184,0.990061
69,1.166690,8.230500,1.176928,30.191299,0.929832,24.057425,0.617093,24.917437,0.962966,44.229834,0.989949
70,1.183357,8.107200,1.000480,32.548482,0.935554,24.589211,0.609990,24.284161,0.958194,44.058923,0.990002
71,1.200024,8.599100,0.999424,32.632527,0.936068,24.577347,0.608239,23.838110,0.953077,43.921703,0.989828
72,1.216691,8.550600,1.000480,32.660364,0.936269,24.555543,0.607571,23.733641,0.952132,43.833397,0.989342
73,1.233358,8.390000,1.160256,32.586769,0.934999,24.537374,0.606122,23.581856,0.949410,43.655514,0.988549
74,1.250025,8.106700,1.000000,32.553819,0.934365,24.518012,0.606470,23.401484,0.946721,43.503028,0.987888
75,1.266692,8.222600,1.008352,32.474710,0.933864,24.468830,0.606713,23.226392,0.944732,43.231335,0.987310
76,1.283359,8.377500,1.169152,32.419193,0.933637,24.400942,0.604775,23.104992,0.943185,43.088765,0.986931
77,1.300026,7.873800,1.285344,32.395983,0.933652,24.341976,0.603673,22.979314,0.941752,42.975263,0.986011
78,1.316693,8.259300,1.160480,32.331205,0.932902,24.326816,0.603088,22.837450,0.939692,42.794100,0.984821
79,1.333360,8.040600,1.286784,32.281306,0.931586,24.376145,0.604331,22.884562,0.939212,42.543020,0.984189
80,1.350027,8.271200,1.001184,32.329977,0.931967,24.475406,0.608207,22.804700,0.937824,42.514110,0.984382
81,1.366694,8.010800,1.006624,32.325357,0.931594,24.598768,0.611650,22.786042,0.937054,42.334599,0.984343
82,1.383361,8.200200,1.185824,32.372110,0.932248,24.696852,0.615120,22.745771,0.934998,42.142841,0.983683
83,1.400028,8.220400,1.290528,32.401644,0.932397,24.803269,0.617468,22.743284,0.933949,42.023475,0.983558
84,1.416695,8.049200,1.006688,32.390405,0.931642,24.883277,0.619037,22.698585,0.932654,42.161427,0.984184
85,1.433362,8.675000,1.014272,32.386030,0.931664,24.963242,0.621397,22.628049,0.931661,41.971272,0.983415
86,1.450029,8.009400,1.237856,32.379054,0.931437,25.061539,0.624334,22.516699,0.929569,41.707291,0.981375
87,1.466696,7.915900,1.441984,32.351263,0.930843,25.144918,0.627531,22.440023,0.927698,41.547709,0.979886
