frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
10,0.550000,19.644775,4.818720,36.398209,0.952326,25.634145,0.616301,51.068627,0.997717,37.881428,0.955069
11,0.600000,20.410321,4.801280,36.352272,0.953152,25.733657,0.623929,51.249002,0.998030,39.141359,0.967111
12,0.650000,19.662769,4.848000,36.505702,0.952397,25.910386,0.633827,50.911479,0.997660,40.069831,0.973760
13,0.700000,19.743461,4.825760,36.454920,0.952274,26.084526,0.648399,50.776363,0.997930,40.722363,0.977376
14,0.750000,22.876487,4.810880,36.265137,0.953702,26.152277,0.665073,50.562236,0.998053,41.257159,0.981701
15,0.800000,21.324947,4.823680,35.448213,0.953229,25.569785,0.679694,45.844381,0.997471,35.735191,0.972488
16,0.850000,20.866678,4.867680,35.624776,0.954482,25.565508,0.707807,50.441151,0.998624,35.403732,0.970789
17,0.900000,19.916726,4.893280,31.543492,0.943369,24.554820,0.740356,42.588390,0.995076,33.984211,0.990095
18,0.950000,18.433574,4.908640,22.258325,0.830750,19.645714,0.716717,39.785182,0.993953,27.689725,0.960363
19,1.000000,18.834737,4.848960,20.236340,0.882356,18.225500,0.733848,46.719288,0.994197,29.318336,0.923785
20,1.050000,19.301262,4.270720,21.115652,0.869624,19.783111,0.775292,28.309245,0.855746,26.019325,0.909828
21,1.100000,19.670915,4.263360,22.727725,0.849841,20.660352,0.679117,48.847777,0.994934,37.191194,0.963626
22,1.150000,19.008943,4.261600,25.846608,0.868905,20.965360,0.575067,50.646562,0.996982,39.368117,0.973352
23,1.200000,19.255415,4.393600,28.381983,0.894653,22.205159,0.531020,50.858878,0.997368,39.101168,0.973919
24,1.250000,18.618591,4.721920,32.004035,0.905976,22.526147,0.529097,51.183635,0.997690,38.813033,0.974219
25,1.300000,18.616187,4.680480,32.144346,0.903846,22.474825,0.527770,51.184248,0.997719,38.537282,0.974046
26,1.350000,20.186892,4.676000,32.408960,0.914383,22.628407,0.531141,51.099084,0.997691,38.389289,0.974856
27,1.400000,18.604445,4.690560,32.718978,0.916298,22.869712,0.537649,50.929240,0.997544,38.077893,0.974137
28,1.450000,18.617970,4.685120,32.588099,0.914914,23.059439,0.544800,50.972529,0.997639,37.962767,0.975025
29,1.500000,20.506862,4.697280,33.114124,0.918569,23.257960,0.553454,51.135672,0.997695,37.567982,0.973580
