frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend,psnr_hud,ssim_hud,psnr_hud_blend,ssim_hud_blend
16,0.283339,8.742400,1.167072,37.153179,0.956570,27.665470,0.685519,53.061755,0.998309,38.139274,0.956106
17,0.300006,8.558600,0.987776,37.240577,0.957216,27.651424,0.684272,53.003396,0.998175,37.993382,0.955641
18,0.316673,8.524400,1.148640,37.326432,0.957443,27.621616,0.682478,53.164440,0.998250,37.942242,0.955363
19,0.333340,8.488400,0.986176,37.344905,0.957681,27.585654,0.680374,52.919450,0.998271,37.820940,0.954165
20,0.350007,8.511500,0.980384,37.395516,0.957981,27.551359,0.679042,52.759398,0.998196,37.619835,0.953859
21,0.366674,8.341200,0.986944,37.442725,0.958542,27.533485,0.678072,52.957860,0.998231,37.496350,0.951765
22,0.383341,8.438900,0.981888,37.464235,0.959013,27.497335,0.676797,52.929535,0.998374,37.358744,0.949868
23,0.400008,9.052400,0.985504,37.527525,0.959424,27.473440,0.675225,53.150437,0.998539,37.227147,0.946396
24,0.416675,8.997400,1.144128,37.618296,0.960290,27.436647,0.672831,53.254042,0.998515,37.119781,0.944462
25,0.433342,8.849700,1.175520,37.564285,0.960239,27.409930,0.670672,53.599657,0.998580,37.203002,0.944372
26,0.450009,9.159000,1.148768,37.604340,0.960548,27.381977,0.670118,53.754695,0.998605,37.373907,0.948519
27,0.466676,8.656500,1.179200,37.518843,0.960448,27.336940,0.670503,53.553308,0.998552,37.515297,0.951355
28,0.483343,8.498300,1.139584,37.578436,0.961140,27.313590,0.670998,53.611496,0.998608,37.676123,0.953005
29,0.500010,8.628500,0.984416,37.636567,0.961806,27.295746,0.671239,53.867361,0.998762,37.860316,0.954973
30,0.516677,9.062500,0.990496,37.692171,0.962100,27.309732,0.671584,53.983229,0.998820,38.107049,0.955955
31,0.533344,8.594900,0.985152,37.773526,0.962587,27.347032,0.672237,54.258357,0.998905,38.088252,0.955489
32,0.550011,9.274100,1.566560,37.729920,0.962814,27.370446,0.673408,54.863361,0.999102,38.223864,0.956567
33,0.566678,8.470600,1.153568,37.714820,0.963148,27.400468,0.674611,54.891165,0.999066,38.653406,0.960477
34,0.583345,9.012200,0.984800,37.789378,0.963806,27.434539,0.676629,54.770681,0.999014,38.977291,0.963824
35,0.600012,8.979400,0.995904,37.923243,0.964404,27.513958,0.681153,55.499669,0.999148,39.264333,0.966449
36,0.616679,8.760800,0.976672,37.996603,0.964849,27.595466,0.684856,56.658074,0.999286,39.634188,0.969869
37,0.633346,8.715700,1.034336,37.875683,0.964415,27.676756,0.688177,56.903036,0.999369,39.766557,0.971303
38,0.650013,8.955900,1.024448,37.852955,0.964776,27.752132,0.693431,56.547716,0.999366,39.800247,0.972072
39,0.666680,9.284000,1.161280,37.806153,0.964505,27.830881,0.699171,55.115805,0.999235,39.751298,0.970848
40,0.683347,8.720900,0.986912,37.957344,0.965394,27.913582,0.703768,54.188694,0.999214,39.732230,0.971528
41,0.700014,8.524400,1.201632,37.943116,0.965679,27.980728,0.709731,53.744117,0.999129,39.838305,0.973229
42,0.716681,8.750400,1.122336,37.944474,0.965927,28.058505,0.717125,54.059413,0.999268,39.995566,0.976122
43,0.733348,9.470100,0.997760,37.928228,0.965997,28.111000,0.723217,53.814063,0.999146,40.138108,0.978005
44,0.750015,8.215000,1.165984,37.891504,0.966404,28.094262,0.726840,52.979985,0.998742,40.381081,0.979275
45,0.766682,8.883000,1.231232,37.804994,0.966176,28.057796,0.730622,53.711079,0.999190,40.224818,0.979810
46,0.783349,8.013100,1.001536,37.866709,0.967238,28.064695,0.738129,54.308153,0.999247,39.151299,0.980778
47,0.800016,8.151400,1.164288,37.761418,0.967416,28.117205,0.747426,54.769356,0.999276,39.354828,0.986171
48,0.816683,8.540500,1.165792,37.660497,0.967518,28.211892,0.757697,56.415146,0.999626,39.304191,0.985421
49,0.833350,8.526500,0.988672,37.606302,0.966943,28.289241,0.767554,56.264213,0.999623,39.290472,0.984215
50,0.850017,8.606300,1.212192,37.545158,0.967694,28.362317,0.777564,56.048212,0.999637,40.635901,0.985974
51,0.866684,8.554400,1.151520,37.490716,0.968006,28.460498,0.790420,43.354914,0.998094,38.502691,0.990738
52,0.883351,8.548200,0.989408,36.930624,0.967073,28.431708,0.805663,51.942740,0.999558,40.756227,0.996720
53,0.900018,8.709000,0.986720,34.632324,0.963387,27.482897,0.818216,44.644192,0.999200,38.812825,0.996389
54,0.916685,8.659500,1.114016,32.515182,0.945971,24.445432,0.810183,45.265683,0.999207,30.990459,0.989388
55,0.933352,8.991900,1.166400,31.631776,0.940916,23.965122,0.813244,46.706809,0.998464,27.460305,0.955782
56,0.950019,8.731700,0.965504,29.834192,0.928589,22.897441,0.802724,46.565589,0.997268,28.056577,0.923284
57,0.966686,8.254800,0.953856,27.570033,0.931719,22.289109,0.800358,47.858117,0.996900,29.305281,0.923804
58,0.983353,8.704900,1.108032,30.236533,0.948085,21.560406,0.796413,49.034719,0.996748,31.603991,0.941186
59,1.000020,8.258000,0.929632,29.219272,0.952999,21.814506,0.808606,51.904844,0.999110,31.565885,0.969449
60,1.016687,9.003200,0.926784,32.415194,0.963633,22.421289,0.824550,51.191224,0.998487,30.964938,0.960322
61,1.033354,8.467900,0.936704,30.424255,0.956060,22.884171,0.835735,41.585973,0.991437,32.051331,0.963552
62,1.050021,9.156700,1.089984,32.010999,0.955561,24.234997,0.829636,39.657125,0.974122,31.560822,0.952000
63,1.066688,8.519700,0.939584,32.314367,0.928526,24.373036,0.806657,49.649628,0.996179,43.044510,0.987476
64,1.083355,8.522800,0.938528,29.966649,0.903340,23.974433,0.779082,50.918570,0.997277,44.951432,0.991104
65,1.100022,9.292300,0.953312,29.389696,0.912575,24.437691,0.748749,51.262392,0.997606,44.903550,0.991238
66,1.116689,8.517800,0.963232,31.478199,0.928675,24.109336,0.706944,51.381921,0.997748,44.823014,0.990922
67,1.133356,8.301800,1.152288,31.949341,0.933624,23.813676,0.669581,51.339865,0.997750,44.612644,0.990519
68,1.150023,8.831100,0.977856,32.381255,0.933569,23.883132,0.640209,51.425248,0.997726,44.428470,0.990061
69,1.166690,8.295300,0.992544,30.764666,0.931145,24.057425,0.617093,51.508043,0.997828,44.229971,0.989949
70,1.183357,8.371700,1.108160,33.775954,0.937046,24.589211,0.609990,51.631179,0.997970,44.059164,0.990002
71,1.200024,8.215000,1.181920,34.048684,0.937755,24.577347,0.608239,51.753806,0.997952,43.921827,0.989828
72,1.216691,8.480300,0.985504,34.128484,0.937995,24.555543,0.607571,51.886074,0.997986,43.833411,0.989342
73,1.233358,8.528300,0.990400,34.086801,0.936820,24.537374,0.606122,51.538795,0.997833,43.655575,0.988550
74,1.250025,8.397100,1.154848,34.115967,0.936280,24.518012,0.606470,51.515375,0.997790,43.502969,0.987888
75,1.266692,8.516100,0.992608,34.079047,0.935854,24.468830,0.606713,51.494179,0.997814,43.231240,0.987309
76,1.283359,8.154500,1.249056,34.053101,0.935680,24.400942,0.604775,51.392639,0.997767,43.088819,0.986931
77,1.300026,8.326700,0.992000,34.077653,0.935755,24.341976,0.603673,51.599244,0.997750,42.975343,0.986011
78,1.316693,8.314100,1.185824,34.050141,0.935087,24.326816,0.603088,51.847903,0.997838,42.794069,0.984821
79,1.333360,8.785200,0.998016,33.954306,0.933799,24.376145,0.604331,51.844620,0.997813,42.543168,0.984189
80,1.350027,8.574100,0.982272,34.064368,0.934230,24.475406,0.608207,51.937074,0.997903,42.514047,0.984382
81,1.366694,8.924400,0.990912,34.066862,0.933895,24.598768,0.611650,51.889780,0.997920,42.334663,0.984343
82,1.383361,8.403400,1.148672,34.157367,0.934623,24.696852,0.615120,51.638470,0.997756,42.142816,0.983683
83,1.400028,8.408500,1.161376,34.203235,0.934817,24.803269,0.617468,51.804595,0.997820,42.023494,0.983558
84,1.416695,8.255800,1.124128,34.209581,0.934115,24.883277,0.619037,51.999484,0.997975,42.161344,0.984184
85,1.433362,8.619300,0.987680,34.239905,0.934181,24.963242,0.621397,51.927369,0.997899,41.971280,0.983415
86,1.450029,8.441400,1.174144,34.289296,0.934031,25.061539,0.624334,51.787492,0.997742,41.707228,0.981375
87,1.466696,9.062000,1.187456,34.289308,0.933503,25.144918,0.627531,52.002707,0.997896,41.547649,0.979885
88,1.483363,8.590700,0.984128,34.281978,0.932804,25.242586,0.630140,51.903169,0.997791,41.422308,0.978388
89,1.500030,7.977200,1.190240,34.297289,0.932416,25.345651,0.633331,51.781076,0.997777,41.289611,0.977931
90,1.516697,9.016300,1.397920,34.401154,0.932967,25.459806,0.636670,51.728459,0.997692,41.111595,0.977049
91,1.533364,8.020900,0.982336,34.456611,0.933487,25.563093,0.639173,51.667510,0.997618,40.977133,0.976058
92,1.550031,8.726300,1.129152,34.467002,0.933586,25.660038,0.641232,51.766557,0.997665,40.909370,0.975593
93,1.566698,8.610000,1.455104,34.481678,0.933449,25.746283,0.643148,51.747594,0.997733,40.834569,0.975667
94,1.583365,8.243900,1.177088,34.527775,0.933470,25.846191,0.645899,51.569802,0.997616,40.667066,0.974989
95,1.600032,8.331900,0.983232,34.561548,0.933368,25.928745,0.648132,51.681965,0.997708,40.631872,0.974879
96,1.616699,8.155300,0.986336,34.577755,0.933060,26.008036,0.649888,51.826981,0.997731,40.596718,0.975474
97,1.633366,8.678000,1.174560,34.460491,0.931491,26.066160,0.650648,51.801959,0.997689,40.571932,0.975099
98,1.650033,8.199900,0.980256,34.490313,0.931427,26.157684,0.652014,51.873639,0.997677,40.529812,0.973387
99,1.666700,8.134600,1.179104,34.590733,0.931506,26.295657,0.655001,51.993057,0.997720,40.394503,0.972067
100,1.683367,8.323600,1.106432,34.690728,0.932503,26.411827,0.657668,52.062402,0.997677,40.436132,0.972084
101,1.700034,7.870700,1.142208,34.711542,0.932363,26.501230,0.659842,52.268784,0.997687,40.614879,0.972180
102,1.716701,8.197100,0.982816,34.733539,0.932544,26.582367,0.661922,52.589941,0.997725,40.918654,0.973292
103,1.733368,8.333700,0.985216,34.761088,0.933263,26.653740,0.662935,52.743663,0.997774,41.104040,0.974426
104,1.750035,8.156700,0.984896,34.725360,0.932592,26.727395,0.664655,53.230608,0.997950,41.620866,0.976007
105,1.766702,8.656000,1.172512,34.719389,0.932258,26.793401,0.665335,53.519778,0.998019,42.398445,0.977697
106,1.783369,7.862400,0.981184,34.727794,0.931794,26.865837,0.666908,53.502626,0.998020,42.510249,0.978248
107,1.800036,8.342100,1.137120,34.659170,0.931323,26.930180,0.668156,53.534005,0.998106,42.671014,0.979215
108,1.816703,8.576000,0.990432,34.736826,0.932116,27.002617,0.669396,54.518059,0.998312,43.364183,0.979726
109,1.833370,8.218300,1.318240,34.785990,0.932898,27.061397,0.669818,54.894054,0.998464,43.536227,0.980050
110,1.850037,8.240100,1.434976,34.737995,0.932447,27.116340,0.670425,54.861512,0.998524,43.626254,0.980848
111,1.866704,8.954200,0.992160,34.700850,0.932329,27.155276,0.670513,54.840698,0.998608,43.655127,0.981571
112,1.883371,8.319100,1.244352,34.622360,0.931891,27.181709,0.670645,54.992588,0.998744,43.436895,0.981572
113,1.900038,8.867600,1.446976,34.603585,0.931378,27.206596,0.670100,54.990041,0.998850,43.491675,0.982734
114,1.916705,8.649600,0.985888,34.680686,0.931993,27.259376,0.670239,54.711442,0.998917,43.484483,0.983857
115,1.933372,8.354600,0.989600,34.571505,0.930617,27.303515,0.669571,54.017026,0.998865,43.155372,0.984771
116,1.950039,8.197300,1.160224,34.587821,0.931179,27.355869,0.669670,53.796282,0.998843,42.762768,0.984841
117,1.966706,8.268100,1.150752,34.583363,0.931407,27.404902,0.669959,53.866356,0.998922,42.358834,0.985030
118,1.983373,8.904800,0.993984,34.696200,0.932368,27.461234,0.670703,53.729170,0.998881,42.086127,0.985104
119,2.000040,7.869500,1.156096,34.709602,0.932811,27.499188,0.671209,53.784353,0.998933,41.512160,0.984676
