frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.764100,0.952672,37.116785,0.955964,27.517744,0.669806
17,0.300006,5.362200,1.143328,37.203019,0.956618,27.501538,0.668541
18,0.316673,5.639500,1.148800,37.288351,0.956874,27.471392,0.666807
19,0.333340,5.594600,0.952640,37.304728,0.957077,27.434262,0.664586
20,0.350007,5.718500,0.958304,37.353330,0.957362,27.394511,0.662761
21,0.366674,5.680900,0.952576,37.400915,0.957976,27.374060,0.661721
22,0.383341,6.937500,1.251680,37.421282,0.958454,27.339874,0.660613
23,0.400008,5.535100,0.954048,37.486168,0.958920,27.314727,0.658994
24,0.416675,6.117800,1.137856,37.577562,0.959815,27.273502,0.656457
25,0.433342,5.874400,0.954080,37.527716,0.959797,27.245845,0.654422
26,0.450009,5.467700,1.104224,37.569557,0.960114,27.221370,0.653789
27,0.466676,5.517100,0.960448,37.484364,0.959979,27.180981,0.654368
28,0.483343,5.819600,0.962400,37.545069,0.960684,27.162974,0.655424
29,0.500010,5.537400,1.127680,37.606372,0.961394,27.151121,0.656139
30,0.516677,5.799000,1.139872,37.662368,0.961699,27.170612,0.656964
31,0.533344,5.911100,1.133152,37.746260,0.962212,27.212209,0.657984
32,0.550011,5.639400,1.122976,37.705784,0.962471,27.242515,0.659662
33,0.566678,5.686900,1.143168,37.690918,0.962814,27.284177,0.661603
34,0.583345,5.780200,0.962272,37.764944,0.963450,27.330988,0.664797
35,0.600012,5.541300,0.964704,37.902589,0.964128,27.422674,0.670466
36,0.616679,5.951600,0.964576,37.980030,0.964607,27.516172,0.675028
37,0.633346,5.924600,0.963968,37.860067,0.964176,27.602350,0.678554
38,0.650013,5.936300,1.160544,37.835561,0.964536,27.676853,0.684231
39,0.666680,5.930900,1.132640,37.781440,0.964204,27.753427,0.690535
40,0.683347,5.876500,0.961760,37.925029,0.965042,27.834002,0.695601
41,0.700014,6.568600,1.233280,37.908043,0.965319,27.902168,0.702160
42,0.716681,5.427600,0.973216,37.913966,0.965623,27.982194,0.710136
43,0.733348,6.527400,1.151296,37.896974,0.965713,28.036067,0.716698
44,0.750015,5.823700,0.968160,37.857379,0.966090,28.022592,0.720943
45,0.766682,6.032500,0.961344,37.781459,0.965965,27.981500,0.725271
46,0.783349,5.848400,0.963520,37.847840,0.967058,27.962410,0.732837
