frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,18.319249,4.479040,37.100103,0.955761,27.532836,0.670844
17,0.300006,16.643938,4.457120,37.180896,0.956342,27.515581,0.669523
18,0.316673,16.603001,4.453600,37.273752,0.956667,27.484817,0.667740
19,0.333340,16.615975,4.441920,37.283329,0.956762,27.448103,0.665570
20,0.350007,17.650345,4.514720,37.353915,0.957252,27.409120,0.663715
21,0.366674,16.660247,4.485760,37.391071,0.957817,27.387222,0.662659
22,0.383341,18.122390,4.494400,37.410565,0.958197,27.353588,0.661515
23,0.400008,16.694513,4.459040,37.472727,0.958589,27.326768,0.659856
24,0.416675,16.714490,4.454080,37.575111,0.959669,27.285165,0.657300
25,0.433342,16.750748,4.457760,37.506662,0.959402,27.258557,0.655258
26,0.450009,17.486087,4.480640,37.557441,0.959916,27.233730,0.654586
27,0.466676,16.724478,4.489760,37.467253,0.959738,27.193654,0.655175
28,0.483343,18.232667,4.472480,37.538699,0.960541,27.174854,0.656258
29,0.500010,16.214201,4.455040,37.610689,0.961303,27.163811,0.656992
30,0.516677,17.030402,4.464320,37.652728,0.961620,27.182004,0.657778
31,0.533344,16.802896,4.497120,37.746641,0.962142,27.223123,0.658784
32,0.550011,17.070528,4.504640,37.716623,0.962473,27.254050,0.660424
33,0.566678,18.137398,4.477600,37.682518,0.962672,27.295847,0.662386
34,0.583345,16.927880,4.573760,37.757509,0.963321,27.343719,0.665589
35,0.600012,18.273303,4.503520,37.890555,0.963963,27.434689,0.671239
36,0.616679,18.354756,4.479040,37.981683,0.964627,27.528091,0.675750
37,0.633346,16.875151,4.501920,37.851328,0.963968,27.614065,0.679250
38,0.650013,17.014552,4.463360,37.833974,0.964439,27.688486,0.684879
39,0.666680,16.946615,4.454240,37.779444,0.964046,27.765302,0.691172
40,0.683347,16.497492,4.507840,37.930984,0.964906,27.845213,0.696207
41,0.700014,18.248707,4.507680,37.917258,0.965270,27.913072,0.702733
42,0.716681,16.923001,4.519840,37.946047,0.965963,27.993682,0.710717
43,0.733348,18.383150,4.494080,37.890220,0.965615,28.047214,0.717266
44,0.750015,18.631506,4.480640,37.838292,0.965956,28.032215,0.721455
45,0.766682,17.007419,4.496640,37.741640,0.965533,27.990812,0.725772
46,0.783349,16.830497,4.480800,37.769741,0.966411,27.973102,0.733383
47,0.800016,16.891040,4.497600,37.670418,0.966668,28.023584,0.743651
48,0.816683,17.273367,4.549120,37.628519,0.967285,28.118906,0.754464
49,0.833350,16.364403,4.538400,37.575579,0.966641,28.199603,0.764572
50,0.850017,18.256822,4.527520,37.549973,0.967829,28.306051,0.775713
51,0.866684,16.850996,4.542400,37.299057,0.967655,28.344202,0.789363
52,0.883351,16.921477,4.513920,36.917526,0.966967,28.355819,0.805598
53,0.900018,16.743654,4.551520,34.566018,0.963331,27.384678,0.818134
54,0.916685,17.222141,4.523040,32.268949,0.946283,24.132197,0.808921
55,0.933352,17.062322,4.488960,31.736007,0.941576,23.450297,0.809471
56,0.950019,15.621109,4.379360,29.917158,0.929196,22.584597,0.797765
57,0.966686,15.071849,4.324160,27.563687,0.932670,22.080666,0.795031
58,0.983353,15.878602,4.254080,30.199850,0.947622,21.389878,0.789864
59,1.000020,15.011535,4.256000,29.308086,0.953113,21.609870,0.801265
60,1.016687,14.941774,4.235040,32.291988,0.962972,22.224014,0.818649
61,1.033354,16.518051,4.216640,29.867645,0.953337,22.721744,0.829895
62,1.050021,15.068773,4.251520,29.647599,0.946413,24.007285,0.823009
63,1.066688,15.015513,4.227680,32.549850,0.927444,24.362109,0.803549
64,1.083355,16.075411,4.236000,29.930997,0.902843,23.966055,0.776231
65,1.100022,15.153672,4.319360,29.413671,0.912390,24.431522,0.745994
66,1.116689,15.333039,4.310080,31.655202,0.928411,24.109020,0.704056
67,1.133356,16.376135,4.295200,32.147202,0.933239,23.813127,0.666528
68,1.150023,15.368195,4.361440,32.547787,0.932999,23.882756,0.637046
69,1.166690,14.893214,4.362880,30.961379,0.931038,24.057482,0.613731
70,1.183357,16.282580,4.304160,33.829113,0.935165,24.589603,0.606489
71,1.200024,15.152510,4.394080,33.919560,0.935921,24.576128,0.604611
72,1.216691,15.354349,4.354880,34.010587,0.936160,24.554569,0.603851
73,1.233358,16.373109,4.352320,33.953874,0.934722,24.535508,0.602183
74,1.250025,15.313081,4.360800,34.008198,0.934278,24.515250,0.602378
75,1.266692,15.405445,4.351520,33.987957,0.933891,24.466031,0.602527
76,1.283359,16.286176,4.320160,33.971199,0.933773,24.398410,0.600488
77,1.300026,15.292051,4.372960,34.000278,0.933918,24.339652,0.599284
78,1.316693,15.306178,4.342560,33.871736,0.933596,24.323515,0.598577
79,1.333360,16.255689,4.318240,33.778228,0.932491,24.372360,0.599684
80,1.350027,14.927929,4.366400,33.894229,0.932665,24.470859,0.603376
81,1.366694,15.326095,4.354400,33.911773,0.932212,24.592306,0.606583
82,1.383361,16.246512,4.345440,33.999916,0.932702,24.689857,0.609941
83,1.400028,15.305116,4.379200,34.053569,0.932881,24.795881,0.612194
84,1.416695,15.464234,4.352640,34.063320,0.932586,24.874657,0.613573
85,1.433362,16.283561,4.332320,34.075678,0.932471,24.952562,0.615819
86,1.450029,15.322940,4.388960,34.136401,0.932204,25.047971,0.618673
87,1.466696,15.383794,4.379360,34.144591,0.931980,25.129677,0.621761
88,1.483363,16.379301,4.327520,34.160087,0.931381,25.227090,0.624306
89,1.500030,14.813474,4.391360,34.166196,0.930889,25.330244,0.627401
90,1.516697,15.738990,4.355040,34.296802,0.931672,25.444208,0.630660
91,1.533364,15.587386,4.356160,34.346479,0.932152,25.547225,0.633066
92,1.550031,15.665271,4.381120,34.363083,0.932262,25.644273,0.635143
93,1.566698,15.460628,4.380800,34.368161,0.932123,25.727978,0.636925
94,1.583365,15.452182,4.343040,34.411451,0.931853,25.826185,0.639651
95,1.600032,15.375188,4.378560,34.451623,0.931706,25.908414,0.641935
96,1.616699,15.414731,4.374880,34.465309,0.931455,25.986728,0.643720
97,1.633366,16.313137,4.344640,34.365916,0.929914,26.043781,0.644467
98,1.650033,15.377492,4.390400,34.378825,0.929883,26.134558,0.645929
99,1.666700,15.412558,4.380160,34.491459,0.930055,26.271161,0.648918
100,1.683367,16.099466,4.334400,34.584528,0.931015,26.387249,0.651612
101,1.700034,15.647418,4.383520,34.606772,0.930930,26.477148,0.653831
102,1.716701,15.591153,4.364960,34.632097,0.931389,26.561141,0.656034
103,1.733368,16.472936,4.349280,34.673641,0.932011,26.637032,0.657195
104,1.750035,16.483677,4.364480,34.632821,0.931146,26.716067,0.659066
105,1.766702,15.445790,4.382400,34.640792,0.930930,26.787406,0.659854
106,1.783369,15.613475,4.386240,34.643599,0.930447,26.862996,0.661484
107,1.800036,15.476538,4.388960,34.579832,0.930104,26.930208,0.662893
108,1.816703,15.503328,4.377760,34.662182,0.930738,27.004975,0.664267
109,1.833370,15.858524,4.397280,34.705006,0.931526,27.061839,0.664754
110,1.850037,16.583755,4.382080,34.671611,0.931296,27.114972,0.665457
111,1.866704,15.296831,4.415040,34.645618,0.931277,27.152238,0.665659
112,1.883371,15.802790,4.387040,34.567106,0.930945,27.175872,0.665893
113,1.900038,15.491335,4.405920,34.545443,0.930358,27.199234,0.665508
114,1.916705,15.483351,4.404160,34.626908,0.931041,27.249998,0.665687
115,1.933372,15.812538,4.404160,34.513925,0.929710,27.290892,0.665036
116,1.950039,16.545593,4.396480,34.541269,0.930307,27.338418,0.665057
117,1.966706,15.543483,4.399680,34.541217,0.930495,27.382826,0.665175
118,1.983373,15.784345,4.394720,34.653265,0.931500,27.432134,0.665656
119,2.000040,16.529653,4.386560,34.674095,0.932074,27.466317,0.666018
