frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.810300,1.454848,38.990984,0.973160,27.517811,0.668109
17,0.300006,6.047800,1.294496,39.058963,0.972637,27.545297,0.670002
18,0.316673,5.828900,1.467168,38.965558,0.972250,27.537400,0.669448
19,0.333340,5.926500,1.297728,39.143705,0.973533,27.481855,0.666620
20,0.350007,5.851500,1.309792,39.355599,0.974334,27.423883,0.664481
21,0.366674,5.817500,1.451904,39.216469,0.974246,27.413430,0.663390
22,0.383341,6.040100,1.451328,39.031478,0.972644,27.419207,0.664489
23,0.400008,6.177800,1.452416,39.251984,0.973776,27.372652,0.662216
24,0.416675,6.147400,1.339936,39.514864,0.975290,27.284407,0.656380
25,0.433342,6.119500,1.641216,39.443937,0.974468,27.297552,0.657604
26,0.450009,6.307100,1.660704,39.350763,0.974445,27.300071,0.657892
27,0.466676,6.006400,1.454464,39.292155,0.975047,27.244790,0.657408
28,0.483343,5.948100,1.453824,39.517308,0.976270,27.201707,0.657979
29,0.500010,5.640700,1.471456,39.419526,0.976066,27.194355,0.658500
30,0.516677,5.949600,1.308640,39.249166,0.974538,27.249709,0.661395
31,0.533344,5.810600,1.299808,39.470530,0.975837,27.272663,0.661808
32,0.550011,6.122500,1.743296,39.636502,0.976978,27.260141,0.659999
33,0.566678,5.792900,1.308448,39.485437,0.976762,27.326098,0.664914
34,0.583345,5.945400,1.477056,39.443943,0.976276,27.406430,0.668892
35,0.600012,6.029800,1.319680,39.667930,0.977306,27.479504,0.673617
36,0.616679,5.973400,1.641952,39.810260,0.978062,27.554794,0.677636
37,0.633346,6.158300,1.678016,39.626890,0.977278,27.646814,0.681356
38,0.650013,6.087500,1.317792,39.461639,0.975983,27.761951,0.688453
39,0.666680,6.616400,1.476672,39.497695,0.976520,27.818746,0.694095
40,0.683347,6.196900,1.467296,39.801346,0.977674,27.843678,0.696206
41,0.700014,6.075200,1.665376,39.629458,0.977254,27.944589,0.705371
42,0.716681,6.655900,1.488064,39.452168,0.976253,28.040014,0.713464
43,0.733348,6.245200,1.669312,39.537020,0.976941,28.082610,0.719328
44,0.750015,6.421800,1.484096,39.507282,0.977444,28.041262,0.723092
45,0.766682,5.934300,1.682272,39.384701,0.977020,28.012470,0.727593
46,0.783349,5.922800,1.320896,39.168421,0.976463,28.030834,0.736470
47,0.800016,5.896600,1.315008,39.268139,0.977794,28.056692,0.746210
48,0.816683,6.060000,1.593952,39.235980,0.978280,28.109115,0.754092
49,0.833350,6.040600,1.583712,39.177357,0.977699,28.217037,0.767120
50,0.850017,5.953100,1.309280,38.861075,0.977371,28.355596,0.778192
51,0.866684,5.829400,1.540640,38.283375,0.977155,28.363733,0.790962
52,0.883351,6.115500,1.577408,37.823612,0.977140,28.368165,0.806455
53,0.900018,5.777200,1.577920,35.305382,0.972033,27.397869,0.818907
54,0.916685,5.919100,1.574816,32.397767,0.950774,24.157107,0.811565
55,0.933352,5.898200,1.294368,31.525214,0.949096,23.462594,0.812132
56,0.950019,5.723300,1.260576,29.942260,0.936070,22.590902,0.798636
57,0.966686,6.097700,1.428064,27.903918,0.941020,22.084632,0.799919
58,0.983353,6.226900,1.477376,30.381428,0.958271,21.412583,0.794527
59,1.000020,5.993300,1.206336,29.658238,0.963282,21.615955,0.803556
60,1.016687,6.109400,1.549728,32.986050,0.970647,22.214247,0.819583
61,1.033354,6.181300,1.428960,29.595484,0.956649,22.717607,0.829902
62,1.050021,6.109100,1.344832,31.679085,0.955118,24.030275,0.826225
63,1.066688,6.152200,1.371616,31.107490,0.935453,24.377862,0.808146
64,1.083355,6.090800,1.553440,28.573724,0.918621,23.992056,0.783675
65,1.100022,5.714300,1.228864,29.543322,0.931975,24.505295,0.754896
66,1.116689,5.807100,1.482880,32.142650,0.948941,24.167941,0.712047
67,1.133356,5.976900,1.260960,33.123616,0.954298,23.840539,0.671758
68,1.150023,5.942500,1.548896,33.959962,0.956881,23.884186,0.638774
69,1.166690,5.931800,1.555520,31.446321,0.954591,24.063527,0.617170
70,1.183357,5.919400,1.572608,35.275704,0.958077,24.643522,0.612254
71,1.200024,6.164900,1.465792,35.773098,0.959622,24.606221,0.608605
72,1.216691,5.665000,1.499040,36.050289,0.962446,24.531877,0.604646
73,1.233358,5.908600,1.594176,35.956834,0.959739,24.544626,0.604916
74,1.250025,6.218400,1.535488,35.818674,0.958447,24.549763,0.606223
75,1.266692,6.096800,1.305696,35.977915,0.959733,24.484706,0.605953
76,1.283359,5.726000,1.963520,36.058117,0.960075,24.375368,0.600210
77,1.300026,5.720500,1.304352,36.004494,0.959917,24.326341,0.600616
78,1.316693,5.552500,1.298112,35.614573,0.955944,24.358297,0.602636
79,1.333360,5.628200,1.586336,35.660193,0.957228,24.384572,0.602797
80,1.350027,5.639600,1.311584,36.049020,0.960747,24.437317,0.603930
81,1.366694,5.493500,1.301568,36.032135,0.958697,24.591175,0.609271
82,1.383361,5.995600,1.299648,35.906623,0.957312,24.710247,0.613560
83,1.400028,5.969900,1.584032,36.114374,0.959221,24.791516,0.615291
84,1.416695,5.830200,1.695936,36.205485,0.959461,24.828163,0.613609
85,1.433362,5.508000,1.647456,36.148215,0.959482,24.922223,0.617684
86,1.450029,5.695800,1.543424,35.891346,0.955782,25.071755,0.623351
87,1.466696,5.712000,1.564992,36.007911,0.956942,25.135830,0.625156
88,1.483363,5.774800,1.313056,36.205384,0.959038,25.184464,0.625932
89,1.500030,5.594200,1.570720,36.132132,0.957045,25.331247,0.630816
90,1.516697,6.129800,1.501888,36.073662,0.956102,25.466591,0.634764
91,1.533364,5.754700,1.534272,36.282547,0.958200,25.546142,0.636364
92,1.550031,6.118600,1.471136,36.453629,0.959262,25.599639,0.635345
93,1.566698,5.818800,1.579808,36.389537,0.959688,25.699890,0.638960
94,1.583365,5.848700,1.472576,36.088022,0.955696,25.846848,0.643941
95,1.600032,5.542400,1.763424,36.253328,0.956906,25.904085,0.644799
96,1.616699,5.885400,1.296320,36.460477,0.959773,25.918821,0.643959
97,1.633366,5.621900,1.306080,36.323284,0.957091,26.042059,0.647769
98,1.650033,6.088700,1.307008,36.285135,0.956466,26.164994,0.650357
99,1.666700,5.909600,1.304224,36.458909,0.957380,26.282823,0.652631
100,1.683367,5.617800,1.665120,36.625470,0.958194,26.346092,0.652154
101,1.700034,5.680400,1.619360,36.554398,0.958273,26.456363,0.655858
102,1.716701,6.001800,1.561344,36.295349,0.954804,26.590895,0.660183
103,1.733368,5.746200,1.530848,36.447714,0.956097,26.640647,0.660060
104,1.750035,5.873100,1.470208,36.645914,0.959294,26.654392,0.658918
105,1.766702,5.985800,1.592672,36.585116,0.957096,26.795213,0.662970
106,1.783369,6.160600,1.311168,36.440146,0.956164,26.906365,0.666083
107,1.800036,5.526500,1.297024,36.600681,0.957648,26.963364,0.667064
108,1.816703,5.961000,1.647424,36.714000,0.958653,26.982435,0.665241
109,1.833370,5.729800,1.571712,36.627579,0.958672,27.072447,0.667520
110,1.850037,5.715500,1.302048,36.279377,0.954958,27.183244,0.670799
111,1.866704,5.738400,1.508320,36.382363,0.956041,27.193785,0.669550
112,1.883371,5.727900,1.300864,36.483981,0.958690,27.150343,0.666559
113,1.900038,5.725400,1.300544,36.409492,0.956281,27.237550,0.669212
114,1.916705,5.976700,1.316160,36.261591,0.955013,27.315124,0.669953
115,1.933372,5.705900,1.472288,36.423610,0.956722,27.360160,0.670039
116,1.950039,5.868800,1.467680,36.524754,0.957244,27.357779,0.667604
117,1.966706,5.501300,1.561312,36.426464,0.957469,27.429505,0.669261
118,1.983373,5.936800,1.322016,36.229902,0.954222,27.527108,0.671799
119,2.000040,5.773000,1.307968,36.334972,0.955328,27.524675,0.670323
