frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,27.735741,11.013440,39.271579,0.974788,27.535441,0.669165
17,0.300006,26.269651,11.023360,39.272737,0.974046,27.561947,0.670971
18,0.316673,25.522720,11.039680,39.182831,0.973679,27.554149,0.670462
19,0.333340,26.104962,11.035040,39.353764,0.974799,27.497867,0.667569
20,0.350007,24.375048,11.047040,39.575466,0.975682,27.440470,0.665508
21,0.366674,26.036204,11.034400,39.426075,0.975448,27.430105,0.664404
22,0.383341,23.510115,11.034400,39.154594,0.973421,27.436017,0.665465
23,0.400008,25.757220,11.018560,39.511609,0.975144,27.388494,0.663192
24,0.416675,26.223845,11.069920,39.733062,0.976527,27.299926,0.657374
25,0.433342,28.488212,11.055040,39.643085,0.975784,27.313266,0.658556
26,0.450009,28.571308,10.985600,39.507735,0.975499,27.314972,0.658807
27,0.466676,29.974680,11.045920,39.589990,0.976380,27.259094,0.658310
28,0.483343,24.397630,11.057920,39.797600,0.977626,27.214421,0.658870
29,0.500010,25.169487,11.050080,39.627442,0.977271,27.207626,0.659372
30,0.516677,25.486853,11.067200,39.349943,0.975451,27.261596,0.662187
31,0.533344,26.799566,12.151520,39.779496,0.977480,27.284492,0.662632
32,0.550011,31.120890,11.079520,39.894579,0.978512,27.272597,0.660778
33,0.566678,26.273489,11.121440,39.712418,0.978079,27.337652,0.665733
34,0.583345,26.062493,11.084160,39.631801,0.977641,27.419964,0.669690
35,0.600012,28.928388,11.088160,39.931279,0.978691,27.491426,0.674381
36,0.616679,29.150255,11.108960,40.110702,0.979701,27.567486,0.678368
37,0.633346,30.704249,11.097120,39.917282,0.979018,27.659181,0.682018
38,0.650013,30.392505,11.153920,39.633346,0.977350,27.774724,0.689065
39,0.666680,32.308668,11.144640,39.940573,0.979131,27.830012,0.694700
40,0.683347,24.418469,11.122080,40.166077,0.979932,27.854400,0.696735
41,0.700014,24.652028,11.167840,40.077025,0.979955,27.955542,0.705948
42,0.716681,30.261649,12.016480,39.925032,0.979371,28.052445,0.713997
43,0.733348,24.323331,11.119360,40.097959,0.980084,28.094813,0.719814
44,0.750015,26.160407,11.112800,40.155314,0.981101,28.052412,0.723648
45,0.766682,26.380679,11.140800,39.917206,0.980223,28.023287,0.728035
46,0.783349,30.796832,11.196800,39.306779,0.978217,28.044363,0.736970
47,0.800016,41.404679,11.238400,39.497488,0.979738,28.068529,0.746688
48,0.816683,27.828054,11.341600,39.696840,0.980452,28.120620,0.754487
