frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,19.816567,3.848480,35.381441,0.929986,27.635473,0.680042
17,0.300006,20.948802,3.856000,35.547103,0.932213,27.606536,0.677469
18,0.316673,17.544566,3.851520,35.638740,0.933715,27.568457,0.675767
19,0.333340,18.748585,3.864800,35.715296,0.935447,27.537927,0.673651
20,0.350007,16.493926,3.854400,35.723373,0.934669,27.494904,0.671689
21,0.366674,34.935404,3.842560,35.732493,0.934504,27.462784,0.670054
22,0.383341,17.565446,3.868640,35.742965,0.935802,27.420389,0.668708
23,0.400008,17.539938,3.862400,35.768036,0.936068,27.391419,0.666842
24,0.416675,16.454873,3.844480,35.761783,0.936444,27.343273,0.663492
25,0.433342,18.502603,3.842080,35.760987,0.935921,27.306588,0.660664
26,0.450009,26.947202,3.855840,35.830610,0.937310,27.273189,0.659685
27,0.466676,20.889600,3.831520,35.848021,0.939231,27.230913,0.660238
28,0.483343,19.028760,3.857760,35.857853,0.939958,27.214250,0.661400
29,0.500010,18.489819,3.834720,35.927842,0.940090,27.203939,0.661718
30,0.516677,18.643047,3.849600,35.937849,0.940177,27.220799,0.662720
31,0.533344,26.739192,6.782400,35.965709,0.941356,27.261187,0.663668
32,0.550011,18.265108,3.857760,35.976427,0.942188,27.296119,0.665417
33,0.566678,19.928037,3.983520,36.082944,0.944027,27.331700,0.666883
34,0.583345,16.978866,3.800960,36.191796,0.944543,27.384137,0.669578
35,0.600012,18.269607,3.842080,36.235457,0.944758,27.476537,0.675373
36,0.616679,16.920737,3.825920,36.260844,0.945488,27.573878,0.679864
37,0.633346,20.061668,3.849920,36.275404,0.945274,27.655257,0.682895
38,0.650013,20.142840,3.835040,36.275578,0.945038,27.726711,0.687879
39,0.666680,20.651895,3.841120,36.226343,0.944680,27.796004,0.693979
40,0.683347,24.207123,3.858560,36.321042,0.946030,27.882636,0.699219
41,0.700014,21.788306,3.855840,36.413405,0.947623,27.951459,0.705525
42,0.716681,21.117778,3.832320,36.444845,0.948084,28.018087,0.712613
43,0.733348,18.272922,3.869920,36.352009,0.947359,28.087448,0.719173
44,0.750015,17.343099,3.816480,36.327593,0.948013,28.079616,0.724013
45,0.766682,17.962891,3.849440,36.348845,0.948987,28.025802,0.728244
46,0.783349,18.992272,3.861920,36.272306,0.949922,27.999264,0.735331
47,0.800016,19.872513,3.865120,36.217990,0.949921,28.052655,0.745551
48,0.816683,37.058176,3.871520,36.228363,0.951597,28.157295,0.756540
49,0.833350,20.044846,3.861760,36.273026,0.951806,28.231281,0.766097
50,0.850017,23.245760,3.869440,36.155489,0.952738,28.320438,0.776695
51,0.866684,17.509120,6.652000,35.713956,0.951767,28.359327,0.790445
52,0.883351,21.182700,3.879520,35.575584,0.952208,28.389150,0.807016
53,0.900018,23.933860,3.875200,33.760150,0.949950,27.409159,0.819335
54,0.916685,17.515663,3.847040,31.863885,0.932595,24.144160,0.810611
