frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,22.508958,6.500320,35.524621,0.931132,27.635473,0.680042
17,0.300006,20.071947,6.511840,35.700623,0.933410,27.606536,0.677469
18,0.316673,21.251780,6.522080,35.797564,0.935160,27.568457,0.675767
19,0.333340,21.309678,6.533280,35.847364,0.936395,27.537927,0.673651
20,0.350007,18.372169,6.504640,35.869648,0.935865,27.494904,0.671689
21,0.366674,19.386731,6.532320,35.881536,0.935872,27.462784,0.670054
22,0.383341,19.851684,6.571360,35.876179,0.936935,27.420389,0.668708
23,0.400008,19.709918,6.523360,35.920021,0.937673,27.391419,0.666842
24,0.416675,18.591320,6.518400,35.905155,0.937724,27.343273,0.663492
25,0.433342,18.803548,6.517440,35.905774,0.936940,27.306588,0.660664
26,0.450009,18.752903,6.516800,35.978316,0.938626,27.273189,0.659685
27,0.466676,18.987182,6.510400,36.014735,0.940583,27.230913,0.660238
28,0.483343,19.849871,6.498720,35.995839,0.941068,27.214250,0.661400
29,0.500010,26.045420,6.509760,36.090998,0.941279,27.203939,0.661718
30,0.516677,23.170478,6.498400,36.032117,0.941142,27.220799,0.662720
31,0.533344,19.280543,6.540160,36.138300,0.942673,27.261187,0.663668
32,0.550011,21.709008,6.523200,36.145916,0.943472,27.296119,0.665417
33,0.566678,19.829312,6.513760,36.260709,0.945381,27.331700,0.666883
34,0.583345,23.530113,6.531040,36.285904,0.945424,27.384137,0.669578
35,0.600012,21.963425,6.515360,36.391241,0.945968,27.476537,0.675373
36,0.616679,20.554092,6.513920,36.399227,0.946735,27.573878,0.679864
37,0.633346,19.528758,6.533280,36.463444,0.946892,27.655257,0.682895
38,0.650013,19.444009,6.480960,36.384790,0.946377,27.726711,0.687879
39,0.666680,19.159656,6.496160,36.402368,0.946612,27.796004,0.693979
40,0.683347,22.209957,6.517440,36.498094,0.947849,27.882636,0.699219
41,0.700014,22.670571,6.536960,36.655881,0.949911,27.951459,0.705525
42,0.716681,22.116561,7.221600,36.660988,0.950288,28.018087,0.712613
43,0.733348,21.653033,6.521120,36.641672,0.949933,28.087448,0.719173
44,0.750015,23.213449,6.535360,36.598567,0.950694,28.079616,0.724013
45,0.766682,23.308237,6.511360,36.605567,0.951871,28.025802,0.728244
46,0.783349,21.761235,6.577600,36.366298,0.951433,27.999264,0.735331
47,0.800016,21.207176,6.603840,36.495501,0.952372,28.052655,0.745551
48,0.816683,22.001957,6.627680,36.496729,0.953368,28.157295,0.756540
49,0.833350,19.839280,6.604640,36.581099,0.954341,28.231281,0.766097
50,0.850017,24.725275,6.565280,36.358217,0.953947,28.320438,0.776695
51,0.866684,21.926315,6.564320,36.304102,0.954033,28.359327,0.790445
52,0.883351,24.908118,6.568960,36.015017,0.953070,28.389150,0.807016
53,0.900018,20.375707,6.582400,34.136923,0.949231,27.409159,0.819335
54,0.916685,18.499397,6.552000,31.793513,0.932831,24.144160,0.810611
55,0.933352,24.355801,6.580320,30.936490,0.929119,23.465082,0.812451
56,0.950019,21.558986,6.481120,29.729414,0.923229,22.597397,0.800724
57,0.966686,18.919676,6.485760,28.545295,0.926207,22.094878,0.797901
58,0.983353,20.873420,6.476960,29.987444,0.942388,21.404803,0.792692
59,1.000020,17.669130,6.420640,28.601512,0.947444,21.634996,0.804043
60,1.016687,20.211017,6.435040,30.706429,0.956309,22.244520,0.821279
61,1.033354,20.997182,6.453760,30.659885,0.948131,22.728203,0.832286
62,1.050021,22.003269,7.047840,31.240918,0.938820,24.018634,0.826665
63,1.066688,21.552734,6.444320,29.822258,0.907518,24.376226,0.808065
64,1.083355,19.183931,6.458560,27.332844,0.883332,23.951806,0.777040
65,1.100022,19.522246,6.485760,28.126171,0.890362,24.432041,0.747640
66,1.116689,19.727280,6.492000,30.441406,0.904149,24.119145,0.706324
67,1.133356,19.761214,6.471680,31.201792,0.907653,23.844272,0.669159
68,1.150023,18.429366,6.484800,31.667520,0.909720,23.916551,0.640871
69,1.166690,20.634722,6.438240,30.528030,0.905612,24.092796,0.618135
70,1.183357,21.760644,6.438080,32.513808,0.907894,24.635783,0.611519
71,1.200024,18.221607,6.394400,32.618078,0.906436,24.625723,0.609324
72,1.216691,21.647422,6.448000,32.661392,0.905475,24.609883,0.608757
73,1.233358,17.784105,6.438560,32.619437,0.904756,24.606666,0.607814
74,1.250025,18.971212,6.413920,32.641435,0.904608,24.582213,0.607760
75,1.266692,22.599017,6.458080,32.561641,0.902361,24.536698,0.607637
76,1.283359,19.107838,6.463040,32.499019,0.900665,24.466359,0.605507
77,1.300026,20.434537,6.421120,32.472598,0.901010,24.410731,0.605020
78,1.316693,19.706080,6.444640,32.391977,0.899556,24.397865,0.604553
79,1.333360,20.669668,6.411680,32.409836,0.898769,24.457248,0.605883
80,1.350027,22.464835,6.447360,32.359920,0.896244,24.547480,0.607721
81,1.366694,24.794354,6.428000,32.414856,0.896893,24.678115,0.611326
82,1.383361,19.283719,8.328480,32.507294,0.898068,24.782032,0.614507
83,1.400028,20.880013,6.450240,32.528836,0.898624,24.891482,0.617031
84,1.416695,19.843168,6.454880,32.484994,0.896455,24.967785,0.617983
85,1.433362,19.620961,6.421760,32.473908,0.895080,25.056395,0.620425
86,1.450029,18.791355,6.453440,32.522900,0.895762,25.161871,0.623832
87,1.466696,26.953013,6.445760,32.547169,0.895798,25.242526,0.627100
88,1.483363,18.564249,6.443040,32.591278,0.895035,25.342805,0.629825
89,1.500030,19.059277,6.447680,32.468392,0.891789,25.427090,0.630864
90,1.516697,21.681426,6.406880,32.603801,0.893215,25.534750,0.633552
91,1.533364,23.049832,6.444000,32.661517,0.894699,25.644003,0.636271
92,1.550031,18.867067,6.439360,32.710031,0.895353,25.750914,0.639164
93,1.566698,20.063872,6.463680,32.673017,0.892679,25.837083,0.640826
94,1.583365,25.349115,6.418880,32.661906,0.891436,25.929836,0.643372
