frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.928400,1.039264,35.872403,0.939088,28.159061,0.698213
17,0.300006,5.040400,1.188448,35.963790,0.940272,28.116033,0.695349
18,0.316673,3.789400,1.187200,35.961197,0.940822,28.068080,0.691918
19,0.333340,4.028600,1.156736,36.060989,0.942285,28.021972,0.688885
20,0.350007,3.673900,1.010816,36.130286,0.943455,27.967553,0.685807
21,0.366674,3.939500,1.151680,36.167994,0.944311,27.929294,0.683155
22,0.383341,3.981900,1.013120,36.145988,0.944520,27.868094,0.679821
23,0.400008,4.129900,1.160608,36.241383,0.945474,27.839081,0.676880
24,0.416675,3.916900,1.161792,36.331195,0.946733,27.791469,0.672512
25,0.433342,4.298500,1.149376,36.311316,0.947021,27.751377,0.669286
26,0.450009,3.787400,1.179424,36.312046,0.946957,27.710639,0.666676
27,0.466676,3.717400,1.148480,36.259868,0.947393,27.665639,0.665809
28,0.483343,3.629600,1.022400,36.381855,0.948558,27.644199,0.665901
29,0.500010,3.789200,1.018976,36.387954,0.949222,27.614364,0.665773
30,0.516677,3.985500,1.020640,36.511191,0.950583,27.637394,0.665710
31,0.533344,3.636000,1.189920,36.558881,0.951176,27.673313,0.665462
32,0.550011,3.747200,1.194464,36.475250,0.951540,27.707151,0.665369
33,0.566678,3.704100,1.018592,36.487632,0.951929,27.733040,0.666027
34,0.583345,3.798100,1.152832,36.538379,0.952732,27.790684,0.668151
35,0.600012,3.918000,1.029152,36.623488,0.952967,27.879718,0.672521
36,0.616679,3.974000,1.018784,36.740815,0.953557,27.981451,0.676604
37,0.633346,4.213000,1.164032,36.684717,0.953057,28.050971,0.678417
38,0.650013,4.317800,1.160320,36.694298,0.953922,28.130548,0.682810
39,0.666680,3.958100,1.510336,36.793101,0.955141,28.218237,0.687700
40,0.683347,3.910500,1.392224,36.853713,0.956044,28.284355,0.691649
41,0.700014,4.268400,1.015264,36.922094,0.957274,28.352275,0.697260
42,0.716681,3.787600,1.028960,37.085022,0.958006,28.436209,0.704502
43,0.733348,4.121200,1.189248,37.046021,0.958458,28.497049,0.710066
44,0.750015,3.907600,1.024288,37.103885,0.958907,28.475520,0.712257
45,0.766682,3.984600,1.361664,36.933279,0.959279,28.394127,0.713537
46,0.783349,3.948700,1.191296,36.871196,0.960174,28.378591,0.719187
47,0.800016,3.946000,1.197376,36.911769,0.961070,28.428239,0.728925
48,0.816683,4.022700,1.028064,36.948086,0.960973,28.510247,0.740271
49,0.833350,4.064200,1.180608,36.905763,0.961820,28.604912,0.750714
50,0.850017,3.457900,1.183296,36.947112,0.962843,28.716013,0.762079
51,0.866684,4.363600,1.503392,36.936566,0.962033,28.740186,0.777202
52,0.883351,4.083600,1.021792,36.482457,0.960618,28.748246,0.796039
53,0.900018,3.716500,1.257952,34.616607,0.955818,27.690174,0.810761
54,0.916685,3.924200,1.297920,31.714419,0.937335,24.285924,0.804139
55,0.933352,3.980300,1.299328,31.766845,0.939038,23.590412,0.810211
56,0.950019,4.226000,1.140480,29.827437,0.929704,22.701965,0.796431
57,0.966686,3.912400,1.006656,29.214025,0.932193,22.184071,0.789790
58,0.983353,3.757500,1.165856,29.920350,0.947208,21.492648,0.780680
59,1.000020,3.572900,1.000128,28.959585,0.950786,21.701027,0.788967
60,1.016687,4.088300,1.154944,31.285909,0.957251,22.303198,0.802828
61,1.033354,3.839800,1.001472,30.452881,0.947428,22.800726,0.813113
62,1.050021,4.253300,1.154464,30.819947,0.941941,24.127249,0.813379
63,1.066688,4.037700,1.286624,30.068836,0.918745,24.513734,0.806256
64,1.083355,3.885400,1.286080,27.616351,0.898853,24.129132,0.784610
65,1.100022,3.928800,1.167584,28.362326,0.905647,24.658231,0.760118
66,1.116689,4.290300,1.245152,30.791090,0.922915,24.393164,0.719216
