frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,20.799271,9.006880,37.324831,0.957678,27.532836,0.670844
17,0.300006,21.753060,8.996640,37.420584,0.958287,27.515581,0.669523
18,0.316673,20.725873,9.008160,37.516228,0.958615,27.484817,0.667740
19,0.333340,20.786978,8.990880,37.518991,0.958632,27.448103,0.665570
20,0.350007,20.165312,8.988000,37.541036,0.958976,27.409120,0.663715
21,0.366674,20.743026,8.969760,37.603810,0.959549,27.387222,0.662659
22,0.383341,21.474457,9.018240,37.625738,0.959922,27.353588,0.661515
23,0.400008,21.885518,8.989600,37.710041,0.960351,27.326768,0.659856
24,0.416675,20.823626,8.995520,37.745454,0.961112,27.285165,0.657300
25,0.433342,20.787950,9.020160,37.718972,0.961010,27.258557,0.655258
26,0.450009,20.788050,8.988800,37.764965,0.961511,27.233730,0.654586
27,0.466676,21.402593,8.992000,37.757131,0.961682,27.193654,0.655175
28,0.483343,21.016648,9.002080,37.727815,0.962130,27.174854,0.656258
29,0.500010,20.872137,9.001920,37.849918,0.962928,27.163811,0.656992
30,0.516677,21.360514,9.006720,37.871286,0.963163,27.182004,0.657778
31,0.533344,20.579809,8.970560,37.993762,0.963750,27.223123,0.658784
32,0.550011,21.408413,9.018560,37.884165,0.963867,27.254050,0.660424
33,0.566678,20.934846,8.977440,37.919038,0.964379,27.295847,0.662386
34,0.583345,21.036266,8.973440,37.974321,0.964764,27.343719,0.665589
35,0.600012,21.007451,8.972320,38.130318,0.965580,27.434689,0.671239
36,0.616679,21.020476,8.971520,38.168483,0.965991,27.528091,0.675750
37,0.633346,22.183988,9.005600,38.129355,0.965969,27.614065,0.679250
38,0.650013,21.087843,8.971520,38.035473,0.966076,27.688486,0.684879
39,0.666680,21.233866,9.014400,38.064225,0.966477,27.765302,0.691172
40,0.683347,20.545064,9.014080,38.215641,0.966854,27.845213,0.696207
41,0.700014,21.909103,9.060640,38.213184,0.967527,27.913072,0.702733
42,0.716681,21.025305,9.032160,38.197788,0.968068,27.993682,0.710717
43,0.733348,21.173182,9.008800,38.253138,0.968307,28.047214,0.717266
44,0.750015,21.361476,9.059200,38.245458,0.968745,28.032215,0.721455
45,0.766682,21.340466,8.979520,38.184898,0.968756,27.990812,0.725772
46,0.783349,22.511943,9.066400,38.147301,0.969129,27.973102,0.733383
47,0.800016,21.886380,9.101120,38.097242,0.969607,28.023584,0.743651
48,0.816683,21.729516,9.123840,38.007355,0.969794,28.118906,0.754464
49,0.833350,22.340291,9.253280,37.911022,0.969258,28.199603,0.764572
50,0.850017,21.493423,9.117760,37.903608,0.969859,28.306051,0.775713
51,0.866684,20.806684,9.109760,37.945335,0.970043,28.344202,0.789363
52,0.883351,21.379259,9.109120,37.528466,0.968441,28.355819,0.805598
53,0.900018,21.863407,9.162400,34.933016,0.964005,27.384678,0.818134
54,0.916685,20.687271,9.118560,33.560916,0.954513,24.132197,0.808921
55,0.933352,20.179689,9.120160,32.598931,0.946299,23.450297,0.809471
56,0.950019,19.905063,8.992640,31.162183,0.941616,22.584597,0.797765
57,0.966686,19.596144,8.965440,29.204881,0.942977,22.080666,0.795031
58,0.983353,19.532916,8.956160,28.917785,0.952117,21.389878,0.789864
59,1.000020,19.466081,8.894240,29.119529,0.957874,21.609870,0.801265
60,1.016687,19.127555,8.890240,31.480404,0.965743,22.224014,0.818649
61,1.033354,20.070504,8.892800,30.614129,0.954079,22.721744,0.829895
62,1.050021,23.503173,8.900320,31.686227,0.952043,24.007285,0.823009
63,1.066688,20.730512,8.897600,31.354072,0.926896,24.362109,0.803549
64,1.083355,19.797011,8.888480,29.436071,0.917420,23.966055,0.776231
65,1.100022,19.719816,8.931200,30.049737,0.922382,24.431522,0.745994
66,1.116689,19.839501,8.940800,31.970221,0.936037,24.109020,0.704056
67,1.133356,20.458572,8.922400,32.664358,0.938550,23.813127,0.666528
68,1.150023,19.905785,8.922720,32.559409,0.937478,23.882756,0.637046
69,1.166690,20.516350,8.915520,30.006012,0.933059,24.057482,0.613731
70,1.183357,20.507724,8.879040,33.979620,0.938047,24.589603,0.606489
71,1.200024,19.163403,8.903200,34.233725,0.938551,24.576128,0.604611
72,1.216691,19.689910,8.881440,34.319322,0.938686,24.554569,0.603851
73,1.233358,19.567641,8.882240,34.202371,0.937122,24.535508,0.602183
74,1.250025,19.666576,8.849760,34.256987,0.936703,24.515250,0.602378
75,1.266692,19.760763,8.863200,34.227701,0.936048,24.466031,0.602527
76,1.283359,19.691803,8.859680,34.201712,0.935707,24.398410,0.600488
77,1.300026,19.693898,8.899040,34.184195,0.935359,24.339652,0.599284
78,1.316693,19.618837,8.870240,34.186975,0.935421,24.323515,0.598577
79,1.333360,19.656838,8.897280,34.072940,0.934158,24.372360,0.599684
80,1.350027,19.083904,8.881920,34.192216,0.934633,24.470859,0.603376
81,1.366694,19.714597,8.859840,34.186768,0.934200,24.592306,0.606583
82,1.383361,19.357658,8.884320,34.253259,0.934671,24.689857,0.609941
83,1.400028,19.620991,8.889280,34.311747,0.934855,24.795881,0.612194
84,1.416695,19.645216,8.868160,34.319540,0.934430,24.874657,0.613573
85,1.433362,20.354677,8.867200,34.304545,0.934243,24.952562,0.615819
86,1.450029,19.750724,8.896000,34.365858,0.934032,25.047971,0.618673
87,1.466696,19.729404,8.899840,34.363475,0.933850,25.129677,0.621761
88,1.483363,19.673198,8.855680,34.355655,0.933003,25.227090,0.624306
89,1.500030,19.672478,8.880000,34.368655,0.932639,25.330244,0.627401
90,1.516697,20.177675,8.875840,34.481371,0.933139,25.444208,0.630660
91,1.533364,20.397638,8.881920,34.543184,0.933676,25.547225,0.633066
92,1.550031,19.781442,8.902240,34.529703,0.933515,25.644273,0.635143
93,1.566698,19.599481,8.910400,34.531327,0.933083,25.727978,0.636925
94,1.583365,19.690110,8.846720,34.552806,0.932936,25.826185,0.639651
95,1.600032,19.675153,8.879200,34.609515,0.932954,25.908414,0.641935
96,1.616699,19.806078,8.890720,34.613694,0.932660,25.986728,0.643720
97,1.633366,19.999761,8.938560,34.485800,0.931228,26.043781,0.644467
98,1.650033,20.073380,8.874560,34.521949,0.931258,26.134558,0.645929
99,1.666700,19.979413,8.909760,34.646239,0.931617,26.271161,0.648918
100,1.683367,20.314842,8.885600,34.720891,0.932568,26.387249,0.651612
101,1.700034,19.932966,8.893600,34.723323,0.932507,26.477148,0.653831
102,1.716701,19.937966,9.852800,34.782304,0.932843,26.561141,0.656034
103,1.733368,19.855912,8.883360,34.807038,0.933352,26.637032,0.657195
104,1.750035,19.766694,8.927360,34.730119,0.932301,26.716067,0.659066
105,1.766702,19.735256,8.907040,34.737204,0.932015,26.787406,0.659854
106,1.783369,19.842075,8.907680,34.742376,0.931341,26.862996,0.661484
107,1.800036,20.104398,8.885760,34.692877,0.931124,26.930208,0.662893
108,1.816703,19.958735,8.894080,34.768187,0.931851,27.004975,0.664267
109,1.833370,19.767856,8.917120,34.812525,0.932561,27.061839,0.664754
110,1.850037,19.798154,8.896320,34.778654,0.932441,27.114972,0.665457
111,1.866704,19.281013,8.888480,34.763988,0.932526,27.152238,0.665659
112,1.883371,19.812871,8.928160,34.690448,0.932483,27.175872,0.665893
113,1.900038,19.744242,8.934880,34.694902,0.932189,27.199234,0.665508
114,1.916705,19.808583,8.900320,34.761043,0.932680,27.249998,0.665687
115,1.933372,19.752337,8.889920,34.598795,0.931069,27.290892,0.665036
116,1.950039,19.787263,8.932160,34.609024,0.931298,27.338418,0.665057
117,1.966706,20.301347,8.901600,34.665898,0.931709,27.382826,0.665175
118,1.983373,19.963283,8.930400,34.766988,0.932960,27.432134,0.665656
119,2.000040,19.867152,8.915200,34.792656,0.933403,27.466317,0.666018
