frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.994300,1.311616,33.845941,0.968730,31.315856,0.945905
17,0.300006,3.942800,1.109664,33.776508,0.968721,31.323140,0.946167
18,0.316673,3.603300,1.273120,33.918305,0.969177,31.346849,0.946376
19,0.333340,3.692500,1.227072,33.835852,0.969011,31.365496,0.946323
20,0.350007,3.896300,1.110688,33.726163,0.968710,31.328838,0.946396
21,0.366674,3.852200,1.111200,33.802025,0.969142,31.413239,0.946897
22,0.383341,3.815800,1.280512,33.794006,0.969307,31.487381,0.947726
23,0.400008,3.706200,1.281120,34.005312,0.969732,31.738215,0.948681
24,0.416675,4.088400,1.277792,33.897059,0.969294,31.741266,0.948798
25,0.433342,3.702900,1.276608,33.984632,0.969642,31.666217,0.947978
26,0.450009,3.851200,1.239104,34.072848,0.969976,31.697236,0.948434
27,0.466676,3.760300,1.287840,34.050534,0.969254,31.708539,0.947586
28,0.483343,4.533000,1.256960,33.940645,0.969564,31.717151,0.948128
29,0.500010,3.764900,1.107616,33.916624,0.969585,31.740856,0.948422
30,0.516677,3.877500,1.110528,33.798939,0.969309,31.704867,0.948599
31,0.533344,3.751800,1.110400,33.991033,0.970145,31.805246,0.948638
32,0.550011,3.583200,1.551840,33.945340,0.969558,31.778492,0.948213
33,0.566678,3.900400,1.114816,33.915060,0.969555,31.636263,0.947287
34,0.583345,3.622800,1.109312,33.942350,0.969184,31.603450,0.946602
35,0.600012,3.649700,1.436672,33.986086,0.969611,31.604467,0.946817
36,0.616679,3.759300,1.120384,33.906323,0.969050,31.569584,0.946650
37,0.633346,3.615100,1.114016,33.900749,0.969234,31.650723,0.947026
38,0.650013,3.678800,1.268992,33.947160,0.969730,31.662273,0.947120
39,0.666680,4.164100,1.111488,33.984727,0.969846,31.655988,0.947018
40,0.683347,3.872600,1.108288,34.067645,0.970437,31.664891,0.947087
41,0.700014,4.388500,1.418496,34.185239,0.970809,31.700426,0.947250
42,0.716681,3.601800,1.452032,34.043724,0.969704,31.647663,0.946512
43,0.733348,3.809300,1.499872,33.957862,0.969642,31.514787,0.945690
44,0.750015,3.621900,1.311552,34.021720,0.969802,31.513136,0.945374
45,0.766682,4.346800,1.111712,33.946896,0.969629,31.465778,0.945253
46,0.783349,3.603800,1.111360,33.947626,0.969741,31.444419,0.944824
47,0.800016,4.198400,1.500896,33.994349,0.970165,31.418980,0.944935
48,0.816683,3.668200,1.122912,33.962391,0.970295,31.365300,0.944855
49,0.833350,3.733400,1.305888,33.957206,0.970282,31.350781,0.944602
50,0.850017,3.498100,1.110592,33.915734,0.969769,31.365857,0.944606
51,0.866684,3.442100,1.266112,33.948268,0.969689,31.361203,0.944425
52,0.883351,3.640800,1.288224,33.879494,0.969424,31.383920,0.944663
53,0.900018,3.593600,1.285888,33.962928,0.969684,31.468796,0.945030
54,0.916685,4.387900,1.503616,33.941898,0.969484,31.425850,0.944746
55,0.933352,3.701000,1.112064,33.929413,0.969787,31.418392,0.944936
56,0.950019,3.772600,1.659680,33.733378,0.968816,31.325951,0.944704
57,0.966686,3.718300,1.439104,33.866796,0.969382,31.296242,0.944369
