frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,18.224893,6.495040,34.010772,0.970247,31.353816,0.946651
17,0.300006,18.565662,8.614880,34.014845,0.970474,31.358682,0.946878
18,0.316673,17.528607,6.516960,34.100563,0.971007,31.386237,0.947146
19,0.333340,19.381783,6.480160,34.042584,0.970802,31.404194,0.947056
20,0.350007,16.596759,6.534240,33.853665,0.970386,31.365560,0.947120
21,0.366674,16.383528,6.508000,34.009079,0.970841,31.449734,0.947614
22,0.383341,18.076253,6.520160,34.015851,0.971244,31.525211,0.948453
23,0.400008,17.325746,6.522240,34.198127,0.971545,31.777085,0.949410
24,0.416675,17.575645,6.564320,34.056207,0.971063,31.780893,0.949506
25,0.433342,15.616039,6.521120,34.180807,0.971331,31.705946,0.948704
26,0.450009,16.989075,6.483360,34.235188,0.971849,31.736153,0.949136
27,0.466676,17.470919,6.486560,34.245524,0.971027,31.748598,0.948307
28,0.483343,17.731437,6.495680,34.204452,0.971608,31.757756,0.948856
29,0.500010,18.975841,6.479200,34.083107,0.971373,31.782743,0.949169
30,0.516677,17.890365,6.525920,33.976841,0.971138,31.744016,0.949311
31,0.533344,21.458177,6.523040,34.178698,0.971910,31.845846,0.949350
32,0.550011,15.829610,6.530240,34.139396,0.971366,31.820766,0.948950
33,0.566678,16.146575,6.530080,34.163490,0.971583,31.675447,0.948017
34,0.583345,16.408396,6.522560,34.168180,0.971141,31.645883,0.947386
35,0.600012,15.229083,6.519040,34.145360,0.971457,31.648361,0.947629
36,0.616679,17.441122,6.516160,34.125919,0.971118,31.616548,0.947479
37,0.633346,15.657617,6.473440,34.134029,0.971217,31.696073,0.947819
38,0.650013,17.148875,6.503840,34.167096,0.971599,31.703092,0.947871
39,0.666680,16.460894,6.530880,34.164222,0.971782,31.696734,0.947774
40,0.683347,15.534326,6.528160,34.300774,0.972392,31.705804,0.947822
41,0.700014,17.879826,6.497280,34.375641,0.972696,31.743294,0.948016
42,0.716681,16.719699,6.486080,34.274552,0.971766,31.690979,0.947295
43,0.733348,17.328411,6.519840,34.238985,0.971806,31.558482,0.946509
44,0.750015,17.895735,6.541440,34.240076,0.971800,31.555183,0.946167
