frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.950900,2.026976,37.282507,0.957789,27.517744,0.669806
17,0.300006,6.949400,2.219616,37.416050,0.958466,27.501538,0.668541
18,0.316673,6.696600,2.325184,37.482221,0.958635,27.471392,0.666807
19,0.333340,6.437200,2.352480,37.503919,0.958732,27.434262,0.664586
20,0.350007,6.594300,2.228512,37.518535,0.959081,27.394511,0.662761
21,0.366674,6.786300,2.199424,37.577343,0.959666,27.374060,0.661721
22,0.383341,6.641500,1.869184,37.534825,0.959883,27.339874,0.660613
23,0.400008,6.607600,2.387840,37.676870,0.960387,27.314727,0.658994
24,0.416675,6.693400,2.368512,37.697983,0.961054,27.273502,0.656457
25,0.433342,6.734900,2.198880,37.698279,0.961215,27.245845,0.654422
26,0.450009,6.852200,2.205792,37.737368,0.961586,27.221370,0.653789
27,0.466676,6.624800,1.867712,37.741659,0.961758,27.180981,0.654368
28,0.483343,6.554500,2.395488,37.699798,0.962191,27.162974,0.655424
29,0.500010,6.520900,1.874848,37.771675,0.962787,27.151121,0.656139
30,0.516677,6.778400,1.876928,37.838147,0.963066,27.170612,0.656964
31,0.533344,6.705500,2.272160,37.962765,0.963712,27.212209,0.657984
32,0.550011,6.530700,2.481248,37.801627,0.963691,27.242515,0.659662
33,0.566678,6.888700,2.229088,37.912063,0.964432,27.284177,0.661603
34,0.583345,7.096800,2.205920,37.929721,0.964685,27.330988,0.664797
35,0.600012,6.701700,2.168832,38.107286,0.965597,27.422674,0.670466
36,0.616679,6.914700,2.231328,38.096007,0.965849,27.516172,0.675028
37,0.633346,6.760200,2.405984,38.079820,0.966003,27.602350,0.678554
38,0.650013,6.434800,2.373856,37.974971,0.966056,27.676853,0.684231
39,0.666680,6.243900,2.180640,38.062916,0.966539,27.753427,0.690535
40,0.683347,6.755300,2.221280,38.216835,0.967022,27.834002,0.695601
41,0.700014,6.326200,2.155616,38.246672,0.967837,27.902168,0.702160
42,0.716681,6.580700,2.376160,38.143576,0.968022,27.982194,0.710136
43,0.733348,6.322700,2.157440,38.235297,0.968314,28.036067,0.716698
44,0.750015,6.573800,2.288768,38.222899,0.968825,28.022592,0.720943
45,0.766682,6.460000,1.887616,38.085893,0.968523,27.981500,0.725271
46,0.783349,6.489900,1.882816,37.983804,0.968929,27.962410,0.732837
47,0.800016,6.561400,2.158592,38.084552,0.969581,28.014592,0.743142
48,0.816683,6.327300,2.232000,38.004707,0.969814,28.110269,0.753992
49,0.833350,6.486200,1.897120,37.915017,0.969333,28.191352,0.764134
50,0.850017,6.634700,1.884096,37.765985,0.969775,28.297499,0.775298
51,0.866684,7.121600,2.148576,37.801453,0.969935,28.336417,0.788966
52,0.883351,6.547000,1.887232,37.258601,0.968225,28.349368,0.805285
53,0.900018,6.693000,2.322112,35.209785,0.963473,27.381478,0.817865
54,0.916685,7.174200,1.881984,32.424100,0.951225,24.131236,0.808582
55,0.933352,6.649200,2.239488,33.401578,0.948911,23.448846,0.808998
56,0.950019,6.217400,2.020736,31.729952,0.943535,22.583884,0.797268
57,0.966686,6.526400,1.844928,28.691884,0.942246,22.080907,0.794752
58,0.983353,6.382500,2.095520,28.873777,0.951647,21.390053,0.789692
59,1.000020,6.075100,2.083584,28.881514,0.956313,21.609243,0.801025
60,1.016687,6.365000,1.811936,30.605114,0.963508,22.222152,0.818276
61,1.033354,6.516100,1.808448,30.606835,0.959389,22.719404,0.829247
62,1.050021,6.664600,2.175808,25.681795,0.952317,24.002658,0.822282
63,1.066688,6.410000,2.087968,33.263066,0.945884,24.356806,0.802661
64,1.083355,6.693800,2.456320,31.494290,0.929786,23.963329,0.775272
65,1.100022,6.626900,2.105216,30.498009,0.924586,24.425130,0.744892
66,1.116689,6.791000,1.863360,32.254641,0.935568,24.097270,0.702981
67,1.133356,6.836900,2.125184,32.341368,0.936970,23.801818,0.665449
68,1.150023,7.002400,2.220768,32.152620,0.936279,23.870533,0.635898
69,1.166690,6.691400,2.042592,29.706116,0.931841,24.043717,0.612611
