frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,14.645168,6.485120,33.774294,0.968618,31.353816,0.946651
17,0.300006,14.648084,6.534400,33.789991,0.968925,31.358682,0.946878
18,0.316673,14.740867,6.596800,33.821181,0.969082,31.386237,0.947146
19,0.333340,14.360805,6.505600,33.845298,0.969269,31.404194,0.947056
20,0.350007,15.005294,6.517920,33.512643,0.968346,31.365560,0.947120
21,0.366674,14.378879,6.498560,33.865374,0.969452,31.449734,0.947614
22,0.383341,14.324908,6.520160,33.685274,0.969344,31.525211,0.948453
23,0.400008,14.316943,6.491680,34.065222,0.970263,31.777085,0.949410
24,0.416675,14.355846,6.528320,33.890400,0.969531,31.780893,0.949506
25,0.433342,15.301760,6.492800,33.987724,0.969968,31.705946,0.948704
26,0.450009,14.470000,6.488320,33.980913,0.970094,31.736153,0.949136
27,0.466676,15.309515,6.510560,34.035251,0.969482,31.748598,0.948307
28,0.483343,14.301894,6.517920,33.910587,0.969740,31.757756,0.948856
29,0.500010,14.294942,6.522240,33.895221,0.969802,31.782743,0.949169
30,0.516677,14.495067,6.475840,33.807630,0.969671,31.744016,0.949311
31,0.533344,14.614852,6.528160,34.035696,0.970500,31.845846,0.949350
32,0.550011,15.252317,6.488000,33.928522,0.969627,31.820766,0.948950
33,0.566678,14.286475,6.480480,33.944849,0.969942,31.675447,0.948017
34,0.583345,15.172588,6.522240,33.892690,0.969604,31.645883,0.947386
35,0.600012,13.857471,6.507680,34.064952,0.970215,31.648361,0.947629
36,0.616679,14.932387,6.523360,33.866999,0.969445,31.616548,0.947479
37,0.633346,14.234048,6.493600,33.954405,0.969718,31.696073,0.947819
38,0.650013,14.272430,6.520640,33.953946,0.969938,31.703092,0.947871
39,0.666680,14.297346,6.488000,33.998373,0.970261,31.696734,0.947774
40,0.683347,14.278971,6.538880,34.139218,0.970883,31.705804,0.947822
41,0.700014,14.455803,6.492160,34.212619,0.971166,31.743294,0.948016
42,0.716681,14.336249,6.518240,34.121802,0.970318,31.690979,0.947295
43,0.733348,15.336074,6.516480,34.087001,0.970597,31.558482,0.946509
44,0.750015,14.351728,6.512160,34.087926,0.970363,31.555183,0.946167
45,0.766682,15.212743,6.525120,34.018406,0.970319,31.510306,0.946092
46,0.783349,14.346659,6.505600,34.002440,0.970296,31.488269,0.945642
47,0.800016,14.334816,6.538880,34.021009,0.970644,31.462944,0.945764
48,0.816683,14.404447,6.487680,34.041758,0.970896,31.406522,0.945639
49,0.833350,14.430716,6.524640,33.956400,0.970695,31.390487,0.945375
50,0.850017,15.361191,6.490560,33.958786,0.970262,31.406943,0.945411
51,0.866684,14.353832,6.489600,33.985657,0.970340,31.400161,0.945197
52,0.883351,15.253539,6.516960,33.859163,0.969832,31.424677,0.945466
53,0.900018,14.363390,6.503520,33.996157,0.970236,31.508446,0.945802
54,0.916685,14.425026,6.528480,33.976070,0.970016,31.466683,0.945530
55,0.933352,13.914679,6.461120,33.929149,0.970130,31.459047,0.945723
56,0.950019,14.386994,6.536480,33.807562,0.969386,31.362181,0.945448
57,0.966686,14.337962,6.492960,33.878777,0.969833,31.333426,0.945122
58,0.983353,14.324237,6.533600,33.904491,0.970048,31.311205,0.945080
59,1.000020,15.286902,6.527840,33.932848,0.970148,31.335356,0.945359
60,1.016687,14.591337,6.488960,33.900000,0.969908,31.397831,0.945624
61,1.033354,16.212749,6.507520,33.924116,0.969969,31.379044,0.945320
62,1.050021,14.860072,6.493920,33.830291,0.969289,31.392228,0.945576
63,1.066688,14.399338,6.531680,33.884641,0.969534,31.400977,0.945612
64,1.083355,15.404172,6.494880,33.906304,0.969815,31.400788,0.945955
65,1.100022,14.523661,6.518560,34.044652,0.970556,31.386423,0.946271
66,1.116689,15.049747,6.520800,33.936506,0.970092,31.268005,0.945688
67,1.133356,14.399207,6.536480,33.696181,0.969817,31.129104,0.945049
68,1.150023,14.307756,6.534880,33.745209,0.969371,31.177061,0.944867
69,1.166690,14.400760,6.479360,33.584276,0.969556,31.257169,0.945285
70,1.183357,14.382495,6.523840,33.897051,0.969871,31.390168,0.945010
71,1.200024,15.352996,6.628160,33.970575,0.969903,31.590103,0.946051
72,1.216691,14.170548,6.489760,33.979269,0.969964,31.714373,0.947544
73,1.233358,14.866083,6.507040,34.176251,0.970992,31.716630,0.948019
74,1.250025,14.152515,6.519520,34.166971,0.970883,31.703135,0.947903
75,1.266692,14.431558,6.509440,34.215916,0.971338,31.674147,0.947774
76,1.283359,14.174386,6.506400,34.223408,0.971438,31.662788,0.947902
77,1.300026,15.020973,6.537280,34.034483,0.970910,31.649668,0.948346
78,1.316693,14.160449,6.503520,34.168432,0.970881,31.772914,0.948452
79,1.333360,14.214240,6.536320,34.191389,0.971017,31.732730,0.947994
80,1.350027,14.167793,6.476960,33.987944,0.970681,31.590914,0.947724
81,1.366694,14.241111,6.535680,34.037826,0.970485,31.498639,0.946736
82,1.383361,14.184755,6.480960,34.122569,0.970929,31.515638,0.946972
83,1.400028,14.132486,6.534560,34.192446,0.971216,31.626007,0.947634
84,1.416695,14.095187,6.488960,34.242683,0.971557,31.650042,0.947884
85,1.433362,14.146343,6.521760,34.204809,0.971450,31.614284,0.947602
86,1.450029,14.153276,6.516800,34.191007,0.971277,31.611175,0.947423
87,1.466696,14.121867,6.498400,34.228304,0.971464,31.624633,0.947413
88,1.483363,14.895778,6.521280,34.189110,0.971556,31.622061,0.947508
89,1.500030,14.228317,6.472640,34.239326,0.971246,31.662766,0.947301
90,1.516697,15.287183,6.507680,34.322318,0.971836,31.742078,0.947974
91,1.533364,14.432129,6.515360,34.291121,0.971738,31.764598,0.948297
92,1.550031,14.532657,6.502400,34.198891,0.971742,31.769314,0.948675
93,1.566698,14.163755,6.471680,34.247108,0.971834,31.761584,0.948623
94,1.583365,14.305271,6.523680,34.161762,0.971729,31.758975,0.948639
95,1.600032,13.696108,6.478720,34.212888,0.972168,31.773075,0.948979
96,1.616699,14.134431,6.524160,34.168795,0.971936,31.751525,0.948902
97,1.633366,13.869063,6.482240,34.053627,0.971445,31.729813,0.948548
98,1.650033,13.916582,6.542720,34.190256,0.971964,31.722870,0.948542
99,1.666700,14.004577,6.481760,34.258034,0.972230,31.716686,0.948481
100,1.683367,13.987084,6.515200,34.179184,0.971926,31.722740,0.948482
101,1.700034,13.834168,6.480800,34.265690,0.972558,31.733766,0.948942
102,1.716701,13.924436,6.522560,34.375975,0.972729,31.901388,0.949586
103,1.733368,13.818027,6.475680,34.434038,0.972863,31.933441,0.949832
104,1.750035,14.038610,6.526880,33.927176,0.970929,31.770382,0.948907
105,1.766702,13.931830,6.477120,34.317021,0.972099,31.827849,0.948834
106,1.783369,13.939596,6.518880,34.314757,0.972304,31.833304,0.948603
107,1.800036,13.840379,6.471680,34.404919,0.972505,31.835272,0.948906
108,1.816703,13.972437,6.508320,34.310587,0.972298,31.802563,0.948695
109,1.833370,13.818077,6.459200,34.344360,0.972403,31.807988,0.949181
110,1.850037,13.930618,6.519520,34.238530,0.972127,31.836752,0.949480
111,1.866704,13.904429,6.472640,34.376754,0.972469,31.869753,0.949342
112,1.883371,13.824860,6.527200,33.910288,0.971563,31.738736,0.948897
113,1.900038,13.923946,6.479360,34.082726,0.971785,31.657226,0.948174
114,1.916705,13.977616,6.535520,34.046366,0.971560,31.665676,0.948049
115,1.933372,13.544714,6.476960,34.193162,0.972027,31.603577,0.947370
116,1.950039,14.100226,6.532320,34.093836,0.971741,31.632179,0.947805
