frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,19.304467,7.440320,37.316390,0.957591,27.532836,0.670844
17,0.300006,19.257660,7.445600,37.393784,0.958143,27.515581,0.669523
18,0.316673,19.186697,7.447680,37.486732,0.958431,27.484817,0.667740
19,0.333340,19.176147,7.446720,37.475647,0.958453,27.448103,0.665570
20,0.350007,19.654835,7.433920,37.551078,0.958913,27.409120,0.663715
21,0.366674,19.284360,7.448800,37.595262,0.959463,27.387222,0.662659
22,0.383341,18.944772,7.437440,37.589657,0.959762,27.353588,0.661515
23,0.400008,19.178591,7.451840,37.676502,0.960141,27.326768,0.659856
24,0.416675,19.189551,7.449920,37.723507,0.960949,27.285165,0.657300
25,0.433342,19.203568,7.429440,37.722186,0.961084,27.258557,0.655258
26,0.450009,19.254604,7.420480,37.728467,0.961363,27.233730,0.654586
27,0.466676,19.334724,7.438880,37.716103,0.961508,27.193654,0.655175
28,0.483343,19.292304,7.429440,37.683762,0.961986,27.174854,0.656258
29,0.500010,19.392432,7.436960,37.809698,0.962773,27.163811,0.656992
30,0.516677,19.770632,7.418240,37.837008,0.963040,27.182004,0.657778
31,0.533344,19.180364,7.440640,37.974084,0.963661,27.223123,0.658784
32,0.550011,19.566789,7.448640,37.856722,0.963749,27.254050,0.660424
33,0.566678,19.426546,7.468640,37.919439,0.964345,27.295847,0.662386
34,0.583345,19.586837,7.472480,37.936398,0.964692,27.343719,0.665589
35,0.600012,19.725046,7.484800,38.127504,0.965575,27.434689,0.671239
36,0.616679,19.677798,7.488000,38.161723,0.965927,27.528091,0.675750
37,0.633346,19.756064,7.485120,38.114579,0.965942,27.614065,0.679250
38,0.650013,19.771043,7.476160,38.034815,0.966011,27.688486,0.684879
39,0.666680,19.703576,7.482560,38.086617,0.966524,27.765302,0.691172
40,0.683347,20.225044,7.476160,38.225216,0.966868,27.845213,0.696207
41,0.700014,19.775361,7.514400,38.208454,0.967542,27.913072,0.702733
42,0.716681,19.397833,8.579200,38.137837,0.967963,27.993682,0.710717
43,0.733348,20.725322,7.516320,38.250255,0.968354,28.047214,0.717266
