frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,4.339300,1.772864,33.942868,0.969358,31.315856,0.945905
17,0.300006,4.327100,1.639808,33.884655,0.969304,31.323140,0.946167
18,0.316673,4.332700,1.841376,33.991456,0.969866,31.346849,0.946376
19,0.333340,4.273400,1.856192,33.932384,0.969557,31.365496,0.946323
20,0.350007,4.082900,1.830976,33.790384,0.969376,31.328838,0.946396
21,0.366674,4.708500,1.851424,33.913495,0.969699,31.413239,0.946897
22,0.383341,4.166600,1.638464,33.922365,0.970046,31.487381,0.947726
23,0.400008,4.242500,1.966880,34.064464,0.970191,31.738215,0.948681
24,0.416675,4.440800,1.634880,33.962056,0.969920,31.741266,0.948798
25,0.433342,4.323200,1.644128,34.096446,0.970210,31.666217,0.947978
26,0.450009,4.316100,1.636704,34.160757,0.970600,31.697236,0.948434
27,0.466676,4.264200,1.638464,34.113671,0.969761,31.708539,0.947586
28,0.483343,4.561100,1.804704,34.066419,0.970221,31.717151,0.948128
29,0.500010,4.174500,1.809056,33.956149,0.969913,31.740856,0.948422
30,0.516677,4.595200,1.809696,33.882860,0.969892,31.704867,0.948599
31,0.533344,4.327500,1.811616,34.077842,0.970721,31.805246,0.948638
32,0.550011,4.362800,2.402432,34.003459,0.970086,31.778492,0.948213
33,0.566678,4.626900,1.974336,34.005642,0.970184,31.636263,0.947287
34,0.583345,4.234500,1.962112,34.033406,0.969667,31.603450,0.946602
35,0.600012,4.270500,1.902496,34.100261,0.970220,31.604467,0.946817
36,0.616679,4.468200,1.832480,33.971761,0.969594,31.569584,0.946650
37,0.633346,4.248500,1.635968,33.998058,0.969855,31.650723,0.947026
38,0.650013,4.407900,1.826272,34.026033,0.970311,31.662273,0.947120
39,0.666680,4.291700,1.679616,34.055763,0.970426,31.655988,0.947018
40,0.683347,4.198200,1.797248,34.190083,0.971180,31.664891,0.947087
41,0.700014,4.371700,1.629024,34.255737,0.971432,31.700426,0.947250
42,0.716681,4.173000,1.633600,34.086391,0.970225,31.647663,0.946512
43,0.733348,4.221800,1.795168,34.089553,0.970353,31.514787,0.945690
44,0.750015,4.144500,1.630304,34.076849,0.970392,31.513136,0.945374
45,0.766682,4.594800,1.634848,34.061379,0.970421,31.465778,0.945253
46,0.783349,4.282800,1.634112,34.042412,0.970407,31.444419,0.944824
47,0.800016,4.510700,2.035616,34.063376,0.970697,31.418980,0.944935
48,0.816683,4.159100,1.792320,34.088919,0.970991,31.365300,0.944855
49,0.833350,4.790700,1.910208,34.054538,0.970899,31.350781,0.944602
50,0.850017,4.013600,1.633472,34.016257,0.970450,31.365857,0.944606
51,0.866684,4.474800,1.817888,34.022315,0.970276,31.361203,0.944425
52,0.883351,4.191200,1.634112,33.955094,0.970024,31.383920,0.944663
53,0.900018,4.430900,1.809184,34.029426,0.970236,31.468796,0.945030
54,0.916685,4.496000,1.631008,34.024921,0.970036,31.425850,0.944746
55,0.933352,4.526500,1.803808,34.019863,0.970449,31.418392,0.944936
56,0.950019,4.293700,1.910560,33.907752,0.969685,31.325951,0.944704
57,0.966686,4.161300,1.923552,33.955572,0.970078,31.296242,0.944369
58,0.983353,4.114400,1.636768,34.024588,0.970519,31.272973,0.944322
59,1.000020,4.169700,1.868864,34.012515,0.970523,31.297973,0.944623
60,1.016687,4.463700,1.905184,34.084698,0.970735,31.358005,0.944855
61,1.033354,4.316600,1.903232,34.055655,0.970431,31.339351,0.944549
62,1.050021,4.421000,1.986144,33.940700,0.969887,31.353028,0.944792
63,1.066688,4.551500,1.951360,33.980559,0.970049,31.361096,0.944847
64,1.083355,4.279600,1.984224,34.068378,0.970712,31.362783,0.945200
65,1.100022,4.634300,2.095840,34.111362,0.970881,31.347055,0.945505
66,1.116689,4.816300,1.891648,34.106318,0.970926,31.230134,0.944923
67,1.133356,4.690200,1.967712,33.992564,0.970860,31.095390,0.944321
68,1.150023,4.264300,1.955616,33.979823,0.970366,31.138527,0.944075
69,1.166690,3.962300,1.867296,33.945122,0.970632,31.218210,0.944493
70,1.183357,4.419200,1.632672,34.053382,0.970655,31.348387,0.944204
71,1.200024,4.353200,1.628128,34.050045,0.970319,31.547978,0.945264
72,1.216691,4.449000,1.800640,34.072011,0.970467,31.670525,0.946750
73,1.233358,4.136000,2.035968,34.237556,0.971356,31.672038,0.947237
74,1.250025,4.379100,1.967264,34.244934,0.971291,31.659105,0.947116
75,1.266692,4.055100,1.633952,34.279923,0.971642,31.632295,0.947004
76,1.283359,4.051100,1.634304,34.278686,0.971623,31.619414,0.947120
77,1.300026,4.213400,1.798432,34.053922,0.970992,31.608839,0.947576
78,1.316693,4.477500,1.631200,34.225077,0.971055,31.729868,0.947686
79,1.333360,4.468600,1.632864,34.233899,0.971089,31.687450,0.947185
80,1.350027,4.122100,1.968416,33.764611,0.970190,31.545648,0.946892
81,1.366694,4.607200,1.818880,34.064186,0.970468,31.456053,0.945928
82,1.383361,4.604100,1.898336,34.178532,0.970996,31.477185,0.946220
83,1.400028,4.016500,1.795200,34.168142,0.971010,31.583149,0.946832
84,1.416695,4.944200,1.829952,34.273883,0.971534,31.605169,0.947054
