frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
60,0.508331,18.755828,7.465120,38.142920,0.965386,28.390317,0.695219
61,0.516665,19.663882,7.419360,38.095825,0.964890,28.406176,0.696261
62,0.524998,20.020660,7.453600,38.196359,0.965362,28.421664,0.697707
63,0.533331,19.524480,7.450560,38.193077,0.965836,28.443923,0.699421
64,0.541664,25.695224,7.445920,38.176756,0.966269,28.463516,0.701474
65,0.549998,20.698642,7.429120,38.137470,0.966437,28.479865,0.703238
66,0.558331,21.027278,7.454400,38.261410,0.966774,28.498904,0.705263
67,0.566664,20.422985,7.430720,38.247432,0.967047,28.522971,0.707316
68,0.574998,21.340957,7.448960,38.249415,0.966733,28.555949,0.709521
69,0.583331,23.597269,7.453120,38.257031,0.966954,28.579720,0.711736
70,0.591664,21.114021,7.451040,38.235777,0.966975,28.614241,0.714111
71,0.599998,19.371292,7.462400,38.315419,0.967135,28.658622,0.716518
72,0.608331,26.012318,7.446720,38.413596,0.967729,28.696955,0.718527
73,0.616664,20.929215,7.441440,38.439560,0.968200,28.733125,0.720282
74,0.624997,21.123149,7.475360,38.362897,0.967940,28.770653,0.722520
75,0.633331,19.530361,7.459680,38.410913,0.968245,28.819394,0.725469
76,0.641664,25.541977,7.468480,38.387920,0.968448,28.866392,0.728647
77,0.649997,21.393215,7.443200,38.396199,0.968686,28.902527,0.731406
78,0.658331,19.686504,7.454240,38.430429,0.968552,28.942579,0.733820
79,0.666664,22.074082,7.453920,38.388134,0.968342,28.986776,0.736324
80,0.674997,20.333508,7.418720,38.492925,0.969037,29.030356,0.739062
81,0.683331,20.926930,7.446560,38.521967,0.969449,29.076010,0.742137
82,0.691664,20.400543,7.463840,38.623361,0.969705,29.134380,0.745920
83,0.699997,20.264318,7.442400,38.602137,0.969993,29.183373,0.749993
84,0.708330,21.371194,7.473920,38.590522,0.970300,29.234694,0.753897
85,0.716664,21.947384,7.447520,38.627722,0.970543,29.285270,0.757467
86,0.724997,20.329270,7.477440,38.614809,0.970443,29.315158,0.760511
87,0.733330,19.732901,7.478080,38.579612,0.970560,29.345606,0.763593
88,0.741664,20.372892,7.472960,38.491697,0.970764,29.377525,0.767131
89,0.749997,23.049511,7.491360,38.499560,0.971048,29.414776,0.770315
90,0.758330,20.593144,7.491840,38.596076,0.971654,29.445030,0.772960
91,0.766664,19.758409,7.486400,38.549680,0.971720,29.452840,0.775274
92,0.774997,20.114937,7.496480,38.575416,0.971689,29.497858,0.778687
93,0.783330,24.582436,7.483520,38.611683,0.972080,29.548273,0.782777
94,0.791663,20.778993,7.489760,38.522094,0.972293,29.582067,0.786552
95,0.799997,20.111091,7.528960,38.544827,0.972635,29.626757,0.789825
96,0.808330,20.192853,7.472800,38.437832,0.972569,29.668158,0.793197
97,0.816663,24.431123,7.461920,38.467791,0.972608,29.731835,0.797225
98,0.824997,21.207657,7.458880,38.459984,0.973143,29.806603,0.802544
99,0.833330,19.881650,7.505120,38.505000,0.973173,29.890874,0.808914
100,0.841663,22.047883,7.452160,38.572287,0.973303,30.007677,0.815132
101,0.849997,20.630905,7.512480,38.533771,0.973584,30.112317,0.821509
102,0.858330,21.627173,7.513920,38.513746,0.973829,30.146818,0.827849
103,0.866663,21.410247,7.517600,38.551055,0.973797,30.166759,0.834186
104,0.874996,20.966504,7.527840,38.290019,0.973107,30.191348,0.839945
105,0.883330,28.813843,7.495040,38.349357,0.973579,30.225778,0.846394
106,0.891663,21.929851,7.475040,37.972536,0.972640,30.019987,0.853450
107,0.899996,20.573868,7.510560,37.537056,0.971364,29.076669,0.858196
108,0.908330,21.331710,7.476000,37.228223,0.968166,27.079745,0.857639
109,0.916663,22.352324,7.472640,36.510559,0.963750,26.570120,0.860902
110,0.924996,20.687211,7.435200,35.219640,0.963514,26.390196,0.867151
111,0.933330,19.365632,7.383840,36.250918,0.964249,26.220346,0.868854
112,0.941663,19.485747,7.353120,35.285837,0.961198,25.656933,0.864040
113,0.949996,18.771518,7.328160,33.591034,0.959364,25.210929,0.861160
114,0.958329,18.967906,7.294400,33.344626,0.959817,25.059905,0.859569
115,0.966663,21.070991,7.281600,33.792233,0.966057,24.728924,0.857709
116,0.974996,22.191573,7.264640,33.959500,0.967896,24.211322,0.852743
117,0.983329,19.279591,7.254880,34.289201,0.969335,24.199801,0.850805
118,0.991663,18.207330,7.278880,33.088736,0.970153,24.435816,0.855522
119,0.999996,20.593005,7.271520,33.921013,0.973181,24.229225,0.856801
120,1.008329,20.222289,7.267840,35.107639,0.976406,24.417042,0.860416
121,1.016663,22.652297,7.286400,35.183626,0.977988,24.947291,0.865940
122,1.024996,21.316731,7.864000,33.451360,0.975368,25.294191,0.869105
123,1.033329,21.118950,7.268320,34.245879,0.973468,25.095223,0.864735
124,1.041662,19.469096,7.329280,34.666840,0.970112,25.616306,0.862079
125,1.049996,19.344372,7.299200,36.110291,0.968651,26.694671,0.867228
126,1.058329,24.761633,7.299360,36.019691,0.960693,26.827211,0.864300
127,1.066662,20.720323,7.284800,35.357182,0.951462,26.427488,0.854848
128,1.074996,18.727926,7.308160,33.123836,0.940782,26.315810,0.848863
129,1.083329,21.156641,7.360480,31.227243,0.931429,26.034438,0.837702
130,1.091662,21.641811,7.350080,30.278825,0.934989,26.282058,0.825911
131,1.099996,19.220881,7.355200,31.991902,0.941282,26.721993,0.812416
132,1.108329,19.081339,7.324480,33.613859,0.945909,26.063155,0.788142
133,1.116662,20.141367,7.346880,33.954886,0.946770,25.624441,0.759652
134,1.124996,19.037827,7.348320,34.149397,0.946615,25.426201,0.735362
135,1.133329,23.481301,7.354400,34.397382,0.946844,25.401583,0.718001
136,1.141662,21.919703,7.365760,34.675016,0.947364,25.394345,0.705031
137,1.149995,19.482201,7.342400,34.544549,0.946930,25.317491,0.691364
138,1.158329,19.145830,7.358720,34.425615,0.945774,25.321483,0.679529
139,1.166662,19.093361,7.337920,33.811089,0.944886,25.437962,0.671736
140,1.174995,18.636665,7.338080,34.582651,0.945547,25.727542,0.669157
141,1.183329,24.424891,7.330720,34.790807,0.945112,25.753158,0.669544
142,1.191662,20.586292,7.364000,34.725968,0.943982,25.735827,0.670599
143,1.199995,18.827322,7.336800,34.683065,0.943198,25.716113,0.670474
144,1.208329,18.781046,7.306880,34.720493,0.943388,25.702164,0.670476
145,1.216662,19.336548,7.323520,34.752402,0.943619,25.692407,0.669995
146,1.224995,24.513658,7.307680,34.660669,0.942871,25.673907,0.668830
147,1.233328,22.153150,7.320480,34.706265,0.942731,25.676790,0.668281
148,1.241662,19.641900,7.323200,34.713705,0.942635,25.681686,0.667745
149,1.249995,18.870905,7.306720,34.662196,0.941734,25.668372,0.666072
150,1.258328,18.479690,7.311360,34.640690,0.941501,25.644067,0.664524
151,1.266662,18.149241,7.332320,34.560732,0.940447,25.629357,0.664302
152,1.274995,18.865865,7.327520,34.554484,0.940267,25.621354,0.665462
153,1.283328,20.083960,7.355840,34.492463,0.939858,25.615661,0.666946
154,1.291662,18.595878,7.336480,34.545834,0.940720,25.607929,0.668911
155,1.299995,23.122949,7.331040,34.514386,0.940469,25.595840,0.669648
156,1.308328,21.837839,7.322400,34.555857,0.940629,25.595889,0.670058
157,1.316661,20.564350,7.338720,34.516506,0.940518,25.623038,0.670335
158,1.324995,20.079270,7.324000,34.509280,0.939707,25.685335,0.670671
159,1.333328,21.798906,7.316320,34.493764,0.939321,25.759887,0.671693
160,1.341661,21.894555,7.350080,34.450495,0.938298,25.825245,0.672484
161,1.349995,23.806682,7.349280,34.456927,0.937635,25.877834,0.673593
162,1.358328,19.253511,8.146560,34.487147,0.938403,25.925925,0.675025
163,1.366661,19.206985,7.316480,34.504669,0.938977,25.968412,0.676230
164,1.374995,24.747507,7.334720,34.501451,0.938529,26.005622,0.677372
165,1.383328,22.473752,7.352480,34.552828,0.938580,26.057260,0.678955
166,1.391661,21.031416,7.295040,34.615514,0.939525,26.115603,0.681894
167,1.399994,19.107889,7.314560,34.576501,0.938842,26.186978,0.684732
168,1.408328,19.077362,7.374720,34.613699,0.938572,26.247740,0.687609
169,1.416661,26.664672,7.323840,34.488489,0.936606,26.314804,0.689599
170,1.424994,20.381948,7.332320,34.535114,0.937119,26.380814,0.691978
171,1.433328,20.095471,7.359040,34.549174,0.937453,26.441664,0.693875
172,1.441661,18.704472,7.353920,34.658375,0.938753,26.520811,0.696503
173,1.449994,19.182499,7.337920,34.658964,0.938654,26.585265,0.698222
174,1.458328,19.575125,7.328640,34.703328,0.938660,26.655117,0.699726
175,1.466661,21.914312,7.310400,34.689498,0.938836,26.726687,0.701091
176,1.474994,21.675435,7.356960,34.668113,0.937747,26.787597,0.701585
177,1.483327,19.264172,7.337600,34.706313,0.937767,26.860393,0.702824
178,1.491661,20.332536,7.347040,34.631074,0.936489,26.910050,0.703438
179,1.499994,18.486192,7.337280,34.638939,0.936056,26.966195,0.704174
