frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
10,0.550000,18.902764,4.717600,36.339224,0.951312,25.526302,0.601509
11,0.600000,20.607050,6.213120,36.300974,0.952200,25.647291,0.610850
12,0.650000,20.156345,4.741920,36.446155,0.951275,25.843735,0.622409
13,0.700000,20.553369,5.830720,36.395440,0.951252,26.028435,0.638838
14,0.750000,20.960764,4.770400,36.208037,0.952753,26.102457,0.657919
15,0.800000,20.161265,4.733280,35.295743,0.952455,25.411950,0.673630
16,0.850000,19.393164,4.789760,35.575330,0.954006,25.401105,0.703472
17,0.900000,20.262394,4.809120,31.413723,0.942438,24.370746,0.739332
18,0.950000,19.111685,4.846880,22.229610,0.828719,19.411439,0.712459
19,1.000000,16.729678,4.747840,20.232583,0.881742,18.110112,0.726013
20,1.050000,17.124719,4.202560,20.860182,0.848996,19.448688,0.765398
21,1.100000,17.842345,4.093920,22.723872,0.848233,20.627300,0.668994
22,1.150000,18.323176,4.207680,25.840869,0.867741,20.938662,0.565483
23,1.200000,24.644273,4.282240,28.372408,0.893596,22.167543,0.521536
24,1.250000,16.636813,4.640000,31.983223,0.904975,22.483071,0.519614
25,1.300000,18.275107,4.588960,32.122694,0.902845,22.429355,0.518232
26,1.350000,18.699413,4.622400,32.385430,0.913375,22.577965,0.521369
27,1.400000,16.576100,4.591520,32.692718,0.915285,22.812706,0.527667
28,1.450000,16.514905,4.596320,32.561768,0.913878,22.996111,0.534617
29,1.500000,16.721963,4.615520,33.084550,0.917561,23.187525,0.543086
