frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,16.867978,4.704640,37.104164,0.955772,27.532836,0.670844
17,0.300006,18.222528,4.703040,37.181339,0.956344,27.515581,0.669523
18,0.316673,16.889267,4.715520,37.275159,0.956670,27.484817,0.667740
19,0.333340,18.233959,4.715520,37.285445,0.956770,27.448103,0.665570
20,0.350007,16.364693,4.685440,37.351189,0.957247,27.409120,0.663715
21,0.366674,16.850825,4.715840,37.391773,0.957822,27.387222,0.662659
22,0.383341,16.883818,4.671680,37.411517,0.958200,27.353588,0.661515
23,0.400008,16.918713,4.724960,37.472986,0.958590,27.326768,0.659856
24,0.416675,18.189767,4.698080,37.570756,0.959648,27.285165,0.657300
25,0.433342,16.897322,4.722560,37.507902,0.959402,27.258557,0.655258
26,0.450009,18.335419,4.720480,37.559512,0.959922,27.233730,0.654586
27,0.466676,18.391546,4.690240,37.467738,0.959741,27.193654,0.655175
28,0.483343,16.939371,4.700480,37.539489,0.960541,27.174854,0.656258
29,0.500010,16.433563,4.699200,37.611062,0.961303,27.163811,0.656992
30,0.516677,17.258840,4.693920,37.653947,0.961621,27.182004,0.657778
31,0.533344,17.533576,4.745600,37.747443,0.962146,27.223123,0.658784
32,0.550011,17.326858,4.699520,37.722560,0.962471,27.254050,0.660424
33,0.566678,17.628735,4.726560,37.685718,0.962674,27.295847,0.662386
34,0.583345,18.643728,4.708000,37.756738,0.963318,27.343719,0.665589
35,0.600012,17.158512,4.716800,37.890785,0.963964,27.434689,0.671239
36,0.616679,17.182968,4.688160,37.985121,0.964631,27.528091,0.675750
37,0.633346,17.187808,4.679360,37.850912,0.963969,27.614065,0.679250
38,0.650013,17.379947,4.707040,37.834193,0.964433,27.688486,0.684879
39,0.666680,17.226089,4.736320,37.781111,0.964049,27.765302,0.691172
40,0.683347,16.836058,4.731680,37.922438,0.964888,27.845213,0.696207
41,0.700014,18.335620,4.730560,37.917458,0.965270,27.913072,0.702733
42,0.716681,17.295800,4.769920,37.934520,0.965918,27.993682,0.710717
43,0.733348,17.224065,4.750400,37.889842,0.965615,28.047214,0.717266
44,0.750015,18.670779,4.748960,37.836794,0.965952,28.032215,0.721455
45,0.766682,17.280972,4.731840,37.742596,0.965539,27.990812,0.725772
46,0.783349,17.126032,4.696480,37.777286,0.966412,27.973102,0.733383
47,0.800016,17.231059,4.748640,37.672680,0.966670,28.023584,0.743651
48,0.816683,17.168501,4.784640,37.637451,0.967301,28.118906,0.754464
49,0.833350,17.826155,4.786880,37.574785,0.966642,28.199603,0.764572
50,0.850017,17.353327,4.774400,37.563116,0.967850,28.306051,0.775713
51,0.866684,17.100805,4.795360,37.301485,0.967662,28.344202,0.789363
52,0.883351,17.185594,4.756480,36.925989,0.966983,28.355819,0.805598
53,0.900018,17.007359,4.785440,34.567185,0.963339,27.384678,0.818134
54,0.916685,16.568506,4.722560,32.281551,0.946405,24.132197,0.808921
55,0.933352,16.551594,4.728320,31.727570,0.941714,23.450297,0.809471
56,0.950019,16.780704,4.623680,29.925819,0.929370,22.584597,0.797765
57,0.966686,15.296780,4.582240,27.660246,0.933678,22.080666,0.795031
58,0.983353,15.428808,4.517760,30.234775,0.947679,21.389878,0.789864
59,1.000020,16.312615,4.451680,29.348655,0.953437,21.609870,0.801265
60,1.016687,15.056611,4.497120,32.263311,0.963605,22.224014,0.818649
61,1.033354,15.927483,4.465440,30.258733,0.954418,22.721744,0.829895
62,1.050021,16.397355,4.461600,31.845883,0.950673,24.007285,0.823009
63,1.066688,15.221670,4.526080,32.473666,0.927927,24.362109,0.803549
64,1.083355,15.408219,4.516640,29.875853,0.902666,23.966055,0.776231
65,1.100022,16.214612,4.553440,29.407089,0.912430,24.431522,0.745994
66,1.116689,16.652744,4.580000,31.665230,0.928460,24.109020,0.704056
67,1.133356,15.715125,4.594240,32.411071,0.933719,23.813127,0.666528
68,1.150023,15.656585,4.597440,32.521662,0.932940,23.882756,0.637046
69,1.166690,16.076423,4.586720,30.960902,0.931031,24.057482,0.613731
70,1.183357,15.574451,4.582080,33.829641,0.935124,24.589603,0.606489
71,1.200024,15.410043,4.601920,33.920345,0.935926,24.576128,0.604611
72,1.216691,16.482865,4.581120,34.011242,0.936160,24.554569,0.603851
73,1.233358,15.524859,4.605280,33.952598,0.934705,24.535508,0.602183
74,1.250025,15.616700,4.576800,34.011257,0.934286,24.515250,0.602378
75,1.266692,15.540898,4.565440,33.986193,0.933893,24.466031,0.602527
76,1.283359,15.505431,4.600320,33.971124,0.933757,24.398410,0.600488
77,1.300026,15.581544,4.583040,34.000406,0.933918,24.339652,0.599284
78,1.316693,15.573870,4.557120,33.872075,0.933586,24.323515,0.598577
79,1.333360,15.466960,4.601920,33.776209,0.932457,24.372360,0.599684
80,1.350027,15.169752,4.577120,33.894797,0.932669,24.470859,0.603376
81,1.366694,16.486782,4.561120,33.911301,0.932208,24.592306,0.606583
82,1.383361,15.486346,4.601120,33.999796,0.932685,24.689857,0.609941
83,1.400028,15.573861,4.580320,34.053865,0.932881,24.795881,0.612194
84,1.416695,15.622532,4.558240,34.064779,0.932591,24.874657,0.613573
85,1.433362,15.538374,4.605920,34.075186,0.932463,24.952562,0.615819
86,1.450029,15.628032,4.611200,34.135417,0.932188,25.047971,0.618673
87,1.466696,15.879965,4.581920,34.144110,0.931976,25.129677,0.621761
88,1.483363,15.694857,4.621120,34.158437,0.931357,25.227090,0.624306
89,1.500030,15.245154,4.613920,34.166255,0.930887,25.330244,0.627401
90,1.516697,16.725841,4.594240,34.296783,0.931669,25.444208,0.630660
91,1.533364,16.883306,4.630080,34.345812,0.932140,25.547225,0.633066
92,1.550031,15.800105,4.604960,34.362367,0.932260,25.644273,0.635143
93,1.566698,15.738890,4.610400,34.368159,0.932122,25.727978,0.636925
94,1.583365,15.701610,4.571520,34.410779,0.931843,25.826185,0.639651
95,1.600032,15.641547,4.618720,34.451220,0.931703,25.908414,0.641935
96,1.616699,15.720596,4.586080,34.461002,0.931426,25.986728,0.643720
97,1.633366,15.753748,4.577600,34.364267,0.929897,26.043781,0.644467
98,1.650033,15.683927,4.624000,34.378547,0.929881,26.134558,0.645929
99,1.666700,15.734682,4.621920,34.490898,0.930051,26.271161,0.648918
100,1.683367,16.241041,4.578560,34.584307,0.931004,26.387249,0.651612
101,1.700034,16.745688,4.624480,34.606365,0.930928,26.477148,0.653831
102,1.716701,15.620808,5.676960,34.632776,0.931390,26.561141,0.656034
103,1.733368,15.652247,4.602240,34.672384,0.931994,26.637032,0.657195
104,1.750035,16.657002,4.601440,34.630698,0.931123,26.716067,0.659066
105,1.766702,15.802258,4.622560,34.639330,0.930920,26.787406,0.659854
106,1.783369,15.736495,4.621280,34.643051,0.930440,26.862996,0.661484
107,1.800036,15.722088,4.589120,34.579785,0.930103,26.930208,0.662893
108,1.816703,15.630667,4.633120,34.662722,0.930736,27.004975,0.664267
109,1.833370,15.245574,4.624160,34.704803,0.931522,27.061839,0.664754
110,1.850037,15.694326,4.598400,34.670217,0.931283,27.114972,0.665457
111,1.866704,16.094307,4.646880,34.645153,0.931275,27.152238,0.665659
112,1.883371,15.768245,4.606080,34.566754,0.930945,27.175872,0.665893
113,1.900038,16.323316,4.596960,34.545282,0.930357,27.199234,0.665508
114,1.916705,16.709450,4.635040,34.625219,0.931017,27.249998,0.665687
115,1.933372,15.733971,4.635200,34.512722,0.929702,27.290892,0.665036
116,1.950039,15.781911,4.622880,34.541214,0.930305,27.338418,0.665057
117,1.966706,15.748838,4.641760,34.540692,0.930491,27.382826,0.665175
118,1.983373,15.808179,4.636640,34.652653,0.931492,27.432134,0.665656
119,2.000040,16.021530,4.618400,34.674000,0.932073,27.466317,0.666018
