frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.720200,1.148192,37.063845,0.955853,27.517744,0.669806
17,0.300006,5.847700,0.962240,37.199142,0.956660,27.501538,0.668541
18,0.316673,5.712900,0.961600,37.248050,0.956845,27.471392,0.666807
19,0.333340,5.375100,1.129824,37.285255,0.957135,27.434262,0.664586
20,0.350007,5.933100,0.962112,37.321841,0.957312,27.394511,0.662761
21,0.366674,5.833600,0.970080,37.423005,0.958125,27.374060,0.661721
22,0.383341,5.321600,0.962496,37.427975,0.958476,27.339874,0.660613
23,0.400008,5.374600,0.964160,37.508271,0.959082,27.314727,0.658994
24,0.416675,5.607900,0.963104,37.577772,0.959943,27.273502,0.656457
25,0.433342,5.323100,0.966144,37.519476,0.959873,27.245845,0.654422
26,0.450009,5.672200,1.125728,37.571679,0.960195,27.221370,0.653789
27,0.466676,5.527400,0.963168,37.516909,0.960158,27.180981,0.654368
28,0.483343,5.605700,1.162976,37.537003,0.960713,27.162974,0.655424
29,0.500010,5.163200,1.138752,37.612608,0.961500,27.151121,0.656139
30,0.516677,6.000400,0.971104,37.677669,0.961804,27.170612,0.656964
31,0.533344,5.666000,0.979680,37.728911,0.962279,27.212209,0.657984
32,0.550011,5.974500,1.137472,37.662824,0.962469,27.242515,0.659662
33,0.566678,5.481000,0.968544,37.675077,0.962872,27.284177,0.661603
34,0.583345,5.881600,1.158432,37.731191,0.963451,27.330988,0.664797
35,0.600012,6.260300,1.131072,37.837770,0.964109,27.422674,0.670466
36,0.616679,5.823300,0.969280,37.917662,0.964535,27.516172,0.675028
37,0.633346,6.371400,1.154848,37.809990,0.964199,27.602350,0.678554
38,0.650013,6.044600,0.968288,37.760877,0.964493,27.676853,0.684231
39,0.666680,5.510500,0.972576,37.751290,0.964283,27.753427,0.690535
40,0.683347,5.656800,1.170272,37.863943,0.965023,27.834002,0.695601
41,0.700014,5.566000,1.244160,37.887581,0.965512,27.902168,0.702160
42,0.716681,5.717000,1.238080,37.805515,0.965518,27.982194,0.710136
43,0.733348,5.477100,0.970176,37.826278,0.965800,28.036067,0.716698
44,0.750015,5.637900,1.140672,37.716291,0.965989,28.022592,0.720943
45,0.766682,5.783900,0.970400,37.685208,0.966147,27.981500,0.725271
46,0.783349,5.634000,0.972512,37.665658,0.966825,27.962410,0.732837
47,0.800016,5.634500,1.440128,37.688055,0.967639,28.014592,0.743142
48,0.816683,5.770500,1.273536,37.556122,0.967547,28.110269,0.753992
49,0.833350,5.782500,1.243904,37.535995,0.967393,28.191352,0.764134
50,0.850017,5.681500,1.408832,37.260151,0.967052,28.297499,0.775298
51,0.866684,6.060400,1.174624,36.996824,0.967748,28.336417,0.788966
52,0.883351,5.691300,0.971232,36.707236,0.967234,28.349368,0.805285
53,0.900018,5.920100,1.229856,34.405356,0.963535,27.381478,0.817865
