frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.837600,0.923584,37.112487,0.955950,27.517744,0.669806
17,0.300006,5.679000,0.918240,37.202452,0.956616,27.501538,0.668541
18,0.316673,5.874000,0.921472,37.287037,0.956870,27.471392,0.666807
19,0.333340,5.789500,1.087040,37.302270,0.957068,27.434262,0.664586
20,0.350007,6.189700,1.355392,37.355950,0.957365,27.394511,0.662761
21,0.366674,5.656500,1.106592,37.400003,0.957969,27.374060,0.661721
22,0.383341,6.279600,1.065120,37.420274,0.958450,27.339874,0.660613
23,0.400008,5.878200,0.918656,37.485778,0.958918,27.314727,0.658994
24,0.416675,6.215000,1.121792,37.582015,0.959835,27.273502,0.656457
25,0.433342,5.820000,1.085728,37.526294,0.959797,27.245845,0.654422
26,0.450009,5.674200,0.926304,37.568043,0.960107,27.221370,0.653789
27,0.466676,5.789100,0.924064,37.483743,0.959975,27.180981,0.654368
28,0.483343,5.391700,1.085984,37.544678,0.960684,27.162974,0.655424
29,0.500010,5.933100,1.085856,37.606011,0.961394,27.151121,0.656139
30,0.516677,5.608000,0.920416,37.661209,0.961696,27.170612,0.656964
31,0.533344,5.575300,1.091424,37.745078,0.962207,27.212209,0.657984
32,0.550011,5.632200,1.095872,37.700440,0.962475,27.242515,0.659662
33,0.566678,5.538500,1.100576,37.687680,0.962809,27.284177,0.661603
34,0.583345,5.612100,1.093952,37.765696,0.963449,27.330988,0.664797
35,0.600012,5.845100,0.933536,37.901861,0.964122,27.422674,0.670466
36,0.616679,5.977700,0.922816,37.976551,0.964601,27.516172,0.675028
37,0.633346,5.943300,1.113888,37.860475,0.964175,27.602350,0.678554
38,0.650013,5.741200,0.937312,37.835120,0.964544,27.676853,0.684231
39,0.666680,6.534400,1.121952,37.779670,0.964200,27.753427,0.690535
40,0.683347,5.740800,0.937088,37.933581,0.965059,27.834002,0.695601
41,0.700014,6.397200,1.085856,37.907386,0.965317,27.902168,0.702160
42,0.716681,6.107500,1.127232,37.925801,0.965666,27.982194,0.710136
43,0.733348,6.389700,1.100640,37.896740,0.965714,28.036067,0.716698
44,0.750015,5.501300,1.333312,37.858946,0.966091,28.022592,0.720943
45,0.766682,5.846000,0.933056,37.772075,0.965910,27.981500,0.725271
46,0.783349,5.640400,0.926048,37.831187,0.967007,27.962410,0.732837
47,0.800016,5.512100,1.096832,37.736056,0.967239,28.014592,0.743142
48,0.816683,5.626000,0.930432,37.634835,0.967338,28.110269,0.753992
49,0.833350,5.943400,0.926208,37.587391,0.966800,28.191352,0.764134
50,0.850017,5.878100,1.109792,37.513188,0.967548,28.297499,0.775298
51,0.866684,5.812900,1.217920,37.122177,0.967662,28.336417,0.788966
52,0.883351,5.901100,1.091104,36.855668,0.966937,28.349368,0.805285
53,0.900018,5.766900,0.925472,34.495401,0.963308,27.381478,0.817865
54,0.916685,5.803900,1.058336,32.412617,0.945493,24.131236,0.808582
55,0.933352,5.683600,0.915040,31.600243,0.940244,23.448846,0.808998
56,0.950019,6.258000,0.909984,29.801905,0.928064,22.583884,0.797268
57,0.966686,5.810300,1.261760,27.564158,0.930996,22.080907,0.794752
58,0.983353,5.664700,1.025344,30.178443,0.947264,21.390053,0.789692
59,1.000020,5.359600,1.058016,29.189668,0.952506,21.609243,0.801025
60,1.016687,5.784000,1.039808,32.422614,0.962715,22.222152,0.818276
61,1.033354,5.441800,1.132832,29.907695,0.952511,22.719404,0.829247
62,1.050021,5.688800,1.027904,29.618834,0.945650,24.002658,0.822282
63,1.066688,5.695800,0.871744,32.379656,0.926934,24.356806,0.802661
64,1.083355,5.728400,0.884672,30.005165,0.902570,23.963329,0.775272
65,1.100022,5.550600,0.888480,29.386500,0.911678,24.425130,0.744892
66,1.116689,5.507700,0.897376,31.448340,0.927698,24.097270,0.702981
67,1.133356,5.635500,1.095680,31.898233,0.932482,23.801818,0.665449
68,1.150023,5.634700,0.922656,32.511452,0.932936,23.870533,0.635898
69,1.166690,5.607300,0.932896,30.749451,0.930251,24.043717,0.612611
70,1.183357,5.622100,0.921760,33.755662,0.936324,24.573170,0.605351
71,1.200024,5.839500,0.925760,34.026418,0.936997,24.560666,0.603452
72,1.216691,5.564100,0.923072,34.105692,0.937247,24.538131,0.602606
73,1.233358,6.056000,1.085984,34.064042,0.936031,24.519128,0.600931
