frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.777300,1.104096,37.156933,0.956083,27.517744,0.669806
17,0.300006,5.794200,1.117408,37.248043,0.956762,27.501538,0.668541
18,0.316673,5.508700,1.066688,37.331934,0.956983,27.471392,0.666807
19,0.333340,5.591000,0.937184,37.341318,0.957204,27.434262,0.664586
20,0.350007,5.557000,1.096896,37.379472,0.957476,27.394511,0.662761
21,0.366674,5.481000,0.930624,37.436989,0.958086,27.374060,0.661721
22,0.383341,5.427800,0.932864,37.447049,0.958512,27.339874,0.660613
23,0.400008,5.710700,0.938624,37.521089,0.959048,27.314727,0.658994
24,0.416675,5.482200,0.986272,37.608059,0.959943,27.273502,0.656457
25,0.433342,5.702500,1.096704,37.573049,0.959936,27.245845,0.654422
26,0.450009,6.429200,1.106048,37.603335,0.960202,27.221370,0.653789
27,0.466676,5.600100,0.933344,37.513617,0.960083,27.180981,0.654368
28,0.483343,6.152800,0.939296,37.577225,0.960793,27.162974,0.655424
29,0.500010,5.945700,0.933632,37.649063,0.961481,27.151121,0.656139
30,0.516677,6.174000,0.932992,37.691311,0.961746,27.170612,0.656964
31,0.533344,5.670500,1.139584,37.790183,0.962265,27.212209,0.657984
32,0.550011,5.650700,1.102304,37.702404,0.962473,27.242515,0.659662
33,0.566678,5.761700,0.938464,37.755756,0.962933,27.284177,0.661603
34,0.583345,5.646400,1.106816,37.806504,0.963512,27.330988,0.664797
35,0.600012,6.001300,0.939104,37.944296,0.964240,27.422674,0.670466
36,0.616679,5.537600,0.938560,37.988973,0.964603,27.516172,0.675028
37,0.633346,5.741800,0.939456,37.899505,0.964232,27.602350,0.678554
38,0.650013,5.754900,1.106848,37.848983,0.964529,27.676853,0.684231
39,0.666680,5.943900,0.944064,37.811749,0.964229,27.753427,0.690535
40,0.683347,5.846900,0.951712,37.952051,0.965055,27.834002,0.695601
41,0.700014,5.653800,0.945024,37.940795,0.965387,27.902168,0.702160
42,0.716681,5.788800,1.120960,37.943654,0.965665,27.982194,0.710136
43,0.733348,6.145500,1.105888,37.943034,0.965812,28.036067,0.716698
44,0.750015,5.878400,0.950752,37.889938,0.966136,28.022592,0.720943
45,0.766682,6.325600,0.948224,37.815851,0.966019,27.981500,0.725271
46,0.783349,5.693600,0.952608,37.846740,0.967050,27.962410,0.732837
47,0.800016,6.245100,0.941024,37.789045,0.967349,28.014592,0.743142
48,0.816683,5.619900,0.941728,37.665738,0.967351,28.110269,0.753992
49,0.833350,6.234800,0.941952,37.646830,0.966903,28.191352,0.764134
50,0.850017,5.553500,0.941856,37.512273,0.967518,28.297499,0.775298
51,0.866684,5.738000,1.102912,37.192865,0.967730,28.336417,0.788966
52,0.883351,5.928900,1.057408,36.919228,0.967090,28.349368,0.805285
53,0.900018,6.135700,1.105536,35.224382,0.964627,27.381478,0.817865
54,0.916685,5.914500,0.939872,29.315149,0.943153,24.131236,0.808582
55,0.933352,5.748100,0.929088,29.985746,0.941697,23.448846,0.808998
56,0.950019,5.793000,0.914432,29.993415,0.931919,22.583884,0.797268
