frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,6.039600,0.597888,27.517744,0.669806,27.517744,0.669806
17,0.300006,5.106400,0.598272,27.501538,0.668541,27.501538,0.668541
18,0.316673,5.182100,0.602624,27.471392,0.666807,27.471392,0.666807
19,0.333340,5.268600,0.598304,27.434262,0.664586,27.434262,0.664586
20,0.350007,5.220600,0.598432,27.394511,0.662761,27.394511,0.662761
21,0.366674,5.379700,0.598976,27.374060,0.661721,27.374060,0.661721
22,0.383341,5.072100,0.598944,27.339874,0.660613,27.339874,0.660613
23,0.400008,5.766100,0.596288,27.314727,0.658994,27.314727,0.658994
24,0.416675,5.334600,0.600288,27.273502,0.656457,27.273502,0.656457
25,0.433342,5.644800,0.604096,27.245845,0.654422,27.245845,0.654422
26,0.450009,4.894300,0.601184,27.221370,0.653789,27.221370,0.653789
27,0.466676,6.000700,0.790944,27.180981,0.654368,27.180981,0.654368
28,0.483343,5.469100,0.598784,27.162974,0.655424,27.162974,0.655424
29,0.500010,6.042900,0.597856,27.151121,0.656139,27.151121,0.656139
30,0.516677,5.408400,0.600416,27.170612,0.656964,27.170612,0.656964
31,0.533344,4.955500,0.795552,27.212209,0.657984,27.212209,0.657984
32,0.550011,5.527600,0.766688,27.242515,0.659662,27.242515,0.659662
33,0.566678,5.694100,0.601600,27.284177,0.661603,27.284177,0.661603
34,0.583345,5.213600,0.727808,27.330988,0.664797,27.330988,0.664797
35,0.600012,4.964500,0.604064,27.422674,0.670466,27.422674,0.670466
36,0.616679,5.582500,0.599520,27.516172,0.675028,27.516172,0.675028
37,0.633346,5.373400,0.598624,27.602350,0.678554,27.602350,0.678554
38,0.650013,5.377800,0.599488,27.676853,0.684231,27.676853,0.684231
39,0.666680,5.405700,0.606304,27.753427,0.690535,27.753427,0.690535
40,0.683347,5.097500,0.785952,27.834002,0.695601,27.834002,0.695601
41,0.700014,5.714300,0.602048,27.902168,0.702160,27.902168,0.702160
42,0.716681,5.439200,0.608960,27.982194,0.710136,27.982194,0.710136
43,0.733348,5.672300,0.799104,28.036067,0.716698,28.036067,0.716698
44,0.750015,5.473200,0.607936,28.022592,0.720943,28.022592,0.720943
45,0.766682,5.682700,0.792960,27.981500,0.725271,27.981500,0.725271
46,0.783349,5.804800,0.608224,27.962410,0.732837,27.962410,0.732837
47,0.800016,5.470300,0.793856,28.014592,0.743142,28.014592,0.743142
48,0.816683,5.593800,0.604384,28.110269,0.753992,28.110269,0.753992
