frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,5.324800,0.962944,37.114328,0.955947,27.517744,0.669806
17,0.300006,5.611200,1.130912,37.198063,0.956594,27.501538,0.668541
18,0.316673,5.616300,0.971904,37.286270,0.956858,27.471392,0.666807
19,0.333340,5.425500,1.138240,37.303552,0.957067,27.434262,0.664586
20,0.350007,5.617800,0.966688,37.353431,0.957358,27.394511,0.662761
21,0.366674,5.554000,0.965568,37.398755,0.957966,27.374060,0.661721
22,0.383341,5.281800,0.965312,37.418327,0.958438,27.339874,0.660613
23,0.400008,5.931300,1.157472,37.482728,0.958901,27.314727,0.658994
24,0.416675,5.692400,0.966496,37.577113,0.959805,27.273502,0.656457
25,0.433342,5.886000,1.133120,37.521363,0.959779,27.245845,0.654422
26,0.450009,5.836500,0.975360,37.567240,0.960099,27.221370,0.653789
27,0.466676,5.794800,0.970752,37.481326,0.959963,27.180981,0.654368
28,0.483343,5.634100,0.965792,37.541658,0.960670,27.162974,0.655424
29,0.500010,6.110800,0.969216,37.603860,0.961377,27.151121,0.656139
30,0.516677,5.677300,1.135072,37.661254,0.961690,27.170612,0.656964
31,0.533344,6.022800,1.151680,37.745685,0.962206,27.212209,0.657984
32,0.550011,5.901900,1.120576,37.700851,0.962451,27.242515,0.659662
33,0.566678,5.972400,0.978016,37.689205,0.962799,27.284177,0.661603
34,0.583345,5.643400,1.169632,37.762777,0.963442,27.330988,0.664797
35,0.600012,5.567100,1.152224,37.901535,0.964118,27.422674,0.670466
36,0.616679,5.563900,1.132064,37.976094,0.964596,27.516172,0.675028
37,0.633346,6.226800,0.968896,37.859007,0.964169,27.602350,0.678554
38,0.650013,5.770600,0.971776,37.835954,0.964527,27.676853,0.684231
39,0.666680,6.152600,1.309760,37.780860,0.964197,27.753427,0.690535
40,0.683347,5.564800,1.167296,37.923727,0.965029,27.834002,0.695601
41,0.700014,6.096600,0.973600,37.902006,0.965296,27.902168,0.702160
42,0.716681,5.652500,0.978144,37.914734,0.965612,27.982194,0.710136
43,0.733348,6.244800,0.978592,37.894997,0.965689,28.036067,0.716698
44,0.750015,5.491800,1.207872,37.857480,0.966071,28.022592,0.720943
45,0.766682,6.200900,1.149088,37.774789,0.965916,27.981500,0.725271
46,0.783349,5.430400,0.978016,37.840198,0.966987,27.962410,0.732837
47,0.800016,5.630800,0.977088,37.739774,0.967229,28.014592,0.743142
48,0.816683,5.771500,0.977056,37.638754,0.967313,28.110269,0.753992
49,0.833350,5.504700,1.160608,37.586420,0.966788,28.191352,0.764134
50,0.850017,5.854700,1.161696,37.526198,0.967555,28.297499,0.775298
51,0.866684,5.610800,0.971360,37.126915,0.967653,28.336417,0.788966
52,0.883351,5.800700,0.975264,36.880818,0.966911,28.349368,0.805285
53,0.900018,5.557700,0.974912,34.510975,0.963328,27.381478,0.817865
54,0.916685,6.247900,1.138528,32.433664,0.945853,24.131236,0.808582
55,0.933352,5.786500,0.960448,31.494330,0.939716,23.448846,0.808998
56,0.950019,6.182500,0.948768,29.784435,0.928085,22.583884,0.797268
57,0.966686,5.670300,1.435968,27.578117,0.931652,22.080907,0.794752
58,0.983353,6.160300,0.922624,30.176187,0.947347,21.390053,0.789692
59,1.000020,5.730900,0.912384,29.296292,0.952743,21.609243,0.801025
60,1.016687,6.545200,0.918496,32.068997,0.962898,22.222152,0.818276
61,1.033354,5.588100,0.913696,29.556679,0.952675,22.719404,0.829247
62,1.050021,5.877600,1.075584,31.812895,0.950014,24.002658,0.822282
63,1.066688,5.602400,1.102752,32.293670,0.927375,24.356806,0.802661
64,1.083355,5.314800,1.100512,29.976852,0.902557,23.963329,0.775272
65,1.100022,5.523000,0.934944,29.395207,0.911938,24.425130,0.744892
66,1.116689,5.632500,0.945152,31.477322,0.928007,24.097270,0.702981
67,1.133356,5.902500,0.960704,31.966736,0.933039,23.801818,0.665449
68,1.150023,5.425500,1.126816,32.498748,0.932867,23.870533,0.635898
69,1.166690,6.075300,0.968480,30.791232,0.930481,24.043717,0.612611
70,1.183357,5.434800,1.163264,33.793924,0.936772,24.573170,0.605351
71,1.200024,6.065800,1.305344,34.040769,0.937259,24.560666,0.603452
