frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,12.379519,4.101120,33.790461,0.968546,31.353816,0.946651
17,0.300006,12.355484,5.692800,33.801736,0.968615,31.358682,0.946878
18,0.316673,12.108470,4.143520,33.916090,0.969288,31.386237,0.947146
19,0.333340,12.310559,4.101120,33.837576,0.969205,31.404194,0.947056
20,0.350007,12.322152,4.140480,33.748716,0.969041,31.365560,0.947120
21,0.366674,12.330447,4.139200,33.889522,0.969510,31.449734,0.947614
22,0.383341,12.266938,4.113920,33.766956,0.969475,31.525211,0.948453
23,0.400008,12.224017,4.148960,33.985446,0.969697,31.777085,0.949410
24,0.416675,12.419604,4.129280,33.905192,0.969508,31.780893,0.949506
25,0.433342,12.313185,4.128000,33.988496,0.969777,31.705946,0.948704
26,0.450009,12.382796,4.143520,34.095492,0.970308,31.736153,0.949136
27,0.466676,12.339063,4.094240,34.040566,0.969337,31.748598,0.948307
28,0.483343,12.260115,4.126080,33.963588,0.969852,31.757756,0.948856
29,0.500010,12.251860,4.139680,33.955326,0.969833,31.782743,0.949169
30,0.516677,12.492952,4.107200,33.780631,0.969358,31.744016,0.949311
31,0.533344,12.364721,4.135360,34.029209,0.970528,31.845846,0.949350
32,0.550011,12.259664,4.140480,33.966246,0.969769,31.820766,0.948950
33,0.566678,12.252941,4.112000,33.914165,0.969931,31.675447,0.948017
34,0.583345,12.244366,4.137600,33.950520,0.969488,31.645883,0.947386
35,0.600012,11.920458,4.132800,33.971199,0.969723,31.648361,0.947629
36,0.616679,12.278088,4.124320,33.935459,0.969339,31.616548,0.947479
37,0.633346,12.260205,4.142240,33.931515,0.969613,31.696073,0.947819
38,0.650013,12.327662,4.125120,33.966484,0.969997,31.703092,0.947871
39,0.666680,12.342910,4.125600,34.020432,0.970380,31.696734,0.947774
40,0.683347,12.344654,4.133760,34.078064,0.970763,31.705804,0.947822
41,0.700014,12.321761,4.105120,34.209788,0.971184,31.743294,0.948016
42,0.716681,12.250286,4.110080,34.093773,0.970196,31.690979,0.947295
43,0.733348,12.209239,4.143520,33.993246,0.970277,31.558482,0.946509
44,0.750015,12.318314,4.105440,34.050682,0.970287,31.555183,0.946167
45,0.766682,12.297906,4.126880,33.962971,0.970168,31.510306,0.946092
46,0.783349,13.924878,4.135520,33.970370,0.970163,31.488269,0.945642
47,0.800016,12.251408,4.106080,33.986271,0.970432,31.462944,0.945764
48,0.816683,12.228265,4.138560,33.944485,0.970622,31.406522,0.945639
49,0.833350,12.287937,4.141120,33.958355,0.970631,31.390487,0.945375
50,0.850017,12.266477,4.103360,33.928205,0.970150,31.406943,0.945411
51,0.866684,12.309598,4.146240,33.963014,0.970087,31.400161,0.945197
52,0.883351,12.240147,4.144480,33.934020,0.970032,31.424677,0.945466
53,0.900018,12.247692,4.156640,33.998967,0.970120,31.508446,0.945802
54,0.916685,12.261998,4.139040,33.961536,0.969828,31.466683,0.945530
55,0.933352,11.966104,4.118080,33.940989,0.970169,31.459047,0.945723
56,0.950019,12.230519,4.132160,33.735631,0.969048,31.362181,0.945448
57,0.966686,12.223076,4.153440,33.839034,0.969433,31.333426,0.945122
58,0.983353,12.277538,4.107200,33.903978,0.969870,31.311205,0.945080
59,1.000020,12.224949,4.133600,33.915808,0.969981,31.335356,0.945359
60,1.016687,12.509022,4.138880,33.945230,0.969949,31.397831,0.945624
61,1.033354,12.585225,4.091520,33.945947,0.970084,31.379044,0.945320
62,1.050021,12.149528,4.130400,33.924398,0.969758,31.392228,0.945576
63,1.066688,12.038049,4.140320,33.870230,0.969431,31.400977,0.945612
64,1.083355,12.093863,4.101760,33.955855,0.970165,31.400788,0.945955
65,1.100022,12.045783,4.140480,34.039681,0.970518,31.386423,0.946271
66,1.116689,12.082632,4.136800,33.984916,0.970402,31.268005,0.945688
67,1.133356,12.168703,4.101440,33.750387,0.969847,31.129104,0.945049
68,1.150023,12.083193,4.125280,33.866789,0.969894,31.177061,0.944867
69,1.166690,12.061984,4.145280,33.755242,0.969849,31.257169,0.945285
70,1.183357,12.116335,4.105440,33.903624,0.970151,31.390168,0.945010
71,1.200024,12.063977,4.136000,33.992985,0.970082,31.590103,0.946051
72,1.216691,12.121225,4.136800,34.007758,0.970195,31.714373,0.947544
73,1.233358,12.390891,4.097920,34.122143,0.970829,31.716630,0.948019
74,1.250025,12.214089,4.125280,34.208588,0.971080,31.703135,0.947903
75,1.266692,12.061543,4.146240,34.207003,0.971330,31.674147,0.947774
76,1.283359,12.518981,4.095200,34.202783,0.971405,31.662788,0.947902
77,1.300026,12.244275,4.136640,34.016080,0.970832,31.649668,0.948346
78,1.316693,11.754497,4.132320,34.162530,0.970825,31.772914,0.948452
79,1.333360,11.823597,4.104000,34.151759,0.970961,31.732730,0.947994
80,1.350027,11.796615,4.144000,34.038810,0.970762,31.590914,0.947724
81,1.366694,11.852580,4.140480,33.985864,0.970272,31.498639,0.946736
82,1.383361,11.870575,4.091040,34.072798,0.970704,31.515638,0.946972
83,1.400028,11.793691,4.136320,34.150547,0.971025,31.626007,0.947634
84,1.416695,11.764636,4.145280,34.164333,0.971147,31.650042,0.947884
85,1.433362,11.785204,4.136800,34.206242,0.971441,31.614284,0.947602
86,1.450029,11.761781,4.101120,34.163670,0.971098,31.611175,0.947423
