frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.206200,0.820288,33.677303,0.967609,31.315856,0.945905
17,0.300006,3.246500,0.767264,33.665401,0.967454,31.323140,0.946167
18,0.316673,3.658900,0.766816,33.848350,0.968586,31.346849,0.946376
19,0.333340,3.256600,0.765920,33.746293,0.968400,31.365496,0.946323
20,0.350007,3.327600,1.189376,33.682821,0.968389,31.328838,0.946396
21,0.366674,3.419800,0.954816,33.821998,0.968853,31.413239,0.946897
22,0.383341,3.330900,0.766560,33.719789,0.968862,31.487381,0.947726
23,0.400008,3.386500,0.766656,33.886464,0.968784,31.738215,0.948681
24,0.416675,3.344700,0.765600,33.825183,0.968645,31.741266,0.948798
25,0.433342,3.815200,0.768160,33.902094,0.968978,31.666217,0.947978
26,0.450009,3.190600,0.765632,33.999473,0.969326,31.697236,0.948434
27,0.466676,3.356300,0.767168,33.993757,0.968723,31.708539,0.947586
28,0.483343,3.228500,0.773696,33.885052,0.969064,31.717151,0.948128
29,0.500010,3.431000,0.770176,33.879737,0.968872,31.740856,0.948422
30,0.516677,3.396200,0.782656,33.694358,0.968450,31.704867,0.948599
31,0.533344,2.933100,0.910400,33.965444,0.969800,31.805246,0.948638
32,0.550011,3.312400,0.897696,33.898004,0.969082,31.778492,0.948213
33,0.566678,3.061500,0.931424,33.843507,0.969087,31.636263,0.947287
34,0.583345,3.299100,0.773344,33.860312,0.968566,31.603450,0.946602
35,0.600012,2.919200,0.940192,33.855254,0.968505,31.604467,0.946817
36,0.616679,2.917300,0.766080,33.826686,0.968189,31.569584,0.946650
37,0.633346,3.439000,0.770496,33.858467,0.968771,31.650723,0.947026
38,0.650013,3.141800,0.769024,33.879592,0.969118,31.662273,0.947120
39,0.666680,3.362800,1.114432,33.955869,0.969633,31.655988,0.947018
40,0.683347,3.746600,0.769632,34.013583,0.970080,31.664891,0.947087
41,0.700014,3.160800,0.766144,34.136859,0.970423,31.700426,0.947250
42,0.716681,3.315100,1.142624,33.990706,0.969310,31.647663,0.946512
