frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.073600,0.885216,32.810721,0.962327,31.315856,0.945905
17,0.300006,3.200100,0.702816,32.662269,0.960581,31.323140,0.946167
18,0.316673,3.102500,0.699840,33.275354,0.964596,31.346849,0.946376
19,0.333340,3.020000,0.694112,33.220292,0.964572,31.365496,0.946323
20,0.350007,3.067800,0.865696,33.261908,0.965175,31.328838,0.946396
21,0.366674,2.949600,0.696448,33.403381,0.965786,31.413239,0.946897
22,0.383341,3.081300,0.696384,33.366748,0.966187,31.487381,0.947726
23,0.400008,3.173500,0.699520,33.164621,0.963660,31.738215,0.948681
24,0.416675,3.058800,0.702720,33.248981,0.963882,31.741266,0.948798
25,0.433342,3.122500,0.695264,33.410732,0.964817,31.666217,0.947978
26,0.450009,3.052800,0.700832,33.508906,0.965657,31.697236,0.948434
27,0.466676,3.020000,0.695808,33.580288,0.965347,31.708539,0.947586
28,0.483343,3.008900,0.698496,33.519461,0.965569,31.717151,0.948128
29,0.500010,3.075200,0.695104,33.336794,0.964206,31.740856,0.948422
30,0.516677,3.498300,0.704160,33.081264,0.963497,31.704867,0.948599
31,0.533344,2.944500,0.858016,33.593979,0.966641,31.805246,0.948638
32,0.550011,3.228800,0.834112,33.540688,0.965789,31.778492,0.948213
33,0.566678,3.061300,0.700032,33.530740,0.966178,31.636263,0.947287
34,0.583345,3.242500,1.041568,33.295599,0.963540,31.603450,0.946602
35,0.600012,3.133700,0.695872,33.075693,0.962311,31.604467,0.946817
36,0.616679,3.017800,0.699424,33.017933,0.961879,31.569584,0.946650
37,0.633346,3.045600,0.700768,33.443326,0.965199,31.650723,0.947026
38,0.650013,3.269500,0.867584,33.372503,0.964798,31.662273,0.947120
39,0.666680,3.006100,0.696000,33.618671,0.966628,31.655988,0.947018
40,0.683347,3.284900,0.695200,33.694351,0.967347,31.664891,0.947087
41,0.700014,3.202500,0.697664,33.705038,0.967052,31.700426,0.947250
42,0.716681,3.120800,0.697024,33.632169,0.966442,31.647663,0.946512
43,0.733348,3.124700,0.704128,33.326620,0.964709,31.514787,0.945690
44,0.750015,2.967100,0.825248,33.595567,0.966738,31.513136,0.945374
45,0.766682,3.051800,0.865664,33.461073,0.966077,31.465778,0.945253
46,0.783349,3.214400,0.695232,33.504376,0.966267,31.444419,0.944824
47,0.800016,3.154000,0.860992,33.359772,0.965707,31.418980,0.944935
48,0.816683,3.009300,0.696032,33.151939,0.965715,31.365300,0.944855
49,0.833350,3.569500,0.699872,33.238547,0.965462,31.350781,0.944602
50,0.850017,2.981600,0.859616,33.377753,0.965796,31.365857,0.944606
51,0.866684,3.156300,0.882304,33.339498,0.965085,31.361203,0.944425
52,0.883351,2.957000,0.708384,33.378530,0.965582,31.383920,0.944663
53,0.900018,2.981000,0.695424,33.356061,0.964903,31.468796,0.945030
54,0.916685,3.189500,0.698496,33.314353,0.964546,31.425850,0.944746
55,0.933352,3.052900,0.864608,33.562180,0.966796,31.418392,0.944936
56,0.950019,3.145900,0.697600,32.979023,0.963383,31.325951,0.944704
57,0.966686,2.893600,0.696064,33.020583,0.962904,31.296242,0.944369
58,0.983353,3.040500,0.695840,33.237469,0.965152,31.272973,0.944322
59,1.000020,3.057600,0.695328,33.261788,0.965078,31.297973,0.944623
60,1.016687,3.252200,0.699744,33.371662,0.965628,31.358005,0.944855
61,1.033354,3.164500,0.698080,33.409917,0.965506,31.339351,0.944549
62,1.050021,3.187000,1.047392,33.396078,0.965764,31.353028,0.944792
63,1.066688,3.249200,0.856384,33.327212,0.964889,31.361096,0.944847
64,1.083355,3.045100,0.696640,33.629765,0.967459,31.362783,0.945200
65,1.100022,3.113900,0.881792,33.479804,0.966036,31.347055,0.945505
66,1.116689,3.142000,0.697792,33.571484,0.967295,31.230134,0.944923
67,1.133356,2.883200,0.696384,33.237633,0.966051,31.095390,0.944321
68,1.150023,3.215700,0.700288,33.301891,0.965620,31.138527,0.944075
69,1.166690,3.353900,0.704384,33.220424,0.965354,31.218210,0.944493
70,1.183357,3.224900,0.701472,33.508942,0.966524,31.348387,0.944204
71,1.200024,3.044000,0.823712,33.487146,0.965639,31.547978,0.945264
72,1.216691,3.178700,0.878176,33.538935,0.966260,31.670525,0.946750
73,1.233358,3.284400,0.696480,33.843180,0.968152,31.672038,0.947237
74,1.250025,3.179900,0.703360,33.805078,0.967700,31.659105,0.947116
75,1.266692,3.060800,0.697440,33.878383,0.968389,31.632295,0.947004
76,1.283359,3.185100,0.699136,33.847890,0.968025,31.619414,0.947120
77,1.300026,3.326200,0.862080,33.491962,0.966868,31.608839,0.947576
78,1.316693,3.317100,0.863776,33.546209,0.965458,31.729868,0.947686
79,1.333360,3.212200,0.698912,33.520799,0.965461,31.687450,0.947185
80,1.350027,3.190600,0.899904,33.474187,0.966437,31.545648,0.946892
81,1.366694,3.131000,0.697536,33.448050,0.965627,31.456053,0.945928
82,1.383361,3.059700,0.696960,33.464886,0.965854,31.477185,0.946220
83,1.400028,3.324200,0.696864,33.522363,0.965615,31.583149,0.946832
84,1.416695,2.952600,0.700224,33.636442,0.966256,31.605169,0.947054
85,1.433362,2.950700,0.886240,33.638910,0.966809,31.569325,0.946782
86,1.450029,3.107200,0.697440,33.341377,0.964511,31.564885,0.946575
87,1.466696,3.096100,0.698048,33.485310,0.965885,31.578765,0.946570
88,1.483363,3.248300,0.696384,33.511038,0.966275,31.577578,0.946687
89,1.500030,3.115600,0.695680,33.662955,0.966854,31.619488,0.946482
90,1.516697,3.254300,0.696640,33.751436,0.967019,31.692726,0.947117
91,1.533364,3.270600,0.696896,33.771034,0.967681,31.717734,0.947477
92,1.550031,3.272600,0.852096,33.769934,0.967693,31.721109,0.947831
93,1.566698,3.014200,0.695456,33.758188,0.967913,31.715158,0.947801
94,1.583365,3.371200,0.696544,33.591602,0.967511,31.713456,0.947840
95,1.600032,3.196300,0.696992,33.389658,0.966880,31.730180,0.948216
96,1.616699,3.222500,0.888608,33.488385,0.967878,31.706400,0.948095
97,1.633366,3.317100,0.698912,33.432056,0.967012,31.686296,0.947756
98,1.650033,3.102600,0.698880,33.516348,0.967252,31.680079,0.947762
99,1.666700,3.104900,0.696672,33.624090,0.967967,31.672280,0.947686
100,1.683367,3.085100,0.946336,33.694774,0.967944,31.677649,0.947652
101,1.700034,3.326000,0.699616,33.694762,0.968246,31.688263,0.948129
102,1.716701,3.139400,0.697696,33.868681,0.968535,31.857795,0.948821
103,1.733368,2.815200,0.701984,33.888243,0.968761,31.888473,0.949063
104,1.750035,3.182400,0.703680,33.620695,0.967851,31.727147,0.948137
105,1.766702,3.053600,0.701152,33.694628,0.967671,31.783541,0.948052
106,1.783369,3.062100,0.857696,33.862154,0.968330,31.784452,0.947767
107,1.800036,3.311300,0.966112,33.544355,0.967331,31.789323,0.948093
108,1.816703,3.140200,0.696352,33.429897,0.967463,31.753399,0.947850
109,1.833370,2.945700,0.696960,33.210026,0.967337,31.758606,0.948342
110,1.850037,3.444900,0.863520,33.259479,0.966912,31.789393,0.948669
111,1.866704,3.130300,0.702240,33.478605,0.967377,31.824686,0.948554
112,1.883371,3.022500,0.881376,33.632448,0.967688,31.693875,0.948102
113,1.900038,2.835200,0.698560,33.543627,0.967008,31.612269,0.947370
114,1.916705,3.155700,0.696256,33.729130,0.968019,31.621139,0.947242
115,1.933372,3.067700,0.699808,33.530486,0.966787,31.560143,0.946562
116,1.950039,3.148200,0.698304,33.584967,0.967092,31.586500,0.946974
117,1.966706,2.957400,0.695584,33.618109,0.967608,31.541851,0.946825
118,1.983373,2.975000,0.696768,33.693645,0.968025,31.545265,0.947030
119,2.000040,3.059700,0.860736,33.523726,0.966949,31.561376,0.947444
