frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.044300,0.469760,33.388672,0.965375,31.315856,0.945905
17,0.300006,3.316500,0.633568,33.473523,0.966034,31.323140,0.946167
18,0.316673,2.997900,0.472896,33.455282,0.965790,31.346849,0.946376
19,0.333340,2.810000,0.475840,33.450342,0.966104,31.365496,0.946323
20,0.350007,2.998800,0.649472,33.286146,0.965402,31.328838,0.946396
21,0.366674,2.957300,0.470144,33.495865,0.966408,31.413239,0.946897
22,0.383341,2.673900,0.488160,33.347744,0.966179,31.487381,0.947726
23,0.400008,2.830200,0.470720,33.662889,0.967250,31.738215,0.948681
24,0.416675,2.835100,0.470176,33.540782,0.966611,31.741266,0.948798
25,0.433342,2.876900,0.468992,33.635671,0.967196,31.666217,0.947978
26,0.450009,2.791100,0.640640,33.676872,0.967235,31.697236,0.948434
27,0.466676,2.818800,0.468832,33.607900,0.966124,31.708539,0.947586
28,0.483343,2.972200,0.469920,33.569405,0.966818,31.717151,0.948128
29,0.500010,2.843300,0.467424,33.532032,0.966858,31.740856,0.948422
30,0.516677,3.066400,0.469728,33.455614,0.966929,31.704867,0.948599
31,0.533344,3.020300,0.468128,33.660903,0.967627,31.805246,0.948638
32,0.550011,2.775900,0.470816,33.515745,0.966668,31.778492,0.948213
33,0.566678,2.907300,0.468992,33.533685,0.966994,31.636263,0.947287
34,0.583345,2.766200,0.629056,33.524563,0.966594,31.603450,0.946602
35,0.600012,2.789200,0.471456,33.547744,0.966793,31.604467,0.946817
36,0.616679,2.765300,0.474304,33.496172,0.966237,31.569584,0.946650
37,0.633346,2.794500,0.468128,33.457658,0.966264,31.650723,0.947026
38,0.650013,2.883000,0.743648,33.515600,0.966627,31.662273,0.947120
39,0.666680,2.868900,0.469024,33.545824,0.966942,31.655988,0.947018
40,0.683347,2.740900,0.652736,33.626118,0.967340,31.664891,0.947087
41,0.700014,2.838100,0.467808,33.704941,0.967694,31.700426,0.947250
42,0.716681,2.818000,0.471328,33.625867,0.966645,31.647663,0.946512
43,0.733348,2.682700,0.634848,33.586186,0.967152,31.514787,0.945690
44,0.750015,2.759400,0.469888,33.591315,0.966626,31.513136,0.945374
45,0.766682,2.836500,0.474720,33.446748,0.966534,31.465778,0.945253
46,0.783349,2.821200,0.472800,33.530335,0.966709,31.444419,0.944824
47,0.800016,2.654000,0.468288,33.526114,0.967068,31.418980,0.944935
48,0.816683,3.017000,0.469408,33.487458,0.967133,31.365300,0.944855
49,0.833350,2.756600,0.471296,33.469034,0.967143,31.350781,0.944602
50,0.850017,3.116600,0.658560,33.467346,0.966682,31.365857,0.944606
51,0.866684,2.894100,0.471136,33.533468,0.966833,31.361203,0.944425
52,0.883351,2.673100,0.643680,33.470765,0.966781,31.383920,0.944663
53,0.900018,3.116800,0.470464,33.637253,0.967256,31.468796,0.945030
54,0.916685,2.889800,0.473760,33.580332,0.966931,31.425850,0.944746
55,0.933352,3.130300,0.477024,33.463604,0.966654,31.418392,0.944936
56,0.950019,2.831900,0.633888,33.329468,0.966022,31.325951,0.944704
57,0.966686,2.732600,0.642048,33.487330,0.966639,31.296242,0.944369
58,0.983353,2.971700,0.659264,33.503180,0.966938,31.272973,0.944322
59,1.000020,2.861200,0.471296,33.520480,0.966875,31.297973,0.944623
60,1.016687,2.867700,0.471776,33.529073,0.966800,31.358005,0.944855
61,1.033354,2.612600,0.469536,33.551269,0.966934,31.339351,0.944549
62,1.050021,2.886900,0.471296,33.535591,0.966524,31.353028,0.944792
63,1.066688,3.164900,0.469952,33.475599,0.966255,31.361096,0.944847
64,1.083355,2.648800,0.470080,33.547945,0.966834,31.362783,0.945200
65,1.100022,2.945800,0.470912,33.642673,0.967451,31.347055,0.945505
66,1.116689,2.927800,0.470240,33.561881,0.966934,31.230134,0.944923
67,1.133356,2.924400,0.470816,33.386408,0.966741,31.095390,0.944321
68,1.150023,3.198700,0.472448,33.456696,0.966480,31.138527,0.944075
69,1.166690,2.943100,0.471168,33.349501,0.966583,31.218210,0.944493
70,1.183357,3.013400,0.470752,33.471903,0.966533,31.348387,0.944204
71,1.200024,2.729200,0.470208,33.553923,0.966458,31.547978,0.945264
72,1.216691,2.606300,0.643392,33.529213,0.966383,31.670525,0.946750
73,1.233358,2.922400,0.633088,33.675691,0.967196,31.672038,0.947237
74,1.250025,2.944000,0.469728,33.741859,0.967472,31.659105,0.947116
75,1.266692,2.907200,0.470624,33.745867,0.967784,31.632295,0.947004
76,1.283359,2.991800,0.601536,33.719698,0.967788,31.619414,0.947120
77,1.300026,3.135700,0.637664,33.658586,0.967687,31.608839,0.947576
78,1.316693,2.959900,0.470624,33.767067,0.967807,31.729868,0.947686
79,1.333360,2.949400,0.470816,33.817869,0.968124,31.687450,0.947185
80,1.350027,2.756500,0.653792,33.618551,0.967603,31.545648,0.946892
81,1.366694,2.695600,0.471520,33.616104,0.967324,31.456053,0.945928
82,1.383361,2.655700,0.471616,33.687420,0.967497,31.477185,0.946220
83,1.400028,2.978800,0.472576,33.742842,0.967790,31.583149,0.946832
84,1.416695,2.889600,0.471360,33.761591,0.967857,31.605169,0.947054
85,1.433362,2.757500,0.469888,33.713578,0.967766,31.569325,0.946782
86,1.450029,2.930700,0.470592,33.757024,0.967745,31.564885,0.946575
87,1.466696,3.023800,0.470240,33.774393,0.967942,31.578765,0.946570
88,1.483363,2.843300,0.470368,33.729167,0.967809,31.577578,0.946687
89,1.500030,2.463100,0.637632,33.670161,0.967072,31.619488,0.946482
90,1.516697,3.075600,0.471104,33.844177,0.968085,31.692726,0.947117
91,1.533364,2.656900,0.469024,33.771901,0.967950,31.717734,0.947477
92,1.550031,2.860900,0.478144,33.808308,0.968317,31.721109,0.947831
93,1.566698,2.923000,0.470144,33.761809,0.968225,31.715158,0.947801
94,1.583365,2.986700,0.471872,33.737045,0.968219,31.713456,0.947840
95,1.600032,2.989800,0.471456,33.769662,0.968612,31.730180,0.948216
96,1.616699,2.720800,0.630720,33.750610,0.968585,31.706400,0.948095
97,1.633366,2.749500,0.470464,33.582752,0.967920,31.686296,0.947756
98,1.650033,2.989400,0.629696,33.722968,0.968478,31.680079,0.947762
99,1.666700,2.588600,0.471360,33.718995,0.968426,31.672280,0.947686
100,1.683367,3.206700,0.471104,33.753338,0.968455,31.677649,0.947652
101,1.700034,2.758700,0.474464,33.736587,0.968966,31.688263,0.948129
102,1.716701,2.811900,0.776032,33.865143,0.969102,31.857795,0.948821
103,1.733368,2.895600,0.469888,33.885432,0.969217,31.888473,0.949063
104,1.750035,2.591300,0.469376,33.596488,0.967833,31.727147,0.948137
105,1.766702,3.077900,0.470880,33.825088,0.968628,31.783541,0.948052
106,1.783369,2.768200,0.473216,33.905682,0.968930,31.784452,0.947767
107,1.800036,2.725800,0.703168,33.960010,0.969058,31.789323,0.948093
108,1.816703,2.799400,0.470464,33.925427,0.968908,31.753399,0.947850
109,1.833370,2.841900,0.470304,33.937390,0.969244,31.758606,0.948342
110,1.850037,2.753800,0.471552,33.880105,0.968992,31.789393,0.948669
111,1.866704,2.896200,0.474688,33.976351,0.969439,31.824686,0.948554
112,1.883371,2.853700,0.638784,33.657226,0.968547,31.693875,0.948102
113,1.900038,3.058400,0.653440,33.594928,0.968288,31.612269,0.947370
114,1.916705,2.745700,0.470816,33.695157,0.968254,31.621139,0.947242
115,1.933372,3.058100,0.630176,33.743090,0.968628,31.560143,0.946562
116,1.950039,2.812600,0.476320,33.701982,0.968208,31.586500,0.946974
117,1.966706,2.619300,0.471936,33.680853,0.968403,31.541851,0.946825
118,1.983373,2.996400,0.724352,33.672952,0.968363,31.545265,0.947030
119,2.000040,2.805600,0.472224,33.697160,0.968795,31.561376,0.947444
