frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.155900,0.723136,33.766176,0.967809,31.315856,0.945905
17,0.300006,3.208200,0.722400,33.723559,0.967749,31.323140,0.946167
18,0.316673,3.092200,0.724736,33.837681,0.968454,31.346849,0.946376
19,0.333340,3.354600,0.719328,33.785220,0.968376,31.365496,0.946323
20,0.350007,3.089400,0.719968,33.661453,0.968136,31.328838,0.946396
21,0.366674,3.246800,0.719680,33.801159,0.968626,31.413239,0.946897
22,0.383341,3.170200,0.724960,33.708807,0.968633,31.487381,0.947726
23,0.400008,3.654200,0.720320,33.913742,0.968922,31.738215,0.948681
24,0.416675,3.614700,0.720160,33.821289,0.968605,31.741266,0.948798
25,0.433342,3.297200,0.719328,33.969856,0.969110,31.666217,0.947978
26,0.450009,3.227700,0.912928,33.994778,0.969288,31.697236,0.948434
27,0.466676,3.323800,0.720512,33.974648,0.968556,31.708539,0.947586
28,0.483343,3.225300,0.721536,33.889677,0.968996,31.717151,0.948128
29,0.500010,3.502600,0.881120,33.874901,0.968872,31.740856,0.948422
30,0.516677,3.467600,0.724832,33.707539,0.968506,31.704867,0.948599
31,0.533344,3.445800,0.719456,33.968251,0.969660,31.805246,0.948638
32,0.550011,3.737600,0.874144,33.888392,0.968939,31.778492,0.948213
33,0.566678,3.129800,0.717984,33.827435,0.968886,31.636263,0.947287
34,0.583345,3.011500,0.719744,33.916688,0.968681,31.603450,0.946602
35,0.600012,2.894500,0.724736,33.874993,0.968676,31.604467,0.946817
36,0.616679,3.182500,0.718784,33.838156,0.968300,31.569584,0.946650
37,0.633346,3.128600,0.721792,33.863073,0.968650,31.650723,0.947026
38,0.650013,3.190800,0.984512,33.864771,0.968997,31.662273,0.947120
39,0.666680,3.653900,0.722112,33.921990,0.969322,31.655988,0.947018
40,0.683347,3.332600,0.720192,34.006828,0.969826,31.664891,0.947087
41,0.700014,3.261400,0.724064,34.110689,0.970165,31.700426,0.947250
42,0.716681,3.421500,0.721728,33.977327,0.969125,31.647663,0.946512
43,0.733348,3.364800,0.722944,33.932106,0.969214,31.514787,0.945690
44,0.750015,3.195800,0.884736,33.953488,0.969231,31.513136,0.945374
45,0.766682,3.411400,0.909728,33.874343,0.969081,31.465778,0.945253
46,0.783349,3.596700,0.721856,33.898809,0.969149,31.444419,0.944824
47,0.800016,7.346200,0.719808,33.908981,0.969488,31.418980,0.944935
48,0.816683,3.925700,0.728704,33.838185,0.969480,31.365300,0.944855
49,0.833350,4.650300,0.824416,33.875538,0.969607,31.350781,0.944602
50,0.850017,3.303800,0.856064,33.830603,0.969090,31.365857,0.944606
51,0.866684,3.283800,0.853760,33.874700,0.969062,31.361203,0.944425
52,0.883351,3.189900,0.718080,33.884250,0.969119,31.383920,0.944663
53,0.900018,3.410600,0.728384,33.906064,0.969139,31.468796,0.945030
54,0.916685,3.217300,0.722656,33.858561,0.968765,31.425850,0.944746
55,0.933352,3.251600,0.719296,33.878657,0.969268,31.418392,0.944936
56,0.950019,3.247100,0.721088,33.648505,0.968051,31.325951,0.944704
57,0.966686,3.338200,0.722880,33.750994,0.968426,31.296242,0.944369
58,0.983353,3.258400,0.882720,33.838356,0.969004,31.272973,0.944322
59,1.000020,2.873700,1.089856,33.843333,0.969055,31.297973,0.944623
60,1.016687,3.498700,0.721696,33.873102,0.969149,31.358005,0.944855
61,1.033354,3.398100,0.721216,33.911643,0.969250,31.339351,0.944549
62,1.050021,3.322800,0.869216,33.839262,0.968773,31.353028,0.944792
63,1.066688,3.476300,0.888864,33.781263,0.968406,31.361096,0.944847
64,1.083355,3.284800,0.882880,33.888876,0.969305,31.362783,0.945200
65,1.100022,3.098000,0.896768,33.936263,0.969472,31.347055,0.945505
66,1.116689,3.195400,0.849952,33.849163,0.969304,31.230134,0.944923
67,1.133356,3.275800,0.720032,33.694014,0.968982,31.095390,0.944321
68,1.150023,3.140400,0.723296,33.796194,0.968964,31.138527,0.944075
69,1.166690,3.410800,0.722208,33.694292,0.968981,31.218210,0.944493
70,1.183357,3.142500,0.724224,33.858489,0.969258,31.348387,0.944204
71,1.200024,3.375400,0.723136,33.906388,0.969093,31.547978,0.945264
72,1.216691,3.537500,0.886464,33.895127,0.969082,31.670525,0.946750
73,1.233358,3.297000,1.007552,34.074858,0.969976,31.672038,0.947237
74,1.250025,3.358000,0.723072,34.104848,0.970069,31.659105,0.947116
75,1.266692,3.205000,0.724128,34.119806,0.970410,31.632295,0.947004
76,1.283359,3.141200,1.009600,34.117846,0.970412,31.619414,0.947120
77,1.300026,3.047400,0.726560,33.928863,0.969869,31.608839,0.947576
