frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,11.928292,3.772160,33.783136,0.968501,31.353816,0.946651
17,0.300006,11.935537,3.796800,33.800687,0.968593,31.358682,0.946878
18,0.316673,11.921540,3.784480,33.915681,0.969274,31.386237,0.947146
19,0.333340,12.064238,3.763520,33.837052,0.969206,31.404194,0.947056
20,0.350007,12.155569,3.776800,33.747229,0.969031,31.365560,0.947120
21,0.366674,12.157182,3.788160,33.889005,0.969496,31.449734,0.947614
22,0.383341,12.088974,3.770560,33.765752,0.969466,31.525211,0.948453
23,0.400008,12.288197,3.783840,33.985617,0.969699,31.777085,0.949410
24,0.416675,12.191827,3.777600,33.903478,0.969497,31.780893,0.949506
25,0.433342,11.956306,3.771840,33.984080,0.969754,31.705946,0.948704
26,0.450009,11.876486,3.785120,34.095685,0.970308,31.736153,0.949136
27,0.466676,11.871236,3.768320,34.040353,0.969334,31.748598,0.948307
28,0.483343,11.848744,3.757920,33.963503,0.969852,31.757756,0.948856
29,0.500010,11.833145,3.780800,33.955151,0.969822,31.782743,0.949169
30,0.516677,11.755048,3.773280,33.781212,0.969361,31.744016,0.949311
31,0.533344,12.262069,3.756320,34.030718,0.970534,31.845846,0.949350
32,0.550011,11.920008,3.779680,33.968816,0.969770,31.820766,0.948950
33,0.566678,11.534143,3.782720,33.913862,0.969931,31.675447,0.948017
34,0.583345,11.898396,3.763520,33.949197,0.969481,31.645883,0.947386
35,0.600012,11.639100,3.775520,33.971104,0.969720,31.648361,0.947629
36,0.616679,12.205483,3.773920,33.934624,0.969333,31.616548,0.947479
37,0.633346,12.019173,3.742080,33.932511,0.969625,31.696073,0.947819
38,0.650013,11.847040,3.751200,33.967758,0.970006,31.703092,0.947871
39,0.666680,11.859082,3.780160,34.020698,0.970378,31.696734,0.947774
40,0.683347,11.863251,3.727360,34.080514,0.970771,31.705804,0.947822
41,0.700014,11.952057,3.767520,34.211296,0.971194,31.743294,0.948016
42,0.716681,12.011329,3.775520,34.092807,0.970186,31.690979,0.947295
43,0.733348,11.843984,3.777280,33.992827,0.970275,31.558482,0.946509
44,0.750015,11.855286,3.765280,34.051402,0.970287,31.555183,0.946167
45,0.766682,11.858291,3.774720,33.965007,0.970172,31.510306,0.946092
