frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.298000,0.720800,33.773371,0.967852,31.315856,0.945905
17,0.300006,3.305800,0.850720,33.723762,0.967763,31.323140,0.946167
18,0.316673,3.102700,0.884160,33.837138,0.968457,31.346849,0.946376
19,0.333340,3.311900,0.922560,33.785505,0.968375,31.365496,0.946323
20,0.350007,3.045400,0.721472,33.663175,0.968147,31.328838,0.946396
21,0.366674,3.095500,0.721216,33.801327,0.968633,31.413239,0.946897
22,0.383341,3.132600,0.719840,33.710187,0.968645,31.487381,0.947726
23,0.400008,3.313100,0.722112,33.915540,0.968935,31.738215,0.948681
24,0.416675,3.141000,0.720064,33.822853,0.968613,31.741266,0.948798
25,0.433342,3.076000,0.984896,33.975472,0.969136,31.666217,0.947978
26,0.450009,3.114500,0.988352,33.996614,0.969301,31.697236,0.948434
27,0.466676,3.117100,0.720096,33.974804,0.968556,31.708539,0.947586
28,0.483343,2.913700,0.719904,33.889153,0.968991,31.717151,0.948128
29,0.500010,2.729000,0.718720,33.875898,0.968887,31.740856,0.948422
30,0.516677,3.322600,0.722400,33.707050,0.968504,31.704867,0.948599
31,0.533344,3.140000,0.719456,33.967054,0.969655,31.805246,0.948638
32,0.550011,3.081300,0.901216,33.885837,0.968936,31.778492,0.948213
33,0.566678,3.005500,0.724896,33.828212,0.968889,31.636263,0.947287
34,0.583345,2.966900,0.719648,33.918085,0.968688,31.603450,0.946602
35,0.600012,3.340500,0.889952,33.875084,0.968681,31.604467,0.946817
36,0.616679,3.231500,0.722976,33.839005,0.968306,31.569584,0.946650
37,0.633346,2.908000,1.072352,33.861862,0.968643,31.650723,0.947026
38,0.650013,3.226500,0.719168,33.863468,0.968988,31.662273,0.947120
39,0.666680,3.215400,0.722816,33.921481,0.969322,31.655988,0.947018
40,0.683347,3.177800,0.719552,34.004463,0.969819,31.664891,0.947087
41,0.700014,2.987500,0.849312,34.109603,0.970159,31.700426,0.947250
42,0.716681,2.899500,0.720064,33.977777,0.969132,31.647663,0.946512
43,0.733348,3.125800,0.721600,33.932294,0.969215,31.514787,0.945690
44,0.750015,3.056900,0.722336,33.952846,0.969230,31.513136,0.945374
45,0.766682,3.042300,0.954048,33.872523,0.969077,31.465778,0.945253
46,0.783349,2.905900,0.887392,33.897879,0.969141,31.444419,0.944824
47,0.800016,2.853300,0.718592,33.910136,0.969489,31.418980,0.944935
48,0.816683,3.147200,0.721664,33.839766,0.969488,31.365300,0.944855
49,0.833350,3.246200,0.723296,33.878236,0.969624,31.350781,0.944602
50,0.850017,3.088800,0.885696,33.833085,0.969108,31.365857,0.944606
51,0.866684,3.072800,0.719104,33.874898,0.969063,31.361203,0.944425
52,0.883351,3.129300,0.723072,33.886396,0.969126,31.383920,0.944663
53,0.900018,3.075100,0.885280,33.907873,0.969149,31.468796,0.945030
54,0.916685,3.163500,0.916864,33.859909,0.968774,31.425850,0.944746
55,0.933352,3.195700,0.730272,33.878375,0.969268,31.418392,0.944936
56,0.950019,3.283900,0.722720,33.651399,0.968068,31.325951,0.944704
57,0.966686,3.121000,0.722336,33.751318,0.968429,31.296242,0.944369
58,0.983353,3.278200,0.912000,33.840582,0.969023,31.272973,0.944322
59,1.000020,3.269200,0.982752,33.844886,0.969066,31.297973,0.944623
60,1.016687,3.137200,0.720704,33.874217,0.969159,31.358005,0.944855
61,1.033354,3.414600,0.958208,33.914800,0.969270,31.339351,0.944549
62,1.050021,3.221900,0.726144,33.838756,0.968776,31.353028,0.944792
63,1.066688,3.234900,0.901408,33.781256,0.968406,31.361096,0.944847
64,1.083355,3.136900,0.885408,33.890266,0.969315,31.362783,0.945200
65,1.100022,3.182000,0.722400,33.937864,0.969485,31.347055,0.945505
66,1.116689,3.010800,0.719552,33.847911,0.969295,31.230134,0.944923
67,1.133356,3.335300,0.721792,33.694716,0.968989,31.095390,0.944321
68,1.150023,3.387000,0.731328,33.795993,0.968965,31.138527,0.944075
69,1.166690,3.126900,0.727136,33.694208,0.968979,31.218210,0.944493
70,1.183357,3.542100,0.724096,33.860576,0.969274,31.348387,0.944204
71,1.200024,2.872000,0.723744,33.907775,0.969099,31.547978,0.945264
72,1.216691,3.194400,0.727296,33.894804,0.969082,31.670525,0.946750
73,1.233358,3.136100,0.723136,34.076043,0.969988,31.672038,0.947237
74,1.250025,3.082400,0.984640,34.105932,0.970074,31.659105,0.947116
75,1.266692,3.064100,0.883968,34.120222,0.970414,31.632295,0.947004
76,1.283359,3.168400,0.721184,34.118054,0.970414,31.619414,0.947120
77,1.300026,3.186200,0.722048,33.929915,0.969871,31.608839,0.947576
78,1.316693,3.236800,0.720928,34.071640,0.969872,31.729868,0.947686
79,1.333360,3.184500,0.895968,34.104767,0.969995,31.687450,0.947185
80,1.350027,3.077000,0.721952,33.953335,0.969734,31.545648,0.946892
81,1.366694,3.201300,0.723968,33.895772,0.969287,31.456053,0.945928
82,1.383361,3.191700,0.724768,33.999140,0.969691,31.477185,0.946220
83,1.400028,3.105600,0.721088,34.031064,0.969810,31.583149,0.946832
84,1.416695,3.166100,0.925504,34.059144,0.970019,31.605169,0.947054
85,1.433362,3.181100,0.723808,34.130382,0.970490,31.569325,0.946782
86,1.450029,3.017800,0.722304,34.041628,0.969875,31.564885,0.946575
87,1.466696,3.167300,0.721344,34.090328,0.970264,31.578765,0.946570
88,1.483363,3.234300,0.721440,34.133549,0.970570,31.577578,0.946687
89,1.500030,2.983000,0.728160,33.994839,0.969612,31.619488,0.946482
90,1.516697,3.031200,0.722336,34.207105,0.970719,31.692726,0.947117
91,1.533364,3.177400,0.992896,34.196817,0.970741,31.717734,0.947477
92,1.550031,3.188900,0.875328,34.169398,0.970857,31.721109,0.947831
93,1.566698,3.102400,0.729696,34.155394,0.970896,31.715158,0.947801
94,1.583365,3.145400,0.721088,34.128922,0.970896,31.713456,0.947840
95,1.600032,3.283700,0.721536,34.179379,0.971272,31.730180,0.948216
96,1.616699,3.232000,0.721568,34.120630,0.971249,31.706400,0.948095
97,1.633366,3.188500,0.720736,34.060769,0.970917,31.686296,0.947756
98,1.650033,3.185500,0.884160,34.113783,0.971234,31.680079,0.947762
99,1.666700,3.340900,0.899360,34.148223,0.971388,31.672280,0.947686
100,1.683367,2.927800,0.726592,34.201415,0.971433,31.677649,0.947652
101,1.700034,3.310900,0.916800,34.178362,0.971649,31.688263,0.948129
102,1.716701,3.076100,0.722176,34.283563,0.971879,31.857795,0.948821
103,1.733368,3.205300,0.723040,34.337140,0.971958,31.888473,0.949063
104,1.750035,3.088100,0.725120,33.996562,0.970692,31.727147,0.948137
105,1.766702,2.992000,0.722368,34.194309,0.971156,31.783541,0.948052
106,1.783369,3.187500,0.721184,34.313423,0.971723,31.784452,0.947767
107,1.800036,3.275000,0.720704,34.319032,0.971786,31.789323,0.948093
108,1.816703,3.056400,0.728224,34.271068,0.971565,31.753399,0.947850
109,1.833370,3.239800,0.727104,34.236784,0.971478,31.758606,0.948342
110,1.850037,3.037800,0.953216,34.180588,0.971252,31.789393,0.948669
111,1.866704,3.069600,0.725152,34.266157,0.971512,31.824686,0.948554
112,1.883371,2.994800,0.721120,34.041290,0.970993,31.693875,0.948102
113,1.900038,3.337900,0.728352,33.967920,0.970585,31.612269,0.947370
114,1.916705,3.279000,0.723264,34.090680,0.971058,31.621139,0.947242
115,1.933372,2.982000,0.723584,34.133338,0.971259,31.560143,0.946562
116,1.950039,3.308600,1.167648,34.118806,0.971147,31.586500,0.946974
117,1.966706,3.224900,0.724864,34.076506,0.971058,31.541851,0.946825
118,1.983373,3.382900,0.721472,34.097380,0.971250,31.545265,0.947030
119,2.000040,2.906900,0.723424,34.072835,0.971216,31.561376,0.947444
