frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,11.741372,3.540480,33.804234,0.968802,31.353816,0.946651
17,0.300006,11.731053,3.604320,33.807147,0.968831,31.358682,0.946878
18,0.316673,11.716766,3.599200,33.886479,0.969478,31.386237,0.947146
19,0.333340,11.587704,3.599680,33.908134,0.969498,31.404194,0.947056
20,0.350007,11.807025,3.584480,33.769997,0.969235,31.365560,0.947120
21,0.366674,11.683363,3.595200,33.914850,0.969721,31.449734,0.947614
22,0.383341,11.686930,3.594720,33.861905,0.969913,31.525211,0.948453
23,0.400008,11.676561,3.559360,34.020094,0.969975,31.777085,0.949410
24,0.416675,11.762853,3.581440,33.937935,0.969780,31.780893,0.949506
25,0.433342,11.694715,3.584640,34.069208,0.970066,31.705946,0.948704
26,0.450009,11.549703,3.600800,34.121013,0.970574,31.736153,0.949136
27,0.466676,11.707819,3.588000,34.050616,0.969393,31.748598,0.948307
28,0.483343,11.708070,3.588480,34.048741,0.970253,31.757756,0.948856
29,0.500010,11.653067,3.594720,34.002486,0.970164,31.782743,0.949169
30,0.516677,12.019063,3.559840,33.762657,0.969439,31.744016,0.949311
31,0.533344,11.887215,3.574720,34.062776,0.970676,31.845846,0.949350
32,0.550011,11.714682,3.601600,34.051352,0.970201,31.820766,0.948950
33,0.566678,11.805983,3.595520,33.961909,0.970159,31.675447,0.948017
34,0.583345,11.688923,3.564160,34.019400,0.969755,31.645883,0.947386
35,0.600012,11.349457,3.600960,34.007229,0.969956,31.648361,0.947629
36,0.616679,11.635463,3.589120,33.953592,0.969511,31.616548,0.947479
37,0.633346,11.708701,3.561600,33.946386,0.969652,31.696073,0.947819
38,0.650013,11.634853,3.581600,33.997839,0.970186,31.703092,0.947871
39,0.666680,11.642607,3.594080,34.037249,0.970438,31.696734,0.947774
40,0.683347,11.517953,3.586720,34.125640,0.970960,31.705804,0.947822
41,0.700014,11.718699,3.585760,34.221922,0.971249,31.743294,0.948016
42,0.716681,11.687301,3.586080,34.196987,0.970870,31.690979,0.947295
43,0.733348,11.675649,3.589600,34.041614,0.970430,31.558482,0.946509
44,0.750015,11.727907,3.577280,34.076652,0.970528,31.555183,0.946167
45,0.766682,11.703802,3.579360,33.982949,0.970334,31.510306,0.946092
46,0.783349,11.822514,3.603040,34.017724,0.970436,31.488269,0.945642
47,0.800016,11.828075,3.593120,33.975243,0.970441,31.462944,0.945764
48,0.816683,12.022289,3.572640,33.961303,0.970769,31.406522,0.945639
49,0.833350,11.797127,3.592160,33.978431,0.970731,31.390487,0.945375
50,0.850017,11.671792,3.604800,33.983051,0.970461,31.406943,0.945411
51,0.866684,11.709162,3.570880,33.983025,0.970245,31.400161,0.945197
52,0.883351,11.639190,3.569920,33.952846,0.970146,31.424677,0.945466
53,0.900018,11.687081,3.602240,34.029943,0.970379,31.508446,0.945802
54,0.916685,11.840698,3.599040,33.991436,0.970137,31.466683,0.945530
55,0.933352,11.498787,3.578880,33.985688,0.970476,31.459047,0.945723
56,0.950019,11.671230,3.597280,33.750812,0.969280,31.362181,0.945448
57,0.966686,11.684345,3.605120,33.891706,0.969801,31.333426,0.945122
58,0.983353,11.704543,3.557440,33.959678,0.970249,31.311205,0.945080
59,1.000020,11.652986,3.583040,33.962915,0.970303,31.335356,0.945359
60,1.016687,12.047446,3.592000,34.008523,0.970400,31.397831,0.945624
61,1.033354,12.043449,3.589280,34.049549,0.970537,31.379044,0.945320
62,1.050021,11.812346,3.591840,33.944031,0.969990,31.392228,0.945576
63,1.066688,11.727897,3.608320,33.923458,0.969852,31.400977,0.945612
64,1.083355,11.475513,3.606400,34.024589,0.970580,31.400788,0.945955
65,1.100022,11.584989,3.601280,34.084662,0.970849,31.386423,0.946271
66,1.116689,11.545004,3.603840,34.037664,0.970707,31.268005,0.945688
67,1.133356,11.542429,3.606080,33.887527,0.970544,31.129104,0.945049
68,1.150023,10.432226,3.576320,33.969775,0.970509,31.177061,0.944867
69,1.166690,11.678023,3.571200,33.917227,0.970568,31.257169,0.945285
70,1.183357,11.549342,3.603200,34.031274,0.970764,31.390168,0.945010
71,1.200024,11.657485,3.606080,34.057926,0.970509,31.590103,0.946051
72,1.216691,11.547959,3.552320,34.033655,0.970478,31.714373,0.947544
73,1.233358,11.532410,3.592640,34.190431,0.971198,31.716630,0.948019
74,1.250025,11.523664,3.597760,34.251211,0.971413,31.703135,0.947903
75,1.266692,11.220185,3.604800,34.233767,0.971587,31.674147,0.947774
76,1.283359,11.590318,3.563520,34.264052,0.971750,31.662788,0.947902
77,1.300026,11.526469,3.595040,33.998013,0.970945,31.649668,0.948346
78,1.316693,11.486664,3.600320,34.208805,0.971133,31.772914,0.948452
79,1.333360,11.514236,3.598560,34.229439,0.971242,31.732730,0.947994
80,1.350027,11.744999,3.554880,33.878385,0.970610,31.590914,0.947724
81,1.366694,11.276380,3.590560,34.009970,0.970484,31.498639,0.946736
82,1.383361,11.313540,3.603040,34.126675,0.971015,31.515638,0.946972
83,1.400028,11.593134,3.590880,34.169432,0.971182,31.626007,0.947634
84,1.416695,11.516721,3.596320,34.202136,0.971391,31.650042,0.947884
85,1.433362,11.284816,3.603360,34.215960,0.971543,31.614284,0.947602
86,1.450029,11.210165,3.597280,34.200045,0.971432,31.611175,0.947423
87,1.466696,11.283884,3.596640,34.190549,0.971450,31.624633,0.947413
88,1.483363,11.344357,3.569280,34.274010,0.971977,31.622061,0.947508
89,1.500030,11.320323,3.594400,34.192743,0.971135,31.662766,0.947301
90,1.516697,11.588144,3.593760,34.355943,0.972108,31.742078,0.947974
91,1.533364,11.576062,3.593600,34.315217,0.971964,31.764598,0.948297
92,1.550031,11.391846,3.567360,34.300413,0.972113,31.769314,0.948675
93,1.566698,11.251924,3.588960,34.281349,0.972189,31.761584,0.948623
94,1.583365,11.380565,3.588480,34.259296,0.972176,31.758975,0.948639
95,1.600032,11.007585,3.595040,34.286871,0.972473,31.773075,0.948979
96,1.616699,10.511916,3.564800,34.278121,0.972674,31.751525,0.948902
97,1.633366,13.957839,3.576160,34.214913,0.972379,31.729813,0.948548
98,1.650033,11.281980,3.600160,34.225004,0.972434,31.722870,0.948542
99,1.666700,10.415335,3.587360,34.265330,0.972591,31.716686,0.948481
100,1.683367,13.062490,3.558240,34.323006,0.972689,31.722740,0.948482
101,1.700034,14.363801,3.593280,34.283596,0.972852,31.733766,0.948942
102,1.716701,16.477355,3.567200,34.427048,0.973133,31.901388,0.949586
103,1.733368,12.709518,3.585440,34.452943,0.973168,31.933441,0.949832
104,1.750035,13.285769,3.574400,34.123346,0.971992,31.770382,0.948907
105,1.766702,14.651620,3.573440,34.326365,0.972430,31.827849,0.948834
106,1.783369,11.927962,3.594400,34.430865,0.973082,31.833304,0.948603
