frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,10.475287,2.483200,31.353816,0.946651,31.353816,0.946651
17,0.300006,10.488622,2.491840,31.358682,0.946878,31.358682,0.946878
18,0.316673,10.421717,2.497120,31.386237,0.947146,31.386237,0.947146
19,0.333340,10.404334,2.480480,31.404194,0.947056,31.404194,0.947056
20,0.350007,10.436444,2.493760,31.365560,0.947120,31.365560,0.947120
21,0.366674,10.198488,2.454240,31.449734,0.947614,31.449734,0.947614
22,0.383341,8.959404,2.479040,31.525211,0.948453,31.525211,0.948453
23,0.400008,10.405617,2.500320,31.777085,0.949410,31.777085,0.949410
24,0.416675,10.438579,2.486560,31.780893,0.949506,31.780893,0.949506
25,0.433342,10.580395,2.482240,31.705946,0.948704,31.705946,0.948704
26,0.450009,10.422077,2.497600,31.736153,0.949136,31.736153,0.949136
27,0.466676,10.381181,2.492640,31.748598,0.948307,31.748598,0.948307
28,0.483343,10.463445,2.457280,31.757756,0.948856,31.757756,0.948856
29,0.500010,8.916373,2.480160,31.782743,0.949169,31.782743,0.949169
30,0.516677,10.607776,2.483680,31.744016,0.949311,31.744016,0.949311
31,0.533344,10.760082,2.477760,31.845846,0.949350,31.845846,0.949350
32,0.550011,10.528827,2.482880,31.820766,0.948950,31.820766,0.948950
33,0.566678,10.423761,2.487360,31.675447,0.948017,31.675447,0.948017
34,0.583345,10.454769,2.493120,31.645883,0.947386,31.645883,0.947386
35,0.600012,10.255956,2.470240,31.648361,0.947629,31.648361,0.947629
36,0.616679,9.158608,2.451200,31.616548,0.947479,31.616548,0.947479
37,0.633346,10.520893,2.483520,31.696073,0.947819,31.696073,0.947819
38,0.650013,10.689920,2.481440,31.703092,0.947871,31.703092,0.947871
39,0.666680,10.505675,2.486720,31.696734,0.947774,31.696734,0.947774
40,0.683347,10.388384,2.494400,31.705804,0.947822,31.705804,0.947822
41,0.700014,10.397651,2.478240,31.743294,0.948016,31.743294,0.948016
42,0.716681,9.008085,2.472640,31.690979,0.947295,31.690979,0.947295
43,0.733348,10.424892,2.445120,31.558482,0.946509,31.558482,0.946509
44,0.750015,10.468965,2.497600,31.555183,0.946167,31.555183,0.946167
45,0.766682,10.479104,2.484000,31.510306,0.946092,31.510306,0.946092
46,0.783349,10.430142,2.485440,31.488269,0.945642,31.488269,0.945642
47,0.800016,10.399104,2.486720,31.462944,0.945764,31.462944,0.945764
48,0.816683,10.437547,2.486880,31.406522,0.945639,31.406522,0.945639
49,0.833350,9.006082,2.459360,31.390487,0.945375,31.390487,0.945375
50,0.850017,9.092985,2.471520,31.406943,0.945411,31.406943,0.945411
51,0.866684,10.459808,2.486400,31.400161,0.945197,31.400161,0.945197
52,0.883351,10.557572,2.476160,31.424677,0.945466,31.424677,0.945466
53,0.900018,10.429842,2.487680,31.508446,0.945802,31.508446,0.945802
54,0.916685,10.427648,2.491040,31.466683,0.945530,31.466683,0.945530
55,0.933352,10.448738,2.484800,31.459047,0.945723,31.459047,0.945723
56,0.950019,9.006423,2.466560,31.362181,0.945448,31.362181,0.945448
57,0.966686,9.023564,2.469920,31.333426,0.945122,31.333426,0.945122
58,0.983353,10.421727,2.491680,31.311205,0.945080,31.311205,0.945080
59,1.000020,10.431505,2.493280,31.335356,0.945359,31.335356,0.945359
60,1.016687,10.643112,2.490080,31.397831,0.945624,31.397831,0.945624
61,1.033354,10.652810,2.494720,31.379044,0.945320,31.379044,0.945320
62,1.050021,10.567661,2.481600,31.392228,0.945576,31.392228,0.945576
63,1.066688,9.014849,2.484640,31.400977,0.945612,31.400977,0.945612
64,1.083355,10.372214,2.478400,31.400788,0.945955,31.400788,0.945955
65,1.100022,10.400848,2.484160,31.386423,0.946271,31.386423,0.946271
66,1.116689,10.431866,2.489440,31.268005,0.945688,31.268005,0.945688
67,1.133356,10.361795,2.492000,31.129104,0.945049,31.129104,0.945049
68,1.150023,10.394246,2.487360,31.177061,0.944867,31.177061,0.944867
69,1.166690,10.346125,2.472480,31.257169,0.945285,31.257169,0.945285
70,1.183357,10.112186,2.457600,31.390168,0.945010,31.390168,0.945010
71,1.200024,8.958662,2.445760,31.590103,0.946051,31.590103,0.946051
72,1.216691,10.406158,2.485280,31.714373,0.947544,31.714373,0.947544
73,1.233358,10.222593,2.484800,31.716630,0.948019,31.716630,0.948019
74,1.250025,10.221822,2.476800,31.703135,0.947903,31.703135,0.947903
75,1.266692,10.153784,2.482720,31.674147,0.947774,31.674147,0.947774
76,1.283359,10.187488,2.482240,31.662788,0.947902,31.662788,0.947902
77,1.300026,10.165917,2.473920,31.649668,0.948346,31.649668,0.948346
78,1.316693,10.182018,2.469120,31.772914,0.948452,31.772914,0.948452
79,1.333360,9.872197,2.471680,31.732730,0.947994,31.732730,0.947994
80,1.350027,8.973561,2.455520,31.590914,0.947724,31.590914,0.947724
81,1.366694,9.043993,2.480800,31.498639,0.946736,31.498639,0.946736
82,1.383361,10.215480,2.472800,31.515638,0.946972,31.515638,0.946972
83,1.400028,10.167200,2.481440,31.626007,0.947634,31.626007,0.947634
84,1.416695,10.211683,2.481920,31.650042,0.947884,31.650042,0.947884
85,1.433362,10.168031,2.476640,31.614284,0.947602,31.614284,0.947602
86,1.450029,10.173812,2.480160,31.611175,0.947423,31.611175,0.947423
87,1.466696,10.174884,2.491200,31.624633,0.947413,31.624633,0.947413
88,1.483363,10.192918,2.452000,31.622061,0.947508,31.622061,0.947508
89,1.500030,9.076554,2.481280,31.662766,0.947301,31.662766,0.947301
90,1.516697,9.660930,2.460640,31.742078,0.947974,31.742078,0.947974
91,1.533364,10.451493,2.478880,31.764598,0.948297,31.764598,0.948297
92,1.550031,10.229867,2.480000,31.769314,0.948675,31.769314,0.948675
93,1.566698,10.132705,2.485760,31.761584,0.948623,31.761584,0.948623
94,1.583365,10.278458,2.473760,31.758975,0.948639,31.758975,0.948639
95,1.600032,10.161268,2.467520,31.773075,0.948979,31.773075,0.948979
96,1.616699,9.907302,2.447680,31.751525,0.948902,31.751525,0.948902
97,1.633366,8.981997,2.463200,31.729813,0.948548,31.729813,0.948548
98,1.650033,8.992326,2.475040,31.722870,0.948542,31.722870,0.948542
99,1.666700,9.862127,2.493920,31.716686,0.948481,31.716686,0.948481
100,1.683367,9.869882,2.477920,31.722740,0.948482,31.722740,0.948482
101,1.700034,9.888116,2.476320,31.733766,0.948942,31.733766,0.948942
102,1.716701,9.903214,2.477120,31.901388,0.949586,31.901388,0.949586
103,1.733368,9.898555,2.490240,31.933441,0.949832,31.933441,0.949832
104,1.750035,9.865764,2.492000,31.770382,0.948907,31.770382,0.948907
105,1.766702,9.907102,2.475840,31.827849,0.948834,31.827849,0.948834
106,1.783369,9.895340,2.485440,31.833304,0.948603,31.833304,0.948603
107,1.800036,9.869561,2.477600,31.835272,0.948906,31.835272,0.948906
108,1.816703,9.885441,2.450240,31.802563,0.948695,31.802563,0.948695
109,1.833370,9.888707,2.478400,31.807988,0.949181,31.807988,0.949181
110,1.850037,8.986355,2.469600,31.836752,0.949480,31.836752,0.949480
111,1.866704,8.951279,2.472640,31.869753,0.949342,31.869753,0.949342
112,1.883371,8.928586,2.494240,31.738736,0.948897,31.738736,0.948897
113,1.900038,9.944072,2.498080,31.657226,0.948174,31.657226,0.948174
114,1.916705,9.930575,2.472320,31.665676,0.948049,31.665676,0.948049
115,1.933372,9.884910,2.489600,31.603577,0.947370,31.603577,0.947370
116,1.950039,9.922991,2.493760,31.632179,0.947805,31.632179,0.947805
117,1.966706,9.940194,2.486560,31.587592,0.947674,31.587592,0.947674
