frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
16,0.283339,3.363200,0.765696,33.719460,0.967744,31.315856,0.945905
17,0.300006,3.436800,0.771424,33.727097,0.967768,31.323140,0.946167
18,0.316673,3.329600,0.763904,33.835758,0.968451,31.346849,0.946376
19,0.333340,3.179700,0.767520,33.753754,0.968311,31.365496,0.946323
20,0.350007,3.240800,0.932512,33.663328,0.968142,31.328838,0.946396
21,0.366674,3.594600,0.930112,33.801987,0.968633,31.413239,0.946897
22,0.383341,3.654500,0.766208,33.695693,0.968616,31.487381,0.947726
23,0.400008,3.263800,1.026912,33.917455,0.968940,31.738215,0.948681
24,0.416675,3.661200,0.763648,33.820645,0.968600,31.741266,0.948798
25,0.433342,3.269400,0.950176,33.918914,0.969029,31.666217,0.947978
26,0.450009,3.214700,0.767072,33.996142,0.969295,31.697236,0.948434
27,0.466676,3.249100,0.767136,33.970370,0.968534,31.708539,0.947586
28,0.483343,3.338200,0.769344,33.873443,0.968963,31.717151,0.948128
29,0.500010,3.184400,0.930368,33.873739,0.968865,31.740856,0.948422
30,0.516677,3.245300,0.766016,33.709149,0.968510,31.704867,0.948599
31,0.533344,3.275600,0.926592,33.947852,0.969601,31.805246,0.948638
32,0.550011,3.490400,0.896448,33.884583,0.968910,31.778492,0.948213
33,0.566678,3.169900,0.765920,33.827155,0.968881,31.636263,0.947287
34,0.583345,3.438200,0.937568,33.871173,0.968601,31.603450,0.946602
35,0.600012,3.252100,0.931136,33.877914,0.968687,31.604467,0.946817
36,0.616679,3.392500,0.932608,33.839341,0.968306,31.569584,0.946650
37,0.633346,3.341300,0.764160,33.837942,0.968593,31.650723,0.947026
38,0.650013,3.354100,0.772512,33.866436,0.968988,31.662273,0.947120
39,0.666680,3.074800,0.928576,33.924119,0.969328,31.655988,0.947018
40,0.683347,3.345400,0.763648,33.985426,0.969787,31.664891,0.947087
41,0.700014,3.624700,0.767744,34.108917,0.970155,31.700426,0.947250
42,0.716681,3.133700,0.772352,33.983801,0.969135,31.647663,0.946512
43,0.733348,3.279200,0.934912,33.887330,0.969135,31.514787,0.945690
44,0.750015,3.236400,0.765184,33.956411,0.969244,31.513136,0.945374
45,0.766682,3.235200,0.952288,33.876836,0.969084,31.465778,0.945253
46,0.783349,3.079600,0.765376,33.875636,0.969088,31.444419,0.944824
47,0.800016,3.090200,1.035136,33.912088,0.969492,31.418980,0.944935
48,0.816683,3.091300,0.764704,33.841340,0.969506,31.365300,0.944855
49,0.833350,3.331700,0.772640,33.867346,0.969594,31.350781,0.944602
50,0.850017,3.301900,0.935552,33.829568,0.969082,31.365857,0.944606
51,0.866684,3.354200,0.780032,33.875985,0.969068,31.361203,0.944425
52,0.883351,3.094800,0.774272,33.842410,0.969040,31.383920,0.944663
53,0.900018,3.168900,0.939584,33.905094,0.969143,31.468796,0.945030
54,0.916685,3.436800,0.927712,33.861299,0.968773,31.425850,0.944746
55,0.933352,3.224200,0.765824,33.859744,0.969229,31.418392,0.944936
56,0.950019,3.346500,0.939264,33.657854,0.968078,31.325951,0.944704
57,0.966686,3.379000,0.769152,33.752869,0.968429,31.296242,0.944369
58,0.983353,3.353100,0.767968,33.832447,0.969010,31.272973,0.944322
59,1.000020,2.997000,0.773120,33.845468,0.969064,31.297973,0.944623
60,1.016687,3.639100,0.771520,33.869776,0.969142,31.358005,0.944855
61,1.033354,3.152300,0.764224,33.861115,0.969165,31.339351,0.944549
62,1.050021,3.049200,0.767840,33.840785,0.968778,31.353028,0.944792
63,1.066688,3.049100,1.026656,33.780536,0.968405,31.361096,0.944847
64,1.083355,3.298200,0.769088,33.877478,0.969292,31.362783,0.945200
65,1.100022,3.201800,0.891520,33.940920,0.969502,31.347055,0.945505
66,1.116689,3.147300,0.768832,33.890919,0.969441,31.230134,0.944923
67,1.133356,3.152400,0.777280,33.688877,0.968977,31.095390,0.944321
68,1.150023,3.452700,0.932704,33.801806,0.968997,31.138527,0.944075
69,1.166690,3.285300,0.768672,33.694751,0.968990,31.218210,0.944493
70,1.183357,3.093000,0.770464,33.813939,0.969191,31.348387,0.944204
71,1.200024,3.358800,0.765952,33.910904,0.969110,31.547978,0.945264
72,1.216691,3.110600,0.766304,33.912971,0.969148,31.670525,0.946750
73,1.233358,3.200200,0.766528,34.052475,0.969945,31.672038,0.947237
74,1.250025,3.135000,0.767840,34.107380,0.970067,31.659105,0.947116
75,1.266692,3.749600,0.767104,34.120110,0.970411,31.632295,0.947004
76,1.283359,3.027900,0.768672,34.107550,0.970404,31.619414,0.947120
77,1.300026,3.372800,0.959840,33.931205,0.969881,31.608839,0.947576
78,1.316693,3.204100,1.019712,34.071119,0.969861,31.729868,0.947686
79,1.333360,3.041100,0.765984,34.049150,0.969904,31.687450,0.947185
80,1.350027,3.407900,0.766432,33.929271,0.969684,31.545648,0.946892
81,1.366694,3.087500,0.766976,33.898184,0.969285,31.456053,0.945928
82,1.383361,3.256800,0.773696,33.973393,0.969639,31.477185,0.946220
83,1.400028,3.058400,0.770752,34.036067,0.969825,31.583149,0.946832
84,1.416695,3.338700,0.768256,34.058805,0.970020,31.605169,0.947054
85,1.433362,3.346500,0.771904,34.123488,0.970475,31.569325,0.946782
86,1.450029,3.476600,0.768928,34.041683,0.969864,31.564885,0.946575
87,1.466696,3.474400,0.765920,34.092042,0.970269,31.578765,0.946570
88,1.483363,3.323000,0.944640,34.089212,0.970490,31.577578,0.946687
89,1.500030,2.966000,0.947552,34.007721,0.969653,31.619488,0.946482
90,1.516697,3.237900,0.766112,34.207448,0.970720,31.692726,0.947117
91,1.533364,3.276700,0.768320,34.175101,0.970701,31.717734,0.947477
92,1.550031,3.053200,0.767776,34.172126,0.970854,31.721109,0.947831
93,1.566698,3.143900,0.766976,34.154921,0.970884,31.715158,0.947801
94,1.583365,3.213500,1.015936,34.117286,0.970875,31.713456,0.947840
95,1.600032,3.255800,1.043456,34.180038,0.971255,31.730180,0.948216
96,1.616699,3.212500,0.767776,34.116983,0.971224,31.706400,0.948095
97,1.633366,3.068800,0.767744,34.032032,0.970875,31.686296,0.947756
98,1.650033,3.115900,0.773088,34.114291,0.971234,31.680079,0.947762
99,1.666700,3.241500,0.769664,34.148340,0.971388,31.672280,0.947686
100,1.683367,3.193700,0.767264,34.180969,0.971381,31.677649,0.947652
101,1.700034,3.081800,0.768384,34.176623,0.971639,31.688263,0.948129
102,1.716701,3.076500,0.768640,34.287373,0.971883,31.857795,0.948821
103,1.733368,3.156900,0.941472,34.327051,0.971936,31.888473,0.949063
104,1.750035,3.331100,0.767488,34.018137,0.970706,31.727147,0.948137
105,1.766702,3.424700,0.772672,34.197726,0.971154,31.783541,0.948052
106,1.783369,3.253700,0.767968,34.275884,0.971650,31.784452,0.947767
107,1.800036,3.336700,1.122720,34.318875,0.971776,31.789323,0.948093
108,1.816703,2.978800,0.775360,34.270815,0.971560,31.753399,0.947850
109,1.833370,3.186400,0.768384,34.219140,0.971457,31.758606,0.948342
110,1.850037,2.908700,0.765472,34.176361,0.971225,31.789393,0.948669
111,1.866704,2.956400,1.043520,34.269410,0.971518,31.824686,0.948554
112,1.883371,3.315300,0.766528,34.029591,0.970964,31.693875,0.948102
113,1.900038,3.128000,0.767680,33.947257,0.970521,31.612269,0.947370
114,1.916705,3.095000,0.895712,34.093690,0.971055,31.621139,0.947242
115,1.933372,3.006900,1.026528,34.085385,0.971177,31.560143,0.946562
116,1.950039,3.361600,0.768416,34.118611,0.971144,31.586500,0.946974
117,1.966706,3.038900,0.768224,34.079613,0.971069,31.541851,0.946825
118,1.983373,3.343600,0.768544,34.084126,0.971209,31.545265,0.947030
119,2.000040,3.164400,1.034528,34.073386,0.971216,31.561376,0.947444
