frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
30,0.516668,18.058972,4.723200,37.666118,0.961706,27.182255,0.657788
31,0.533334,18.821822,4.738880,37.759862,0.962224,27.223971,0.658768
32,0.550001,17.184802,4.732800,37.726406,0.962553,27.254225,0.660431
33,0.566668,17.399996,4.732640,37.697227,0.962798,27.295190,0.662389
34,0.583334,18.783160,4.718720,37.769843,0.963475,27.343004,0.665581
35,0.600001,17.234515,4.716640,37.894942,0.964036,27.434776,0.671230
36,0.616668,17.192506,4.692000,37.985103,0.964690,27.528194,0.675738
37,0.633335,17.259061,4.679360,37.866057,0.964069,27.613249,0.679245
38,0.650001,17.260033,4.695680,37.838621,0.964436,27.688431,0.684875
39,0.666668,17.413090,4.751360,37.804319,0.964224,27.764814,0.691175
40,0.683335,17.116835,4.728320,37.936373,0.965070,27.843985,0.696178
41,0.700001,17.923708,4.738560,37.902785,0.965036,27.913380,0.702746
42,0.716668,19.260685,4.735040,37.916519,0.965632,27.992547,0.710686
43,0.733335,18.838062,4.737440,37.892331,0.965684,28.046550,0.717254
44,0.750002,19.078374,4.760800,37.842098,0.965967,28.034605,0.721454
45,0.766668,18.693311,4.767360,37.771983,0.965859,27.991210,0.725772
46,0.783335,17.379617,4.757760,37.808031,0.966747,27.973204,0.733374
47,0.800002,17.334342,4.778560,37.718481,0.966933,28.023709,0.743648
48,0.816668,18.840928,4.778720,37.628270,0.967216,28.118649,0.754405
49,0.833335,16.920206,4.773120,37.570137,0.966676,28.201766,0.764561
50,0.850002,17.455901,4.748160,37.587809,0.968069,28.307035,0.775677
51,0.866668,17.356885,4.742720,37.086490,0.967389,28.344744,0.789363
52,0.883335,17.561208,4.782720,36.855494,0.966882,28.355845,0.805604
53,0.900002,17.406628,4.793280,34.584192,0.963378,27.388801,0.818152
54,0.916669,17.014983,4.756320,32.451793,0.946352,24.133253,0.808938
55,0.933335,16.813596,4.723520,31.604093,0.941646,23.451105,0.809465
56,0.950002,16.835637,4.643520,29.866288,0.928240,22.585073,0.797780
57,0.966669,15.737697,4.580960,27.597576,0.932079,22.080930,0.795032
58,0.983335,15.492508,4.510400,30.207002,0.947600,21.390121,0.789863
59,1.000002,15.590041,4.469440,29.210027,0.952725,21.610045,0.801257
60,1.016669,15.362955,4.497760,32.389939,0.963401,22.222294,0.818612
61,1.033335,15.901405,4.505920,30.350454,0.954077,22.721667,0.829914
62,1.050002,18.508404,4.519520,31.802319,0.950359,24.005826,0.823028
63,1.066669,17.631660,4.479520,32.151922,0.927561,24.362773,0.803568
64,1.083336,17.328100,4.517600,30.019081,0.902966,23.964566,0.776286
65,1.100002,16.842720,4.554880,29.420899,0.912073,24.429521,0.746013
66,1.116669,19.500124,4.523840,31.712938,0.928692,24.109833,0.704133
67,1.133336,20.090722,4.574720,32.048108,0.932961,23.813459,0.666590
68,1.150002,17.506115,4.595360,32.456917,0.933473,23.884289,0.637098
69,1.166669,17.908379,4.607680,31.212696,0.931735,24.056317,0.613730
70,1.183336,17.279620,4.545600,33.754599,0.936479,24.588021,0.606486
71,1.200002,16.756178,4.596640,34.019157,0.937122,24.576340,0.604613
72,1.216669,17.759650,4.596960,34.117914,0.937559,24.555263,0.603867
73,1.233336,18.580950,4.583200,34.071911,0.936256,24.535854,0.602195
74,1.250003,19.194021,4.569760,34.107166,0.935785,24.515352,0.602378
75,1.266669,19.119230,4.570240,34.068955,0.935313,24.466049,0.602537
76,1.283336,22.878160,4.579360,34.039326,0.935107,24.397614,0.600454
77,1.300003,22.663908,4.590880,34.063068,0.934997,24.339347,0.599259
78,1.316669,20.657796,4.603360,34.044396,0.934615,24.324150,0.598561
79,1.333336,22.742035,4.586400,33.949306,0.933553,24.372132,0.599672
80,1.350003,16.297307,4.586560,34.068455,0.933902,24.470875,0.603367
81,1.366669,27.524946,4.621280,34.056334,0.933383,24.591618,0.606567
82,1.383336,16.533110,4.604320,34.138828,0.933794,24.689338,0.609934
83,1.400003,17.609939,4.575680,34.187840,0.934053,24.795657,0.612206
84,1.416670,17.721218,4.603040,34.194109,0.933599,24.874582,0.613597
85,1.433336,19.477392,4.607200,34.222048,0.933536,24.952812,0.615838
86,1.450003,20.665390,4.612160,34.276943,0.933408,25.047873,0.618680
87,1.466670,17.832366,4.618400,34.281132,0.933083,25.130932,0.621786
88,1.483336,19.026185,4.621440,34.282648,0.932332,25.227706,0.624293
89,1.500003,16.696316,4.619840,34.284938,0.931785,25.329429,0.627375
