frame,time_s,cpu_ms,gpu_ms,psnr_fg,ssim_fg,psnr_blend,ssim_blend
15,0.533333,5.483900,1.093952,37.000013,0.957579,26.185636,0.620850
16,0.566666,5.945200,0.922688,36.940484,0.958435,26.260455,0.629708
17,0.599999,6.426200,0.925952,37.030540,0.958769,26.349806,0.636479
18,0.633333,5.442400,0.930304,37.338450,0.959838,26.471085,0.641707
19,0.666666,5.790100,1.116416,37.090245,0.958110,26.600521,0.650691
20,0.699999,5.689200,1.191072,37.143575,0.958974,26.725758,0.661699
21,0.733333,5.759900,0.927072,37.078430,0.958889,26.859969,0.674607
22,0.766666,5.639400,1.117792,36.881314,0.958951,26.695515,0.688646
23,0.799999,5.669200,1.091072,36.553908,0.958384,26.426208,0.703634
24,0.833333,5.512900,0.942144,36.485637,0.959759,26.495459,0.724310
25,0.866666,6.171400,0.940704,35.830068,0.958658,26.522865,0.748940
26,0.899999,5.841400,0.933920,32.721592,0.952678,25.513747,0.773399
27,0.933332,5.804500,0.931040,27.893523,0.901764,21.369964,0.758607
28,0.966666,5.966000,0.917120,23.979503,0.874536,19.996021,0.741281
29,0.999999,5.843900,0.897312,26.205818,0.917853,19.506454,0.756604
30,1.033332,5.710400,1.075168,26.828927,0.920496,20.548625,0.794459
31,1.066666,5.305200,0.880576,26.159156,0.880752,21.565052,0.767841
32,1.099999,6.385900,1.106752,26.176114,0.863961,22.004499,0.690963
33,1.133332,5.568800,0.891072,29.173574,0.902488,22.038072,0.615157
34,1.166666,6.059300,1.225504,27.378840,0.904152,22.318499,0.564844
35,1.199999,5.558100,0.910816,32.758373,0.917439,23.360669,0.549443
36,1.233332,5.713300,0.919040,33.011943,0.921972,23.366747,0.549039
37,1.266665,5.240100,0.949280,33.149510,0.921039,23.329862,0.543587
38,1.299999,5.734000,0.937152,33.131833,0.920924,23.263438,0.541596
39,1.333332,5.764400,0.940800,32.943306,0.923474,23.306066,0.544312
40,1.366665,5.447800,1.107552,33.096932,0.923747,23.444513,0.548364
41,1.399999,5.857700,1.125984,33.301083,0.924810,23.583855,0.551755
42,1.433332,5.893900,0.932384,33.399604,0.924948,23.697441,0.556464
43,1.466665,5.712200,1.120448,33.481739,0.924360,23.814426,0.562084
44,1.499999,5.666700,1.332992,33.553777,0.924738,23.972197,0.567662
