frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.150200,0.823104,1.427831,0.646201,0.912010,0.008092,0.015677,0.008092,0.008160,0
17,0.300006,1.437900,0.820992,1.406330,0.640931,0.910417,0.009873,0.017240,0.009873,0.012465,0
18,0.316673,1.183000,0.818368,1.432367,0.651716,0.909681,0.008571,0.013368,0.008571,0.010365,0
19,0.333340,1.187000,0.823840,1.463476,0.646814,0.910784,0.009606,0.018090,0.009606,0.010191,0
20,0.350007,1.468100,0.821152,1.431784,0.644608,0.916544,0.010147,0.016163,0.010147,0.011059,0
21,0.366674,1.159400,0.823968,1.383703,0.657721,0.921814,0.009217,0.016007,0.009217,0.011667,0
22,0.383341,1.412100,1.119008,1.364635,0.653064,0.924877,0.009757,0.016892,0.009757,0.011615,0
23,0.400008,1.190700,0.825216,1.364526,0.649020,0.925735,0.009981,0.017951,0.009981,0.010035,0
24,0.416675,1.335300,1.056320,1.462552,0.648652,0.916544,0.009244,0.017865,0.009244,0.009931,0
25,0.433342,1.607800,0.825696,1.461232,0.651103,0.919118,0.009915,0.017587,0.009915,0.011007,0
26,0.450009,1.174700,0.832576,1.423589,0.657475,0.925613,0.008410,0.018177,0.008410,0.007500,0
27,0.466676,1.451600,1.263808,1.576844,0.655270,0.920956,0.009228,0.020174,0.009228,0.006024,0
28,0.483343,1.154400,0.834944,1.567973,0.654167,0.920833,0.008515,0.018021,0.008515,0.006684,0
29,0.500010,1.075900,1.106272,1.473915,0.665196,0.925123,0.007882,0.017205,0.007882,0.005747,0
30,0.516677,1.330400,0.824800,1.551728,0.655515,0.921936,0.008800,0.017552,0.008800,0.006927,0
31,0.533344,1.266100,0.826976,1.838188,0.663603,0.916912,0.010920,0.021493,0.010920,0.008003,0
32,0.550011,1.362400,0.994400,1.716866,0.659559,0.913235,0.013765,0.034635,0.013765,0.009687,0
33,0.566678,1.263300,0.827840,1.788281,0.665074,0.919118,0.013223,0.039340,0.013223,0.009323,0
34,0.583345,1.685600,1.022304,1.864955,0.660049,0.907598,0.014678,0.042413,0.014678,0.012135,0
35,0.600012,1.196100,0.841504,1.894041,0.666054,0.912500,0.015309,0.042014,0.015309,0.012066,0
36,0.616679,1.353600,1.127680,1.919529,0.665441,0.910049,0.015613,0.044063,0.015613,0.014792,0
37,0.633346,1.174800,0.830080,2.107505,0.649755,0.896936,0.014855,0.043889,0.014855,0.013750,0
38,0.650013,1.189900,0.833632,2.638814,0.632843,0.884804,0.015658,0.042708,0.015658,0.016146,0
