frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,3.629528,2.368960,1.348708,0.660294,0.929657,0.008547,0.013993,0.008547,0.007760,0
17,0.300006,2.860666,2.379040,1.366551,0.647794,0.929289,0.010806,0.017951,0.010806,0.009670,0
18,0.316673,2.753895,2.375680,1.467146,0.643260,0.916422,0.008324,0.016476,0.008324,0.007691,0
19,0.333340,3.721810,2.374080,1.431397,0.634681,0.931373,0.010212,0.016389,0.010212,0.010833,0
20,0.350007,2.849114,2.379360,1.469005,0.635417,0.918505,0.012504,0.026441,0.012504,0.012222,0
21,0.366674,2.852540,2.379200,1.447348,0.656127,0.922917,0.010239,0.017986,0.010239,0.011146,0
22,0.383341,3.906257,2.372000,1.384467,0.650980,0.938971,0.010278,0.017396,0.010278,0.012257,0
23,0.400008,2.745099,2.369120,1.528688,0.632966,0.912010,0.014732,0.040312,0.014732,0.010469,0
24,0.416675,2.815451,2.371520,1.454614,0.656250,0.930147,0.008964,0.017813,0.008964,0.009635,0
25,0.433342,2.880262,2.375840,1.419046,0.659681,0.943382,0.010264,0.019549,0.010264,0.010278,0
26,0.450009,3.366153,2.363360,1.446793,0.660294,0.943382,0.012076,0.023993,0.012076,0.009948,0
27,0.466676,2.862028,2.378560,1.559058,0.635172,0.924632,0.009645,0.021372,0.009645,0.007014,0
28,0.483343,2.702769,2.381600,1.470275,0.655392,0.936887,0.010345,0.020191,0.010345,0.009566,0
29,0.500010,3.308947,2.386240,1.449058,0.658578,0.937868,0.008885,0.017830,0.008885,0.006910,0
30,0.516677,3.280082,2.371520,1.508101,0.654779,0.929289,0.009801,0.017986,0.009801,0.009965,0
31,0.533344,3.405347,2.378240,1.761457,0.653309,0.927451,0.010995,0.020174,0.010995,0.005486,0
32,0.550011,3.291895,2.386080,1.698858,0.663113,0.925735,0.013613,0.028837,0.013613,0.010712,0
33,0.566678,3.116635,2.375840,1.820305,0.655270,0.930025,0.015997,0.048316,0.015997,0.011024,0
34,0.583345,4.653157,2.384800,1.823960,0.652206,0.923039,0.015376,0.037517,0.015376,0.010885,0
35,0.600012,3.262660,2.368480,1.974511,0.646691,0.919363,0.016256,0.042101,0.016256,0.012240,0
36,0.616679,3.094754,2.362720,2.079041,0.668873,0.927941,0.014724,0.043108,0.014724,0.013542,0
37,0.633346,3.422560,2.373280,2.390689,0.627328,0.899265,0.016152,0.045503,0.016152,0.011354,0
38,0.650013,2.770596,2.353440,2.423201,0.634314,0.896078,0.014875,0.041458,0.014875,0.016024,0
39,0.666680,2.863521,2.365920,3.910070,0.618505,0.858333,0.016782,0.044427,0.016782,0.017934,0
40,0.683347,4.092356,2.375520,4.375442,0.617034,0.855392,0.017843,0.041649,0.017843,0.017587,0
41,0.700014,2.888338,2.350080,4.828762,0.578186,0.839461,0.016443,0.036771,0.016443,0.016146,0
42,0.716681,2.809590,2.367040,5.207687,0.581373,0.827574,0.014780,0.038958,0.014780,0.009983,0
43,0.733348,3.362186,2.369280,6.761856,0.525000,0.775735,0.016827,0.040313,0.016827,0.017066,0
44,0.750015,2.921279,2.362880,8.881941,0.524877,0.747304,0.017093,0.044583,0.017093,0.014288,0
45,0.766682,2.861928,2.385920,14.496413,0.511642,0.737500,0.019375,0.053368,0.019375,0.017743,0
46,0.783349,3.359872,2.374880,21.003301,0.487623,0.698652,0.026431,0.092760,0.026431,0.014219,0
47,0.800016,2.941127,2.368320,15.265022,0.503431,0.702696,0.037195,0.116840,0.037195,0.027101,0
48,0.816683,2.740520,2.374400,8.593096,0.550735,0.765564,0.016956,0.032083,0.016956,0.016806,0
49,0.833350,3.893022,2.385280,10.329766,0.500490,0.700368,0.016811,0.039462,0.016811,0.009566,0
50,0.850017,2.902815,2.393440,13.127778,0.473162,0.657721,0.015530,0.035590,0.015530,0.007292,0
51,0.866684,2.839285,2.385600,26.792338,0.425490,0.604779,0.016937,0.043837,0.016937,0.009583,0
52,0.883351,3.777756,2.376960,30.317173,0.425245,0.589338,0.017305,0.045990,0.017305,0.005972,0
53,0.900018,2.726323,2.355200,55.731420,0.397549,0.562990,0.043752,0.105781,0.043752,0.045903,0
54,0.916685,2.719250,2.353760,36.389013,0.376225,0.578922,0.053549,0.106493,0.053549,0.070608,0
55,0.933352,2.777169,2.337600,28.780508,0.334069,0.548162,0.101528,0.288247,0.101528,0.045156,0
56,0.950019,3.189983,2.261120,33.363310,0.329657,0.544730,0.096181,0.302361,0.096181,0.071754,0
57,0.966686,2.637427,2.230400,24.869432,0.308824,0.563971,0.122666,0.332951,0.122666,0.109201,0
58,0.983353,2.542318,2.202560,37.587445,0.269975,0.513603,0.159263,0.270243,0.159263,0.196337,0
59,1.000020,3.099213,2.178080,33.003121,0.269853,0.505147,0.121730,0.294167,0.121730,0.101979,0
60,1.016687,2.702228,2.184960,34.927779,0.264216,0.492647,0.134782,0.273854,0.134782,0.123663,0
61,1.033354,2.974940,2.174240,36.152649,0.232108,0.471446,0.111773,0.234635,0.111773,0.124201,0
62,1.050021,3.494414,2.182720,29.230111,0.256618,0.504167,0.096319,0.308924,0.096319,0.077517,0
63,1.066688,2.795824,2.186080,30.733660,0.315564,0.600980,0.104890,0.284323,0.104890,0.094410,0
64,1.083355,2.941017,2.194080,23.844921,0.383456,0.676593,0.103941,0.221910,0.103941,0.085503,0
65,1.100022,3.695181,2.248480,16.784350,0.469975,0.748039,0.089161,0.179792,0.089161,0.074757,0
66,1.116689,2.953920,2.253600,16.103301,0.511275,0.770833,0.093019,0.365503,0.093019,0.054896,0
67,1.133356,2.790835,2.281280,11.221111,0.553309,0.799755,0.102425,0.266997,0.102425,0.094844,0
68,1.150023,3.561761,2.290400,7.731302,0.600245,0.851471,0.096200,0.279201,0.096200,0.020174,0
69,1.166690,2.760809,2.298400,6.387604,0.644730,0.896569,0.057332,0.252552,0.057332,0.015469,0
70,1.183357,2.726574,2.296160,1.937224,0.693995,0.942034,0.044612,0.154080,0.044612,0.010260,0
71,1.200024,2.787999,2.294880,1.221607,0.712132,0.955392,0.042407,0.156424,0.042407,0.010677,0
72,1.216691,3.240107,2.288320,1.097381,0.703554,0.954044,0.015380,0.045191,0.015380,0.008819,0
73,1.233358,2.632096,2.305920,1.181338,0.699632,0.944975,0.013366,0.028281,0.013366,0.011319,0
74,1.250025,2.722616,2.291680,0.940930,0.695466,0.964951,0.012390,0.027535,0.012390,0.008438,0
75,1.266692,3.255095,2.302560,0.913092,0.694853,0.962377,0.011092,0.028993,0.011092,0.007639,0
76,1.283359,2.737504,2.282080,0.898915,0.715074,0.968015,0.011150,0.027500,0.011150,0.007743,0
77,1.300026,2.725963,2.294720,0.890553,0.693015,0.970956,0.013694,0.028003,0.013694,0.011319,0
78,1.316693,3.278699,2.293440,0.890140,0.689951,0.969240,0.011804,0.030417,0.011804,0.007656,0
79,1.333360,2.734890,2.281440,0.891985,0.696324,0.969485,0.011946,0.027865,0.011946,0.008976,0
80,1.350027,2.735410,2.315360,0.858799,0.710294,0.978554,0.009911,0.019253,0.009911,0.010330,0
81,1.366694,3.721240,2.305440,0.908244,0.682230,0.968750,0.010968,0.021510,0.010968,0.009757,0
82,1.383361,2.753084,2.302560,0.881510,0.692525,0.975245,0.010799,0.019774,0.010799,0.010503,0
83,1.400028,2.677091,2.318720,0.920026,0.674632,0.964338,0.012924,0.026840,0.012924,0.007934,0
84,1.416695,2.768343,2.310080,0.900827,0.684804,0.971814,0.010332,0.016111,0.010332,0.009132,0
85,1.433362,3.298407,2.328960,0.910130,0.700000,0.969118,0.009990,0.019705,0.009990,0.007969,0
86,1.450029,2.738616,2.303200,0.938614,0.681740,0.963971,0.010820,0.025347,0.010820,0.006181,0
87,1.466696,2.746862,2.315520,0.932636,0.690441,0.966422,0.013382,0.025382,0.013382,0.011858,0
88,1.483363,3.338120,2.315680,0.881268,0.708701,0.972794,0.011202,0.021545,0.011202,0.008872,0
89,1.500030,2.834627,2.306560,0.861298,0.718627,0.976716,0.011047,0.020642,0.011047,0.008993,0
90,1.516697,2.830308,2.328640,0.882049,0.710049,0.972181,0.012508,0.021597,0.012508,0.012188,0
91,1.533364,3.312613,2.318720,0.906374,0.699020,0.964828,0.009327,0.018385,0.009327,0.008247,0
92,1.550031,3.120893,2.301600,0.882661,0.704657,0.971936,0.011613,0.022049,0.011613,0.009219,0
93,1.566698,2.837552,2.321120,0.884987,0.717892,0.971569,0.008281,0.015469,0.008281,0.006667,0
94,1.583365,3.317933,2.310720,0.887936,0.702696,0.971936,0.008945,0.015642,0.008945,0.007726,0
95,1.600032,2.934153,2.320320,0.913213,0.683578,0.969853,0.011069,0.018299,0.011069,0.010069,0
96,1.616699,2.883889,2.315360,0.871016,0.699265,0.981618,0.010831,0.022153,0.010831,0.010399,0
97,1.633366,3.560147,2.311840,0.913732,0.683701,0.970466,0.013596,0.031406,0.013596,0.010920,0
98,1.650033,2.664277,2.299680,0.889537,0.691789,0.970588,0.007683,0.015521,0.007683,0.006094,0
99,1.666700,2.759245,2.322720,0.895174,0.707598,0.972059,0.010158,0.017604,0.010158,0.005990,0
100,1.683367,2.761108,2.314240,0.876374,0.693505,0.973652,0.011645,0.019479,0.011645,0.010764,0
101,1.700034,3.312153,2.302560,0.909042,0.686887,0.966667,0.010546,0.016528,0.010546,0.010677,0
102,1.716701,2.745559,2.308480,0.869426,0.702451,0.977574,0.008935,0.014149,0.008935,0.008038,0
103,1.733368,2.630474,2.313600,0.875523,0.705515,0.977819,0.009292,0.014167,0.009292,0.008750,0
104,1.750035,3.292856,2.307200,0.884233,0.708701,0.975368,0.013474,0.023767,0.013474,0.012813,0
105,1.766702,2.767961,2.304320,0.939929,0.675613,0.968137,0.008590,0.014896,0.008590,0.007517,0
106,1.783369,2.745330,2.307360,0.933319,0.675858,0.970221,0.010048,0.016823,0.010048,0.009618,0
107,1.800036,3.304879,2.319360,0.915589,0.684314,0.969363,0.007820,0.013507,0.007820,0.007847,0
108,1.816703,2.675268,2.314560,0.886860,0.722181,0.970833,0.008723,0.016476,0.008723,0.008872,0
109,1.833370,2.756490,2.317120,0.942346,0.700858,0.962990,0.013659,0.024358,0.013659,0.011354,0
110,1.850037,3.511757,2.328800,0.899959,0.726471,0.968260,0.010806,0.015816,0.010806,0.011372,0
111,1.866704,2.750249,2.310240,0.911045,0.720956,0.972059,0.008559,0.015000,0.008559,0.007726,0
112,1.883371,2.748375,2.326720,0.874527,0.742034,0.977941,0.009510,0.019323,0.009510,0.008576,0
113,1.900038,2.671180,2.322720,0.959106,0.693627,0.958088,0.011125,0.020903,0.011125,0.011597,0
114,1.916705,3.309347,2.315200,0.922476,0.703676,0.966789,0.008603,0.018872,0.008603,0.007674,0
115,1.933372,2.775405,2.312160,1.022822,0.650123,0.951961,0.010652,0.015226,0.010652,0.011007,0
116,1.950039,2.766779,2.317600,0.956656,0.675735,0.962255,0.008549,0.020573,0.008549,0.006233,0
117,1.966706,3.316130,2.331680,0.957389,0.695956,0.957843,0.009443,0.017934,0.009443,0.009844,0
118,1.983373,2.678103,2.308160,1.030060,0.681250,0.946936,0.009078,0.014983,0.009078,0.008715,0
119,2.000040,2.767441,2.325120,0.991326,0.685907,0.951838,0.013034,0.022274,0.013034,0.012274,0
