frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,2.041600,1.918176,1.621931,0.671512,0.935062,0.007958,0.014119,0.007958,0.008889,0
17,0.300006,2.017400,1.736704,1.669387,0.657006,0.932037,0.007247,0.012088,0.007247,0.007470,0
18,0.316673,2.256100,1.954016,1.753447,0.658210,0.933333,0.008527,0.013980,0.008527,0.010998,0
19,0.333340,2.043900,1.722336,1.737035,0.646698,0.934414,0.010516,0.016541,0.010516,0.012678,0
20,0.350007,2.019300,2.004800,1.678561,0.657994,0.933858,0.008201,0.014709,0.008201,0.008594,0
21,0.366674,2.214900,1.724800,1.619799,0.662099,0.941204,0.008727,0.016072,0.008727,0.010534,0
22,0.383341,2.307800,1.726848,1.617487,0.655154,0.942870,0.009528,0.016497,0.009528,0.011202,0
23,0.400008,2.063700,1.893024,1.626571,0.659475,0.935679,0.008403,0.016784,0.008403,0.008711,0
24,0.416675,2.229100,1.936800,1.645333,0.663117,0.939784,0.009322,0.017387,0.009322,0.010846,0
25,0.433342,2.454800,1.723840,1.810880,0.659105,0.935833,0.008657,0.018520,0.008657,0.010764,0
26,0.450009,2.294000,1.730208,2.000595,0.656759,0.934784,0.007958,0.018628,0.007958,0.007044,0
27,0.466676,2.565800,1.891136,2.081686,0.656111,0.934383,0.008492,0.018229,0.008492,0.005503,0
28,0.483343,2.389800,2.039616,1.891083,0.653611,0.939383,0.008748,0.017882,0.008748,0.007426,0
29,0.500010,1.900500,2.017952,1.904589,0.655494,0.935093,0.007572,0.017010,0.007572,0.005590,0
30,0.516677,2.495000,2.035904,1.849937,0.674198,0.940340,0.008644,0.018164,0.008644,0.007053,0
31,0.533344,2.032600,1.969120,1.992406,0.653735,0.941698,0.010795,0.020360,0.010795,0.008889,0
32,0.550011,2.195200,2.166656,2.019008,0.668951,0.941019,0.012729,0.033320,0.012729,0.008173,0
33,0.566678,2.189800,2.068384,2.183535,0.658889,0.935988,0.013670,0.036202,0.013670,0.011910,0
34,0.583345,2.020600,1.924096,2.208662,0.668395,0.938025,0.014479,0.040660,0.014479,0.011584,0
35,0.600012,2.296700,1.898304,2.443592,0.668086,0.939537,0.014607,0.039878,0.014607,0.012504,0
36,0.616679,2.330900,1.747104,2.742927,0.658858,0.932222,0.015448,0.042331,0.015448,0.014835,0
37,0.633346,2.323700,2.024832,3.390462,0.652006,0.918827,0.014915,0.041211,0.014915,0.013563,0
38,0.650013,2.211500,2.020800,4.028638,0.647747,0.910617,0.014919,0.040920,0.014919,0.015829,0
39,0.666680,2.344100,1.987040,4.984975,0.634722,0.897284,0.015740,0.043342,0.015740,0.018147,0
40,0.683347,2.023800,1.947936,7.316095,0.622562,0.872963,0.015252,0.038776,0.015252,0.012556,0
41,0.700014,2.095200,1.741152,8.880634,0.595926,0.851698,0.014660,0.036706,0.014660,0.010642,0
42,0.716681,2.040300,1.735808,9.390002,0.575802,0.838765,0.015444,0.038698,0.015444,0.009892,0
43,0.733348,2.229200,1.736928,9.262279,0.567160,0.824352,0.015425,0.040421,0.015425,0.009436,0
44,0.750015,2.459800,1.738976,17.093281,0.543673,0.776667,0.016807,0.045668,0.016807,0.012661,0
45,0.766682,2.509000,1.738272,22.981524,0.526636,0.775463,0.018495,0.051745,0.018495,0.017847,0
46,0.783349,2.289400,2.181472,29.548465,0.515833,0.761543,0.026592,0.096641,0.026592,0.013906,0
47,0.800016,2.374500,1.898240,29.085508,0.523673,0.761142,0.037659,0.118598,0.037659,0.028663,0
48,0.816683,2.333500,1.820992,31.320691,0.496790,0.723673,0.015737,0.033780,0.015737,0.012274,0
49,0.833350,2.316900,2.002848,45.339981,0.484383,0.697037,0.016124,0.035664,0.016124,0.009974,0
50,0.850017,2.415200,2.027072,23.064278,0.505586,0.722840,0.014966,0.034696,0.014966,0.008872,0
51,0.866684,2.645400,1.999328,46.863314,0.460617,0.673704,0.015310,0.037934,0.015310,0.008516,0
52,0.883351,2.054300,2.038144,62.841691,0.423981,0.616204,0.016600,0.048398,0.016600,0.004796,0
53,0.900018,2.502500,2.359456,106.607040,0.382747,0.548796,0.044541,0.106671,0.044541,0.045195,0
54,0.916685,2.451300,1.721920,81.662254,0.354784,0.538858,0.054900,0.107348,0.054900,0.074366,0
55,0.933352,2.187100,2.238112,76.891327,0.320401,0.502284,0.101907,0.288997,0.101907,0.050043,0
56,0.950019,2.147300,1.950240,65.917986,0.294444,0.481821,0.096658,0.301615,0.096658,0.068641,0
57,0.966686,2.137300,1.908128,53.643464,0.276728,0.472438,0.123053,0.326788,0.123053,0.110490,0
58,0.983353,2.695000,1.870176,73.402324,0.249105,0.427593,0.158940,0.267049,0.158940,0.196037,0
59,1.000020,2.289200,1.812672,68.461185,0.218580,0.401698,0.121998,0.294440,0.121998,0.103455,0
60,1.016687,2.397100,2.256448,74.723846,0.200370,0.378704,0.134514,0.272691,0.134514,0.122157,0
61,1.033354,1.967100,2.116032,78.662709,0.191204,0.368364,0.111942,0.235894,0.111942,0.125456,0
62,1.050021,2.276900,2.018176,63.258791,0.209537,0.384290,0.096316,0.308108,0.096316,0.077530,0
63,1.066688,2.500300,1.596960,63.515266,0.279630,0.495926,0.104410,0.283928,0.104410,0.094201,0
64,1.083355,2.252000,1.972032,45.713104,0.370710,0.604568,0.102844,0.210859,0.102844,0.087010,0
65,1.100022,2.215400,2.131296,33.492686,0.437191,0.685617,0.089223,0.179410,0.089223,0.073316,0
66,1.116689,2.281300,1.962336,32.247972,0.494259,0.730802,0.092937,0.364883,0.092937,0.054805,0
67,1.133356,2.336100,1.960768,24.243414,0.522068,0.764444,0.101062,0.265855,0.101062,0.094479,0
68,1.150023,2.286700,1.997216,15.262956,0.559167,0.825802,0.094531,0.277526,0.094531,0.015920,0
69,1.166690,2.241700,1.994144,12.071514,0.596235,0.869938,0.056678,0.252031,0.056678,0.014314,0
70,1.183357,2.741400,2.023584,2.283823,0.647654,0.930679,0.043250,0.152717,0.043250,0.009666,0
71,1.200024,2.553800,1.933664,1.423441,0.666852,0.941142,0.041444,0.155356,0.041444,0.008168,0
72,1.216691,2.319600,2.391584,1.156069,0.677531,0.946728,0.013858,0.040556,0.013858,0.006866,0
73,1.233358,2.396700,2.245728,1.262461,0.662623,0.940216,0.013310,0.031497,0.013310,0.009223,0
74,1.250025,2.587600,2.011232,1.111282,0.656698,0.950093,0.012049,0.029679,0.012049,0.007183,0
75,1.266692,2.524200,2.020480,1.053096,0.663210,0.952068,0.010535,0.030200,0.010535,0.006628,0
76,1.283359,2.293000,2.155744,1.096971,0.672531,0.950741,0.011528,0.027092,0.011528,0.008407,0
77,1.300026,2.492500,2.211520,1.095542,0.649877,0.947685,0.012701,0.029839,0.012701,0.009935,0
78,1.316693,2.344900,2.016928,1.080468,0.650062,0.951574,0.010751,0.025352,0.010751,0.007066,0
