frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.009700,0.382848,1.120878,0.644722,0.917778,0.009182,0.016160,0.009182,0.007632,0
17,0.300006,0.726300,0.383584,1.068786,0.656944,0.931111,0.009581,0.014045,0.009581,0.011698,0
18,0.316673,0.711900,0.378912,1.147231,0.670278,0.913611,0.009329,0.014291,0.009329,0.010981,0
19,0.333340,0.828600,0.377728,1.082136,0.677222,0.927500,0.009283,0.018232,0.009283,0.009618,0
20,0.350007,0.741800,0.376832,1.136147,0.644444,0.923611,0.009780,0.016197,0.009780,0.011410,0
21,0.366674,0.805800,0.377152,1.210781,0.642500,0.923333,0.012367,0.022770,0.012367,0.011565,0
22,0.383341,0.828300,0.375936,1.225132,0.653056,0.915278,0.010854,0.017254,0.010854,0.011098,0
23,0.400008,0.723800,0.376128,1.207679,0.641111,0.921944,0.010731,0.017958,0.010731,0.012072,0
24,0.416675,0.708300,0.376864,1.222618,0.654167,0.921667,0.008912,0.017958,0.008912,0.007671,0
25,0.433342,0.841200,0.377632,1.230942,0.651667,0.918333,0.010097,0.019249,0.010097,0.010358,0
26,0.450009,0.741300,0.375680,1.316913,0.650556,0.906944,0.009514,0.018153,0.009514,0.008217,0
27,0.466676,0.910100,0.378720,1.441073,0.641389,0.904722,0.009444,0.019131,0.009444,0.008255,0
28,0.483343,0.768200,0.375232,1.403898,0.660000,0.914722,0.008641,0.018936,0.008641,0.006425,0
29,0.500010,0.610000,0.561280,1.259273,0.665000,0.923056,0.008582,0.018114,0.008582,0.006612,0
30,0.516677,0.884900,0.380160,1.377161,0.664167,0.921944,0.009137,0.019743,0.009137,0.006573,0
31,0.533344,0.745100,0.375840,1.576422,0.639722,0.900556,0.012273,0.020678,0.012273,0.009703,0
32,0.550011,0.745700,0.534944,1.709260,0.639167,0.886944,0.013191,0.034735,0.013191,0.007942,0
33,0.566678,0.919400,0.377280,1.797839,0.649722,0.892222,0.015068,0.041277,0.015068,0.010094,0
34,0.583345,0.721000,0.383104,1.793317,0.653611,0.895833,0.016439,0.047079,0.016439,0.012773,0
35,0.600012,1.042100,0.378112,1.807906,0.668611,0.897222,0.015001,0.041667,0.015001,0.012500,0
36,0.616679,0.808200,0.377312,1.829659,0.639722,0.899167,0.016313,0.047702,0.016313,0.013435,0
37,0.633346,0.736200,0.648768,2.099611,0.645278,0.876944,0.015678,0.044315,0.015678,0.015498,0
38,0.650013,1.045600,0.375904,2.377075,0.618611,0.871111,0.017585,0.045483,0.017585,0.018662,0
