frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.051400,0.580768,1.389153,0.647304,0.911520,0.007936,0.014531,0.007936,0.009028,0
17,0.300006,1.322200,0.787488,1.328040,0.653064,0.919240,0.009074,0.015434,0.009074,0.009740,0
18,0.316673,0.940600,0.725376,1.360393,0.662255,0.918015,0.007863,0.013368,0.007863,0.008437,0
19,0.333340,1.198600,0.890176,1.380321,0.658333,0.922917,0.010799,0.017465,0.010799,0.011233,0
20,0.350007,0.943500,0.582976,1.444787,0.655147,0.921691,0.010367,0.016476,0.010367,0.013889,0
21,0.366674,1.220300,0.841568,1.353244,0.665441,0.927696,0.010044,0.018056,0.010044,0.011615,0
22,0.383341,0.976900,0.585504,1.314279,0.667402,0.933088,0.009437,0.016024,0.009437,0.011111,0
23,0.400008,0.934000,0.869504,1.287747,0.666912,0.937500,0.009878,0.018837,0.009878,0.011042,0
24,0.416675,0.948800,0.589728,1.373699,0.662623,0.932598,0.009325,0.017830,0.009325,0.011441,0
25,0.433342,0.936100,0.586720,1.381489,0.673652,0.938358,0.009583,0.017674,0.009583,0.010712,0
26,0.450009,1.060900,0.581312,1.434712,0.668750,0.934681,0.008231,0.018958,0.008231,0.008090,0
27,0.466676,0.939000,0.581952,1.499809,0.667034,0.933333,0.008696,0.017760,0.008696,0.007222,0
28,0.483343,1.243900,0.583520,1.452011,0.659436,0.929902,0.008532,0.018490,0.008532,0.006563,0
29,0.500010,0.818200,0.580736,1.392766,0.677451,0.936765,0.008347,0.018108,0.008347,0.005521,0
30,0.516677,1.223800,0.807488,1.446810,0.670956,0.934069,0.009074,0.017708,0.009074,0.006788,0
31,0.533344,0.939900,0.581792,1.630852,0.671446,0.927819,0.010700,0.020243,0.010700,0.007118,0
32,0.550011,1.295500,0.830848,1.696465,0.671814,0.924265,0.012477,0.034063,0.012477,0.007656,0
33,0.566678,0.963100,0.585376,1.812816,0.667034,0.921569,0.013750,0.038212,0.013750,0.010052,0
34,0.583345,1.245400,0.909408,1.918076,0.668627,0.920466,0.014873,0.043437,0.014873,0.011563,0
35,0.600012,1.061700,0.582272,1.947735,0.672304,0.917892,0.014934,0.041181,0.014934,0.011997,0
36,0.616679,1.285300,0.583040,2.064988,0.665441,0.917647,0.015750,0.043403,0.015750,0.014184,0
37,0.633346,0.928300,0.585376,2.516757,0.651961,0.895343,0.015058,0.042917,0.015058,0.014115,0
38,0.650013,1.451000,0.897344,2.879675,0.628799,0.879044,0.015341,0.042708,0.015341,0.015990,0
39,0.666680,0.935400,0.587456,3.329027,0.622794,0.862500,0.015633,0.043854,0.015633,0.016198,0
40,0.683347,1.431200,0.858688,4.423604,0.615564,0.859069,0.015544,0.041267,0.015544,0.016198,0
41,0.700014,1.079900,0.584448,5.187921,0.592279,0.838603,0.014715,0.036788,0.014715,0.011441,0
42,0.716681,1.228000,0.900640,5.961764,0.593015,0.830760,0.014072,0.037587,0.014072,0.008941,0
43,0.733348,0.939500,0.739264,7.030537,0.550368,0.782721,0.015939,0.041493,0.015939,0.010747,0
44,0.750015,1.247000,0.772768,8.234628,0.525368,0.753676,0.016136,0.044844,0.016136,0.012257,0
45,0.766682,0.974700,0.592128,8.517122,0.512255,0.730147,0.018447,0.051563,0.018447,0.020017,0
46,0.783349,1.311100,0.896096,10.881032,0.494240,0.714828,0.025812,0.095694,0.025812,0.013924,0
47,0.800016,0.950900,0.590176,11.729208,0.495833,0.693750,0.038073,0.118490,0.038073,0.031701,0
48,0.816683,1.410900,0.892384,13.242508,0.491912,0.692402,0.015608,0.032031,0.015608,0.012604,0
49,0.833350,0.978800,0.590976,13.682865,0.501225,0.688603,0.015102,0.033559,0.015102,0.011007,0
50,0.850017,1.242800,1.027808,16.507021,0.500735,0.691422,0.014612,0.035937,0.014612,0.007674,0
51,0.866684,0.952100,0.592224,24.373844,0.481250,0.659681,0.015563,0.042240,0.015563,0.007639,0
52,0.883351,1.139200,0.880416,39.727224,0.429167,0.601961,0.016576,0.048437,0.016576,0.004844,0
53,0.900018,0.931400,0.589312,56.370688,0.391544,0.544118,0.044747,0.106215,0.044747,0.045747,0
54,0.916685,0.928400,0.788992,83.252425,0.331495,0.469853,0.053364,0.107187,0.053364,0.072535,0
55,0.933352,0.913700,0.583584,110.281039,0.305025,0.434314,0.100617,0.288524,0.100617,0.047778,0
56,0.950019,0.878000,0.904768,135.507504,0.245956,0.355760,0.095419,0.303160,0.095419,0.069497,0
57,0.966686,1.047900,0.558432,143.064331,0.207598,0.311642,0.123590,0.333802,0.123590,0.108472,0
58,0.983353,0.921600,0.544416,156.983553,0.157598,0.247304,0.159223,0.270868,0.159223,0.196181,0
59,1.000020,0.793000,0.542784,163.187685,0.142770,0.208088,0.123038,0.295781,0.123038,0.102448,0
60,1.016687,1.074200,0.545504,166.682954,0.126838,0.174755,0.134261,0.273889,0.134261,0.121771,0
61,1.033354,0.964000,0.543968,161.631609,0.102574,0.150123,0.112145,0.234705,0.112145,0.124670,0
62,1.050021,0.915800,0.704992,135.445004,0.125490,0.185172,0.096244,0.309045,0.096244,0.077014,0
63,1.066688,0.973200,0.553600,107.555872,0.195466,0.324020,0.106460,0.284392,0.106460,0.095347,0
64,1.083355,0.908800,0.548736,76.814595,0.296324,0.455147,0.102672,0.210278,0.102672,0.085799,0
65,1.100022,1.151600,0.555936,54.516857,0.417402,0.593260,0.087903,0.179983,0.087903,0.075382,0
66,1.116689,1.102100,0.569824,39.088563,0.492279,0.686397,0.091132,0.368750,0.091132,0.053073,0
67,1.133356,1.089400,0.797952,24.013434,0.565686,0.777451,0.101865,0.264809,0.101865,0.094687,0
68,1.150023,0.935700,0.732224,10.941851,0.605515,0.831127,0.094433,0.278368,0.094433,0.017187,0
69,1.166690,1.273800,0.586336,3.540344,0.656863,0.879657,0.056752,0.252517,0.056752,0.014045,0
70,1.183357,0.930400,0.581408,1.391269,0.705392,0.937868,0.043466,0.154792,0.043466,0.009045,0
71,1.200024,1.193400,0.838048,1.127997,0.716789,0.954534,0.042238,0.155208,0.042238,0.009670,0
72,1.216691,0.920900,0.580160,0.988512,0.725858,0.959191,0.013841,0.040156,0.013841,0.008819,0
73,1.233358,1.180900,0.854080,1.105394,0.724265,0.949755,0.012674,0.031389,0.012674,0.007882,0
74,1.250025,0.921300,0.580736,0.963531,0.725735,0.958701,0.012043,0.029201,0.012043,0.006962,0
75,1.266692,0.929600,0.846464,0.941390,0.727451,0.961275,0.010853,0.026701,0.010853,0.007292,0
76,1.283359,1.115500,0.584096,0.926724,0.719485,0.962377,0.010845,0.029410,0.010845,0.006806,0
77,1.300026,0.948900,0.583968,0.886143,0.713113,0.968382,0.011516,0.027222,0.011516,0.006406,0
78,1.316693,1.363500,0.584736,0.915949,0.715196,0.966176,0.010455,0.026476,0.010455,0.007934,0
79,1.333360,0.943300,0.582176,0.920540,0.706127,0.963235,0.010584,0.026927,0.010584,0.006649,0
80,1.350027,1.232100,0.885536,0.930162,0.697181,0.961152,0.008823,0.019392,0.008823,0.007552,0
81,1.366694,0.937100,0.587584,0.949546,0.693015,0.956373,0.009296,0.016649,0.009296,0.006858,0
82,1.383361,1.358000,0.856320,0.942809,0.699020,0.954902,0.009535,0.019583,0.009535,0.008281,0
83,1.400028,0.949800,0.582432,0.945694,0.699632,0.957353,0.008924,0.015052,0.008924,0.005295,0
84,1.416695,1.192700,0.830592,0.942592,0.706740,0.959436,0.008964,0.017188,0.008964,0.006615,0
85,1.433362,0.921900,0.584896,0.970707,0.709314,0.951471,0.007990,0.015712,0.007990,0.005625,0
86,1.450029,0.922000,0.847968,0.962968,0.715074,0.958211,0.008403,0.014844,0.008403,0.007483,0
87,1.466696,0.949900,0.584416,0.978878,0.715074,0.956618,0.007596,0.013368,0.007596,0.005538,0
88,1.483363,0.935400,0.581504,0.967354,0.718015,0.957108,0.007797,0.014045,0.007797,0.007031,0
89,1.500030,0.827100,0.584640,0.981999,0.721078,0.950490,0.008221,0.015833,0.008221,0.006250,0
90,1.516697,1.072400,0.587808,1.008969,0.712377,0.948284,0.008605,0.015434,0.008605,0.006372,0
91,1.533364,1.286400,0.582976,1.028343,0.725858,0.946078,0.008736,0.015573,0.008736,0.007188,0
92,1.550031,1.116000,0.582560,1.009686,0.734069,0.950368,0.007776,0.014983,0.007776,0.006649,0
93,1.566698,1.283700,0.587072,0.976666,0.746078,0.956250,0.008088,0.015486,0.008088,0.007361,0
94,1.583365,0.932500,0.730336,1.008999,0.721691,0.952083,0.006707,0.014167,0.006707,0.004219,0
95,1.600032,1.072700,0.806880,1.005216,0.710907,0.954779,0.007276,0.013993,0.007276,0.005903,0
96,1.616699,0.932700,0.584448,0.994316,0.702941,0.957475,0.007305,0.014983,0.007305,0.005330,0
97,1.633366,1.220800,0.582048,0.998814,0.717770,0.952206,0.007577,0.014271,0.007577,0.006753,0
98,1.650033,0.939200,0.583104,1.002547,0.723284,0.954412,0.006684,0.015122,0.006684,0.003542,0
99,1.666700,0.934600,0.846784,1.008525,0.729779,0.952574,0.006757,0.014271,0.006757,0.005226,0
100,1.683367,1.045400,0.585216,1.019063,0.717402,0.946446,0.007130,0.014028,0.007130,0.005608,0
101,1.700034,0.986100,0.586912,1.035433,0.704167,0.945098,0.007303,0.014045,0.007303,0.005382,0
102,1.716701,1.096500,0.587744,1.040695,0.706005,0.948284,0.006973,0.013802,0.006973,0.004705,0
103,1.733368,0.938400,0.582624,1.047751,0.699387,0.944853,0.006530,0.013125,0.006530,0.004653,0
104,1.750035,1.157300,0.587328,1.042155,0.703064,0.946569,0.006892,0.013316,0.006892,0.006319,0
105,1.766702,0.928100,0.583104,1.038483,0.710417,0.949020,0.007228,0.013681,0.007228,0.005503,0
106,1.783369,1.326400,0.589760,1.020718,0.713113,0.950000,0.006933,0.013767,0.006933,0.005226,0
107,1.800036,0.981000,0.584608,1.005819,0.729167,0.950245,0.006634,0.014236,0.006634,0.005347,0
108,1.816703,1.543900,0.985504,0.995492,0.733088,0.949142,0.006937,0.013594,0.006937,0.006545,0
109,1.833370,0.972400,0.589568,0.988026,0.738971,0.947917,0.006468,0.013090,0.006468,0.005035,0
110,1.850037,1.241400,1.024128,1.003415,0.737990,0.950245,0.006659,0.013403,0.006659,0.005191,0
111,1.866704,1.050800,0.586688,1.015455,0.726103,0.947426,0.006960,0.013385,0.006960,0.005538,0
112,1.883371,1.311800,0.859680,1.042175,0.719608,0.937500,0.007243,0.013976,0.007243,0.007118,0
113,1.900038,1.016200,0.591136,1.050635,0.710294,0.936520,0.006213,0.013212,0.006213,0.005191,0
114,1.916705,1.303100,0.893184,1.050199,0.709681,0.938725,0.006497,0.015903,0.006497,0.004479,0
115,1.933372,1.009000,0.587168,1.063142,0.695833,0.936765,0.006618,0.016441,0.006618,0.006094,0
116,1.950039,1.186000,0.889952,1.069896,0.690686,0.934559,0.007668,0.019497,0.007668,0.006198,0
117,1.966706,1.100000,0.589760,1.090105,0.703064,0.932353,0.006750,0.012691,0.006750,0.005104,0
118,1.983373,0.980200,0.807712,1.094568,0.697426,0.933946,0.007666,0.015208,0.007666,0.006979,0
119,2.000040,0.829900,0.742336,1.114097,0.698162,0.930270,0.007338,0.016476,0.007338,0.005885,0
