frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,4.501583,2.736320,2.161566,0.590564,0.846078,0.007922,0.014271,0.007922,0.008993,0
17,0.300006,3.238133,2.713920,2.150550,0.595221,0.853309,0.008981,0.014826,0.008981,0.009462,0
18,0.316673,4.638981,2.745280,2.115463,0.597672,0.857108,0.008083,0.013194,0.008083,0.008681,0
19,0.333340,3.297765,2.734720,2.229403,0.590319,0.854412,0.010627,0.017604,0.010627,0.011042,0
20,0.350007,3.209960,2.755840,2.294066,0.586642,0.851348,0.010521,0.016476,0.010521,0.013802,0
21,0.366674,4.535286,2.757920,2.485040,0.595343,0.852574,0.009894,0.017726,0.009894,0.012066,0
22,0.383341,3.258432,2.713440,2.442595,0.591912,0.849632,0.009502,0.016215,0.009502,0.011215,0
23,0.400008,3.184573,2.747680,2.397476,0.586397,0.854044,0.009909,0.019167,0.009909,0.010764,0
24,0.416675,4.490984,2.735520,2.395863,0.590931,0.855515,0.009321,0.017847,0.009321,0.011441,0
25,0.433342,3.246710,2.758080,2.385252,0.593995,0.854167,0.009718,0.018420,0.009718,0.010920,0
26,0.450009,4.413568,2.744320,2.558372,0.590074,0.849877,0.008113,0.018351,0.008113,0.007865,0
27,0.466676,3.277507,2.729120,2.570694,0.592892,0.852451,0.008775,0.018160,0.008775,0.007326,0
28,0.483343,3.117807,2.743520,2.587079,0.587623,0.851103,0.008486,0.018420,0.008486,0.006858,0
29,0.500010,4.428326,2.749760,2.791595,0.599142,0.845956,0.008258,0.018125,0.008258,0.005330,0
30,0.516677,3.346647,2.722880,2.857676,0.586520,0.844730,0.009267,0.017899,0.009267,0.007795,0
31,0.533344,4.598305,2.752800,3.132741,0.589828,0.836765,0.010463,0.020382,0.010463,0.007170,0
32,0.550011,3.627834,2.746240,2.901862,0.593260,0.837990,0.012614,0.034427,0.012614,0.007622,0
33,0.566678,3.436545,2.756320,3.010597,0.588848,0.836642,0.013729,0.038490,0.013729,0.010156,0
34,0.583345,4.470324,2.750720,3.370501,0.597181,0.836397,0.014919,0.043472,0.014919,0.011615,0
35,0.600012,3.545570,2.754560,3.488960,0.597794,0.842647,0.014934,0.041389,0.014934,0.011962,0
36,0.616679,4.554773,2.738080,4.040216,0.581373,0.818382,0.015677,0.043403,0.015677,0.014062,0
37,0.633346,3.449801,2.735040,4.005287,0.578799,0.804657,0.015110,0.042830,0.015110,0.014132,0
38,0.650013,3.291223,2.744320,4.697836,0.559804,0.797059,0.015397,0.043003,0.015397,0.016267,0
39,0.666680,4.378893,2.734880,6.504646,0.554779,0.778554,0.015694,0.043819,0.015694,0.016181,0
40,0.683347,3.275845,2.759680,7.721999,0.538971,0.766912,0.015629,0.041701,0.015629,0.016163,0
41,0.700014,4.496504,2.757120,6.636384,0.533211,0.763603,0.014774,0.036979,0.014774,0.011684,0
42,0.716681,3.390159,2.739520,6.555144,0.526838,0.762010,0.014039,0.037135,0.014039,0.008872,0
43,0.733348,3.167401,2.761920,7.116763,0.520098,0.744363,0.015945,0.041806,0.015945,0.010712,0
44,0.750015,4.427294,2.756480,15.386597,0.507721,0.737990,0.016103,0.044931,0.016103,0.012031,0
45,0.766682,3.262459,2.773920,15.518554,0.524510,0.759191,0.018511,0.051753,0.018511,0.020139,0
46,0.783349,4.590309,2.757600,17.397841,0.518015,0.748039,0.025801,0.095937,0.025801,0.013889,0
47,0.800016,3.424283,2.760160,13.814814,0.525980,0.744363,0.038241,0.118628,0.038241,0.031528,0
48,0.816683,3.128197,2.767840,16.893407,0.508456,0.714093,0.015654,0.032014,0.015654,0.013247,0
49,0.833350,4.446430,2.763840,15.543151,0.487255,0.681005,0.015224,0.033767,0.015224,0.010642,0
50,0.850017,3.338842,2.742240,17.729931,0.447672,0.632475,0.014742,0.036510,0.014742,0.007795,0
51,0.866684,4.431091,2.772160,28.354932,0.415809,0.586642,0.015480,0.041597,0.015480,0.007795,0
52,0.883351,3.396941,2.769440,25.103070,0.392647,0.567892,0.016561,0.048455,0.016561,0.004792,0
53,0.900018,3.062524,2.771040,45.829060,0.363358,0.546446,0.044701,0.106458,0.044701,0.045608,0
54,0.916685,4.379354,2.754400,36.668863,0.350123,0.547426,0.053430,0.107222,0.053430,0.072865,0
55,0.933352,3.075799,2.690560,37.408949,0.335784,0.539216,0.100660,0.288559,0.100660,0.047934,0
56,0.950019,3.099383,2.623040,35.506324,0.293137,0.514706,0.095532,0.303559,0.095532,0.070191,0
57,0.966686,4.270850,2.561920,33.756817,0.282230,0.525245,0.123671,0.334479,0.123671,0.108646,0
58,0.983353,2.874622,2.518240,36.027818,0.261765,0.511029,0.159290,0.270677,0.159290,0.196389,0
59,1.000020,3.403153,2.509760,26.438804,0.269975,0.521201,0.123056,0.295747,0.123056,0.102535,0
60,1.016687,3.078995,2.507840,23.047981,0.262010,0.496936,0.134331,0.274062,0.134331,0.121667,0
61,1.033354,3.278269,2.490880,22.370321,0.250000,0.511887,0.112120,0.234497,0.112120,0.124792,0
62,1.050021,3.669162,2.489440,26.833107,0.256495,0.504534,0.096316,0.309028,0.096316,0.077309,0
63,1.066688,3.169875,2.487520,31.085715,0.292892,0.559436,0.106412,0.284340,0.106412,0.094896,0
64,1.083355,3.407621,2.524480,34.640976,0.350490,0.613113,0.102616,0.209653,0.102616,0.085903,0
65,1.100022,3.554136,2.584960,24.703116,0.445711,0.690441,0.087643,0.179479,0.087643,0.074826,0
66,1.116689,3.268000,2.580000,21.707460,0.475123,0.698407,0.091246,0.368333,0.091246,0.053663,0
67,1.133356,3.079807,2.600480,14.207023,0.511765,0.725735,0.101653,0.264653,0.101653,0.094705,0
68,1.150023,3.629207,2.625600,11.275483,0.559559,0.775735,0.094444,0.278524,0.094444,0.017188,0
69,1.166690,3.094223,2.611200,11.427412,0.577574,0.788725,0.056709,0.252413,0.056709,0.013646,0
70,1.183357,3.069828,2.626560,4.547723,0.619853,0.829534,0.043465,0.154462,0.043465,0.008872,0
71,1.200024,3.467814,2.631840,3.500456,0.625368,0.843382,0.042438,0.155556,0.042438,0.009774,0
72,1.216691,3.117688,2.603680,2.628548,0.634069,0.850000,0.013831,0.040851,0.013831,0.008247,0
73,1.233358,2.993936,2.629600,2.456958,0.640441,0.846569,0.012525,0.030955,0.012525,0.007535,0
74,1.250025,3.498522,2.631200,2.115863,0.648652,0.868137,0.012243,0.028611,0.012243,0.006962,0
75,1.266692,3.193480,2.629760,1.851486,0.649877,0.871814,0.010727,0.026406,0.010727,0.007743,0
76,1.283359,3.083373,2.636160,1.753269,0.644853,0.872549,0.010914,0.029375,0.010914,0.006736,0
77,1.300026,3.459839,2.643200,1.552387,0.644363,0.883211,0.011447,0.027396,0.011447,0.006285,0
78,1.316693,2.975521,2.614880,1.527987,0.645956,0.885784,0.010482,0.026562,0.010482,0.007778,0
79,1.333360,3.074276,2.634400,1.522431,0.641422,0.881863,0.010503,0.026111,0.010503,0.006684,0
80,1.350027,3.469177,2.642720,1.523591,0.631740,0.884681,0.009072,0.019792,0.009072,0.007604,0
81,1.366694,3.098051,2.622240,1.605477,0.621078,0.874632,0.009132,0.016250,0.009132,0.007014,0
82,1.383361,3.087961,2.630080,1.539316,0.623039,0.872794,0.009562,0.019271,0.009562,0.008229,0
83,1.400028,3.488222,2.640480,1.587289,0.628309,0.867279,0.009028,0.015000,0.009028,0.005191,0
