frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.386300,0.860832,1.392276,0.647181,0.911520,0.007936,0.014531,0.007936,0.009028,0
17,0.300006,0.983100,0.633728,1.342765,0.653554,0.918750,0.009074,0.015434,0.009074,0.009740,0
18,0.316673,1.353400,0.939296,1.355299,0.662255,0.918260,0.007863,0.013368,0.007863,0.008437,0
19,0.333340,0.989600,0.637952,1.366367,0.659926,0.924142,0.010799,0.017465,0.010799,0.011233,0
20,0.350007,1.312300,0.914912,1.391606,0.656495,0.922672,0.010367,0.016476,0.010367,0.013889,0
21,0.366674,1.004300,0.630720,1.373108,0.664583,0.926348,0.010044,0.018056,0.010044,0.011615,0
22,0.383341,1.370000,0.948576,1.370270,0.664338,0.930515,0.009437,0.016024,0.009437,0.011111,0
23,0.400008,0.973900,0.632320,1.320231,0.664583,0.934804,0.009878,0.018837,0.009878,0.011042,0
24,0.416675,1.266500,0.947968,1.357598,0.660784,0.931740,0.009325,0.017830,0.009325,0.011441,0
25,0.433342,0.994200,0.638464,1.427648,0.667034,0.931495,0.009583,0.017674,0.009583,0.010712,0
26,0.450009,1.226700,0.831392,1.467078,0.663480,0.929289,0.008231,0.018958,0.008231,0.008090,0
27,0.466676,1.161400,0.631712,1.525022,0.663603,0.928554,0.008696,0.017760,0.008696,0.007222,0
28,0.483343,1.394700,0.646400,1.446416,0.659681,0.929167,0.008532,0.018490,0.008532,0.006563,0
29,0.500010,1.018700,0.804288,1.420898,0.674510,0.932843,0.008347,0.018108,0.008347,0.005521,0
30,0.516677,1.175800,0.951648,1.433543,0.671078,0.935172,0.009074,0.017708,0.009074,0.006788,0
31,0.533344,1.282100,0.819200,1.612380,0.671569,0.928064,0.010700,0.020243,0.010700,0.007118,0
32,0.550011,0.963400,0.780512,1.693534,0.671201,0.923652,0.012477,0.034063,0.012477,0.007656,0
33,0.566678,1.352300,0.642432,1.803412,0.667525,0.922549,0.013750,0.038212,0.013750,0.010052,0
34,0.583345,0.965000,0.632992,1.878115,0.668505,0.919608,0.014873,0.043437,0.014873,0.011563,0
35,0.600012,1.233400,0.921696,1.998164,0.671691,0.917402,0.014934,0.041181,0.014934,0.011997,0
36,0.616679,1.054300,0.633120,1.889346,0.669975,0.918995,0.015750,0.043403,0.015750,0.014184,0
37,0.633346,1.290000,0.887040,2.244426,0.655760,0.901103,0.015058,0.042917,0.015058,0.014115,0
38,0.650013,0.981700,0.634432,2.604235,0.635539,0.888235,0.015341,0.042708,0.015341,0.015990,0
39,0.666680,1.187700,0.856960,3.147329,0.623039,0.860294,0.015633,0.043854,0.015633,0.016198,0
