frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.135900,0.825184,1.906950,0.616054,0.875000,0.007936,0.014531,0.007936,0.009028,0
17,0.300006,0.969000,0.632288,1.790824,0.628676,0.892770,0.009074,0.015434,0.009074,0.009740,0
18,0.316673,1.280700,0.640384,1.882396,0.633456,0.884681,0.007863,0.013368,0.007863,0.008437,0
19,0.333340,0.947200,0.636640,1.919057,0.623039,0.884191,0.010799,0.017465,0.010799,0.011233,0
20,0.350007,1.338000,0.915424,2.015997,0.616667,0.881005,0.010367,0.016476,0.010367,0.013889,0
21,0.366674,1.014700,0.629312,1.867568,0.629657,0.886275,0.010044,0.018056,0.010044,0.011615,0
22,0.383341,1.394400,0.953952,1.955156,0.619485,0.882598,0.009437,0.016024,0.009437,0.011111,0
23,0.400008,0.950000,0.630112,1.787653,0.627206,0.897304,0.009878,0.018837,0.009878,0.011042,0
24,0.416675,1.294300,0.954752,2.058772,0.618627,0.882721,0.009325,0.017830,0.009325,0.011441,0
25,0.433342,0.976800,0.637888,2.023321,0.627083,0.887132,0.009583,0.017674,0.009583,0.010712,0
26,0.450009,1.293400,0.650208,2.058322,0.623039,0.890564,0.008231,0.018958,0.008231,0.008090,0
27,0.466676,0.993500,0.631072,2.233790,0.619608,0.882721,0.008696,0.017760,0.008696,0.007222,0
28,0.483343,1.215500,0.927136,2.043929,0.628554,0.889338,0.008532,0.018490,0.008532,0.006563,0
29,0.500010,0.846700,0.629792,2.033519,0.640931,0.894608,0.008347,0.018108,0.008347,0.005521,0
30,0.516677,1.240800,0.821664,2.084432,0.637377,0.898162,0.009074,0.017708,0.009074,0.006788,0
31,0.533344,0.974100,0.637152,2.461718,0.624142,0.875490,0.010700,0.020243,0.010700,0.007118,0
32,0.550011,1.258300,0.630176,2.155207,0.637132,0.883701,0.012477,0.034063,0.012477,0.007656,0
33,0.566678,0.973100,0.637888,2.447633,0.627451,0.876225,0.013750,0.038212,0.013750,0.010052,0
34,0.583345,1.260300,0.628672,2.891957,0.621324,0.865074,0.014873,0.043437,0.014873,0.011563,0
35,0.600012,0.998100,0.630528,2.912635,0.621446,0.859926,0.014934,0.041181,0.014934,0.011997,0
36,0.616679,1.427100,0.633280,3.017776,0.611765,0.856740,0.015750,0.043403,0.015750,0.014184,0
37,0.633346,1.109300,0.633152,3.279237,0.599142,0.830270,0.015058,0.042917,0.015058,0.014115,0
38,0.650013,1.378100,0.959648,3.912169,0.581618,0.817279,0.015341,0.042708,0.015341,0.015990,0
