frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,3.288668,2.686720,1.173169,0.661397,0.926838,0.007922,0.014271,0.007922,0.008993,0
17,0.300006,4.221358,2.701920,1.192025,0.661642,0.932475,0.008981,0.014826,0.008981,0.009462,0
18,0.316673,3.110554,2.656320,1.182397,0.672181,0.933946,0.008083,0.013194,0.008083,0.008681,0
19,0.333340,4.645353,2.684000,1.232942,0.663848,0.934191,0.010627,0.017604,0.010627,0.011042,0
20,0.350007,3.317392,2.711520,1.218929,0.661520,0.936275,0.010521,0.016476,0.010521,0.013802,0
21,0.366674,3.164285,2.704160,1.130572,0.678064,0.945221,0.009894,0.017726,0.009894,0.012066,0
22,0.383341,4.380015,2.684480,1.169351,0.663848,0.938358,0.009502,0.016215,0.009502,0.011215,0
23,0.400008,3.220941,2.674560,1.092749,0.673775,0.948775,0.009909,0.019167,0.009909,0.010764,0
24,0.416675,3.182589,2.695360,1.349302,0.662745,0.935417,0.009321,0.017847,0.009321,0.011441,0
25,0.433342,4.330572,2.705440,1.297274,0.674632,0.944608,0.009718,0.018420,0.009718,0.010920,0
26,0.450009,3.183020,2.686560,1.212772,0.670588,0.944730,0.008113,0.018351,0.008113,0.007865,0
27,0.466676,4.275149,2.689120,1.394742,0.662132,0.931985,0.008775,0.018160,0.008775,0.007326,0
28,0.483343,3.145871,2.685920,1.343545,0.661520,0.933456,0.008486,0.018420,0.008486,0.006858,0
29,0.500010,3.197707,2.685920,1.273337,0.682230,0.942402,0.008258,0.018125,0.008258,0.005330,0
30,0.516677,4.400734,2.700160,1.348337,0.680637,0.942770,0.009267,0.017899,0.009267,0.007795,0
31,0.533344,3.528618,2.676480,1.455818,0.678554,0.932353,0.010463,0.020382,0.010463,0.007170,0
32,0.550011,5.004517,2.696320,1.382364,0.682598,0.931863,0.012614,0.034427,0.012614,0.007622,0
33,0.566678,3.316219,2.696800,1.497983,0.675245,0.926716,0.013729,0.038490,0.013729,0.010156,0
34,0.583345,3.450011,2.694720,1.757493,0.667034,0.916422,0.014919,0.043472,0.014919,0.011615,0
35,0.600012,4.285398,2.720320,1.889962,0.660417,0.906740,0.014934,0.041389,0.014934,0.011962,0
36,0.616679,3.234847,2.662080,1.843440,0.659069,0.908333,0.015677,0.043403,0.015677,0.014062,0
37,0.633346,4.648388,2.698400,4.298381,0.625123,0.859314,0.015110,0.042830,0.015110,0.014132,0
38,0.650013,3.226531,2.689920,2.387700,0.625613,0.877574,0.015397,0.043003,0.015397,0.016267,0
39,0.666680,3.143546,2.708960,7.736203,0.596814,0.827206,0.015694,0.043819,0.015694,0.016181,0
40,0.683347,4.289635,2.706080,8.984033,0.573529,0.799755,0.015629,0.041701,0.015629,0.016163,0
41,0.700014,3.202427,2.667680,2.354127,0.627941,0.878554,0.014774,0.036979,0.014774,0.011684,0
42,0.716681,3.261317,2.711520,2.818516,0.622059,0.870221,0.014039,0.037135,0.014039,0.008872,0
43,0.733348,4.316185,2.702400,10.392562,0.540931,0.754534,0.015945,0.041806,0.015945,0.010712,0
44,0.750015,3.183541,2.711520,15.159724,0.476593,0.673775,0.016103,0.044931,0.016103,0.012031,0
45,0.766682,4.454736,2.730560,38.698417,0.448529,0.633824,0.018511,0.051753,0.018511,0.020139,0
46,0.783349,3.255596,2.690720,40.581484,0.442892,0.637132,0.025801,0.095937,0.025801,0.013889,0
47,0.800016,3.247391,2.732480,53.185971,0.448775,0.633088,0.038241,0.118628,0.038241,0.031528,0
48,0.816683,4.290738,2.709760,52.170085,0.449387,0.657108,0.015654,0.032014,0.015654,0.013247,0
49,0.833350,3.234357,2.679040,54.588376,0.411520,0.590686,0.015224,0.033767,0.015224,0.010642,0
50,0.850017,4.699143,2.718080,63.887091,0.407230,0.584069,0.014742,0.036510,0.014742,0.007795,0
51,0.866684,3.333362,2.710880,185.587140,0.314583,0.443260,0.015480,0.041597,0.015480,0.007795,0
52,0.883351,3.158194,2.731520,31.936734,0.372549,0.527574,0.016561,0.048455,0.016561,0.004792,0
53,0.900018,4.286610,2.723680,65.198413,0.389706,0.543505,0.044701,0.106458,0.044701,0.045608,0
54,0.916685,3.063426,2.678080,39.220832,0.376838,0.562745,0.053430,0.107222,0.053430,0.072865,0
55,0.933352,3.015926,2.652640,68.215403,0.259314,0.401225,0.100660,0.288559,0.100660,0.047934,0
56,0.950019,4.069212,2.565760,53.452450,0.225735,0.385294,0.095532,0.303559,0.095532,0.070191,0
57,0.966686,2.908705,2.498400,42.846221,0.236275,0.420466,0.123671,0.334479,0.123671,0.108646,0
58,0.983353,2.832804,2.469760,58.057267,0.207721,0.354534,0.159290,0.270677,0.159290,0.196389,0
59,1.000020,4.039907,2.458080,50.188441,0.200613,0.385049,0.123056,0.295747,0.123056,0.102535,0
60,1.016687,2.947939,2.455680,56.980032,0.203922,0.381005,0.134331,0.274062,0.134331,0.121667,0
61,1.033354,3.831125,2.430080,52.093457,0.218015,0.413971,0.112120,0.234497,0.112120,0.124792,0
62,1.050021,3.298837,2.427040,36.529476,0.241176,0.444730,0.096316,0.309028,0.096316,0.077309,0
63,1.066688,3.132426,2.448160,32.217987,0.317157,0.565319,0.106412,0.284340,0.106412,0.094896,0
64,1.083355,3.340735,2.456480,51.759980,0.325368,0.520098,0.102616,0.209653,0.102616,0.085903,0
65,1.100022,3.206313,2.517120,15.293342,0.474755,0.720221,0.087643,0.179479,0.087643,0.074826,0
66,1.116689,3.319395,2.542720,21.166595,0.502083,0.714828,0.091246,0.368333,0.091246,0.053663,0
67,1.133356,3.482301,2.559840,12.403482,0.558456,0.775123,0.101653,0.264653,0.101653,0.094705,0
68,1.150023,2.938481,2.560800,7.811425,0.611520,0.835172,0.094444,0.278524,0.094444,0.017188,0
69,1.166690,3.034492,2.587360,3.762711,0.679289,0.913358,0.056709,0.252413,0.056709,0.013646,0
70,1.183357,3.495316,2.587200,1.179797,0.713725,0.946936,0.043465,0.154462,0.043465,0.008872,0
71,1.200024,3.017310,2.577920,1.091957,0.721078,0.956618,0.042438,0.155556,0.042438,0.009774,0
72,1.216691,3.033039,2.575040,1.311383,0.717157,0.946201,0.013831,0.040851,0.013831,0.008247,0
73,1.233358,3.352408,2.574560,1.456896,0.715564,0.936642,0.012525,0.030955,0.012525,0.007535,0
74,1.250025,3.023421,2.564480,0.950216,0.731495,0.962623,0.012243,0.028611,0.012243,0.006962,0
75,1.266692,3.023781,2.594560,1.001492,0.727451,0.958088,0.010727,0.026406,0.010727,0.007743,0
76,1.283359,3.338331,2.584800,0.967035,0.718382,0.958824,0.010914,0.029375,0.010914,0.006736,0
77,1.300026,3.050151,2.569920,0.883853,0.716667,0.969240,0.011447,0.027396,0.011447,0.006285,0
78,1.316693,2.910108,2.582880,0.901974,0.716176,0.967279,0.010482,0.026562,0.010482,0.007778,0
79,1.333360,3.361244,2.593440,0.894096,0.710417,0.967647,0.010503,0.026111,0.010503,0.006684,0
80,1.350027,3.051233,2.593440,0.905739,0.700490,0.968382,0.009072,0.019792,0.009072,0.007604,0
81,1.366694,3.066291,2.598080,0.952956,0.692892,0.957966,0.009132,0.016250,0.009132,0.007014,0
82,1.383361,3.342830,2.592000,0.918447,0.703064,0.959314,0.009562,0.019271,0.009562,0.008229,0
83,1.400028,2.933922,2.600160,0.930123,0.705392,0.961397,0.009028,0.015000,0.009028,0.005191,0
84,1.416695,3.053647,2.592320,0.931268,0.709681,0.964706,0.008816,0.016563,0.008816,0.006649,0
85,1.433362,3.522386,2.619200,0.933662,0.716789,0.960417,0.008057,0.014757,0.008057,0.005903,0
86,1.450029,3.064147,2.604640,0.943783,0.716912,0.963480,0.008451,0.015104,0.008451,0.008056,0
87,1.466696,3.108240,2.612320,0.956111,0.722917,0.962990,0.007685,0.013490,0.007685,0.006198,0
88,1.483363,3.513199,2.604000,0.927822,0.726103,0.964216,0.007826,0.014045,0.007826,0.006910,0
89,1.500030,3.066602,2.620480,0.946775,0.726225,0.958824,0.008160,0.015660,0.008160,0.006267,0
90,1.516697,3.203088,2.617760,0.943451,0.719975,0.957230,0.008480,0.015208,0.008480,0.005903,0
91,1.533364,3.470890,2.616320,0.927553,0.732843,0.955882,0.008767,0.015399,0.008767,0.007309,0
92,1.550031,3.443940,2.599200,0.925625,0.744485,0.959926,0.007527,0.015122,0.007527,0.006597,0
93,1.566698,3.162000,2.622240,0.937500,0.744363,0.958088,0.008081,0.015625,0.008081,0.007656,0
