frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,3.308626,2.759040,1.259468,0.656250,0.924265,0.007922,0.014271,0.007922,0.008993,0
17,0.300006,4.415662,2.783680,1.241056,0.658824,0.927328,0.008981,0.014826,0.008981,0.009462,0
18,0.316673,3.161670,2.756320,1.278780,0.665074,0.925000,0.008083,0.013194,0.008083,0.008681,0
19,0.333340,4.349799,2.778240,1.312111,0.658578,0.925735,0.010627,0.017604,0.010627,0.011042,0
20,0.350007,3.310409,2.768320,1.268932,0.658824,0.929412,0.010521,0.016476,0.010521,0.013802,0
21,0.366674,3.263691,2.772160,1.228117,0.671936,0.936029,0.009894,0.017726,0.009894,0.012066,0
22,0.383341,4.417155,2.765440,1.221950,0.672672,0.938113,0.009502,0.016215,0.009502,0.011215,0
23,0.400008,3.121254,2.782240,1.192293,0.670711,0.940931,0.009909,0.019167,0.009909,0.010764,0
24,0.416675,3.282085,2.771360,1.337422,0.663113,0.931250,0.009321,0.017847,0.009321,0.011441,0
25,0.433342,4.416624,2.757440,1.360025,0.667402,0.933211,0.009718,0.018420,0.009718,0.010920,0
26,0.450009,3.233424,2.763040,1.451705,0.661765,0.927819,0.008113,0.018351,0.008113,0.007865,0
27,0.466676,4.477959,2.768480,1.531903,0.663725,0.928309,0.008775,0.018160,0.008775,0.007326,0
28,0.483343,3.162912,2.744640,1.478060,0.656863,0.925613,0.008486,0.018420,0.008486,0.006858,0
29,0.500010,3.262799,2.771360,1.451554,0.675735,0.929412,0.008258,0.018125,0.008258,0.005330,0
30,0.516677,4.448674,2.780320,1.457833,0.672549,0.931740,0.009267,0.017899,0.009267,0.007795,0
31,0.533344,3.532957,2.731520,1.479906,0.675735,0.926348,0.010463,0.020382,0.010463,0.007170,0
32,0.550011,4.468661,2.773760,1.521407,0.672304,0.926716,0.012614,0.034427,0.012614,0.007622,0
33,0.566678,3.488473,2.770560,1.704234,0.663358,0.915074,0.013729,0.038490,0.013729,0.010156,0
34,0.583345,3.646079,2.766240,1.941065,0.657966,0.901471,0.014919,0.043472,0.014919,0.011615,0
35,0.600012,4.434056,2.788960,2.096955,0.659436,0.900735,0.014934,0.041389,0.014934,0.011962,0
36,0.616679,3.320758,2.760000,2.149516,0.651593,0.898162,0.015677,0.043403,0.015677,0.014062,0
37,0.633346,4.677413,2.774080,2.265923,0.639338,0.881250,0.015110,0.042830,0.015110,0.014132,0
38,0.650013,3.263812,2.750560,2.398798,0.618995,0.865931,0.015397,0.043003,0.015397,0.016267,0
39,0.666680,3.373027,2.780800,4.794312,0.610907,0.843137,0.015694,0.043819,0.015694,0.016181,0
40,0.683347,4.350239,2.768480,7.147303,0.586029,0.815196,0.015629,0.041701,0.015629,0.016163,0
