frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,1.335200,1.017120,1.386349,0.650858,0.914461,0.007936,0.014531,0.007936,0.009028,0
17,0.300006,1.024300,0.699520,1.337068,0.654657,0.921446,0.009074,0.015434,0.009074,0.009740,0
18,0.316673,1.098500,0.692448,1.348207,0.666054,0.921201,0.007863,0.013368,0.007863,0.008437,0
19,0.333340,1.033400,0.693632,1.333678,0.662010,0.925490,0.010799,0.017465,0.010799,0.011233,0
20,0.350007,1.144900,0.697280,1.347664,0.657230,0.923775,0.010367,0.016476,0.010367,0.013889,0
21,0.366674,1.030000,0.690432,1.363362,0.663113,0.925123,0.010044,0.018056,0.010044,0.011615,0
22,0.383341,1.328300,0.698400,1.348570,0.666299,0.931618,0.009437,0.016024,0.009437,0.011111,0
23,0.400008,1.028900,0.692928,1.255285,0.671936,0.941422,0.009878,0.018837,0.009878,0.011042,0
24,0.416675,1.375100,1.010912,1.358950,0.667770,0.938603,0.009325,0.017830,0.009325,0.011441,0
25,0.433342,1.038700,0.696704,1.334379,0.676716,0.942034,0.009583,0.017674,0.009583,0.010712,0
26,0.450009,1.286800,1.007872,1.458274,0.667647,0.934191,0.008231,0.018958,0.008231,0.008090,0
27,0.466676,1.061000,0.694496,1.465640,0.670098,0.936275,0.008696,0.017760,0.008696,0.007222,0
28,0.483343,1.356700,0.954368,1.431332,0.663235,0.932843,0.008532,0.018490,0.008532,0.006563,0
29,0.500010,1.145200,0.693280,1.363515,0.680025,0.940809,0.008347,0.018108,0.008347,0.005521,0
30,0.516677,1.668200,0.691040,1.530511,0.671814,0.936397,0.009074,0.017708,0.009074,0.006788,0
31,0.533344,1.392800,0.891840,1.620066,0.674510,0.932843,0.010700,0.020243,0.010700,0.007118,0
32,0.550011,1.034500,1.129376,1.633022,0.675123,0.930637,0.012477,0.034063,0.012477,0.007656,0
33,0.566678,1.308300,0.888672,1.831860,0.670588,0.925245,0.013750,0.038212,0.013750,0.010052,0
34,0.583345,1.058500,0.706432,1.926119,0.673039,0.923407,0.014873,0.043437,0.014873,0.011563,0
35,0.600012,1.201800,0.698560,1.918501,0.677206,0.925368,0.014934,0.041181,0.014934,0.011997,0
36,0.616679,1.057700,0.699360,1.972467,0.671201,0.922059,0.015750,0.043403,0.015750,0.014184,0
37,0.633346,1.218500,0.711040,2.375131,0.657966,0.904289,0.015058,0.042917,0.015058,0.014115,0
38,0.650013,1.039500,0.697920,2.604893,0.653186,0.906618,0.015341,0.042708,0.015341,0.015990,0
39,0.666680,1.303700,0.694944,2.918742,0.648407,0.893137,0.015633,0.043854,0.015633,0.016198,0
40,0.683347,1.031200,0.702304,3.908726,0.634804,0.885539,0.015544,0.041267,0.015544,0.016198,0
41,0.700014,1.238100,0.701760,4.845240,0.619240,0.870711,0.014715,0.036788,0.014715,0.011441,0
42,0.716681,1.057900,0.698304,5.033390,0.618750,0.861765,0.014072,0.037587,0.014072,0.008941,0
43,0.733348,1.354300,0.700768,5.395166,0.584681,0.832353,0.015939,0.041493,0.015939,0.010747,0
44,0.750015,1.032700,0.701536,7.313150,0.561765,0.814461,0.016136,0.044844,0.016136,0.012257,0
45,0.766682,1.346000,1.002304,12.021850,0.551348,0.784926,0.018447,0.051563,0.018447,0.020017,0
46,0.783349,1.027300,0.700416,20.449450,0.502328,0.715319,0.025812,0.095694,0.025812,0.013924,0
47,0.800016,1.347100,0.987232,13.497230,0.529779,0.744240,0.038073,0.118490,0.038073,0.031701,0
48,0.816683,1.062500,0.701984,10.194802,0.542034,0.762377,0.015608,0.032031,0.015608,0.012604,0
49,0.833350,1.150700,1.022208,11.667804,0.524265,0.723407,0.015102,0.033559,0.015102,0.011007,0
50,0.850017,1.074900,0.705216,13.780716,0.502696,0.696078,0.014612,0.035937,0.014612,0.007674,0
51,0.866684,1.240700,0.699744,24.129087,0.468260,0.653922,0.015563,0.042240,0.015563,0.007639,0
52,0.883351,1.032700,0.705536,31.004593,0.421814,0.590196,0.016576,0.048437,0.016576,0.004844,0
53,0.900018,1.427000,0.701984,32.429932,0.419363,0.606985,0.044747,0.106215,0.044747,0.045747,0
54,0.916685,1.272100,0.703840,30.529096,0.389461,0.603309,0.053364,0.107187,0.053364,0.072535,0
55,0.933352,1.162900,0.696352,25.098638,0.373529,0.599632,0.100617,0.288524,0.100617,0.047778,0
56,0.950019,0.996600,0.684864,33.081459,0.316912,0.533824,0.095419,0.303160,0.095419,0.069497,0
57,0.966686,1.189800,0.695968,24.572821,0.314706,0.570343,0.123590,0.333802,0.123590,0.108472,0
58,0.983353,1.162200,0.660032,28.591242,0.272059,0.522672,0.159223,0.270868,0.159223,0.196181,0
59,1.000020,0.912500,0.660992,30.267550,0.263848,0.497794,0.123038,0.295781,0.123038,0.102448,0
60,1.016687,1.278800,0.808768,32.097961,0.263725,0.500858,0.134261,0.273889,0.134261,0.121771,0
61,1.033354,1.062600,0.674464,33.544104,0.248284,0.494853,0.112145,0.234705,0.112145,0.124670,0
62,1.050021,1.047800,0.662080,30.450003,0.256495,0.498775,0.096244,0.309045,0.096244,0.077014,0
63,1.066688,1.122400,0.672896,30.049738,0.320343,0.596936,0.106460,0.284392,0.106460,0.095347,0
64,1.083355,1.043500,0.672352,23.855262,0.393873,0.674632,0.102672,0.210278,0.102672,0.085799,0
65,1.100022,1.032600,0.682208,16.436993,0.488235,0.746569,0.087903,0.179983,0.087903,0.075382,0
66,1.116689,1.254000,0.680896,15.911814,0.523039,0.757353,0.091132,0.368750,0.091132,0.053073,0
67,1.133356,1.037900,0.695904,11.118288,0.577451,0.797672,0.101865,0.264809,0.101865,0.094687,0
68,1.150023,1.224400,0.698784,7.828168,0.617770,0.852083,0.094433,0.278368,0.094433,0.017187,0
69,1.166690,1.064200,0.696864,6.633950,0.664216,0.888848,0.056752,0.252517,0.056752,0.014045,0
70,1.183357,1.167200,0.696096,1.409523,0.707598,0.942402,0.043466,0.154792,0.043466,0.009045,0
71,1.200024,1.025600,0.694080,1.213570,0.717770,0.952574,0.042238,0.155208,0.042238,0.009670,0
72,1.216691,1.181100,0.696640,1.050272,0.723775,0.957721,0.013841,0.040156,0.013841,0.008819,0
73,1.233358,1.038100,0.693376,0.993742,0.728922,0.957843,0.012674,0.031389,0.012674,0.007882,0
74,1.250025,1.444400,0.693984,0.862847,0.732721,0.968260,0.012043,0.029201,0.012043,0.006962,0
75,1.266692,1.443700,0.695136,0.913381,0.729779,0.963358,0.010853,0.026701,0.010853,0.007292,0
76,1.283359,1.084100,0.998592,0.926952,0.719853,0.962868,0.010845,0.029410,0.010845,0.006806,0
77,1.300026,1.056000,1.002176,0.894436,0.713480,0.967647,0.011516,0.027222,0.011516,0.006406,0
78,1.316693,1.232400,0.695936,0.902430,0.716422,0.967647,0.010455,0.026476,0.010455,0.007934,0
79,1.333360,1.036900,0.700064,0.918835,0.706863,0.963235,0.010584,0.026927,0.010584,0.006649,0
80,1.350027,1.289800,0.700192,0.927367,0.698039,0.961887,0.008823,0.019392,0.008823,0.007552,0
81,1.366694,1.046400,0.694912,0.947259,0.693382,0.956250,0.009296,0.016649,0.009296,0.006858,0
82,1.383361,1.156000,0.705024,0.933682,0.700490,0.955515,0.009535,0.019583,0.009535,0.008281,0
83,1.400028,1.066500,0.697088,0.951836,0.700980,0.956250,0.008924,0.015052,0.008924,0.005295,0
84,1.416695,1.309200,0.704864,0.950616,0.706618,0.958824,0.008964,0.017188,0.008964,0.006615,0
85,1.433362,1.026600,0.698464,0.969911,0.709191,0.951593,0.007990,0.015712,0.007990,0.005625,0
86,1.450029,1.460800,0.696608,0.971292,0.714093,0.957475,0.008403,0.014844,0.008403,0.007483,0
87,1.466696,1.060300,0.697472,0.979164,0.715931,0.956863,0.007596,0.013368,0.007596,0.005538,0
88,1.483363,1.349300,1.003872,0.963792,0.719240,0.957230,0.007797,0.014045,0.007797,0.007031,0
89,1.500030,1.172300,0.694720,0.969559,0.722794,0.952574,0.008221,0.015833,0.008221,0.006250,0
90,1.516697,1.178800,0.698208,1.003848,0.713971,0.949020,0.008605,0.015434,0.008605,0.006372,0
91,1.533364,1.276300,0.956288,1.001018,0.726716,0.947059,0.008736,0.015573,0.008736,0.007188,0
92,1.550031,1.029800,0.702144,0.997069,0.734559,0.949877,0.007776,0.014983,0.007776,0.006649,0
93,1.566698,1.328900,0.925152,0.973375,0.744730,0.955637,0.008088,0.015486,0.008088,0.007361,0
94,1.583365,1.046100,0.696224,0.994723,0.723162,0.953186,0.006707,0.014167,0.006707,0.004219,0
95,1.600032,1.310900,0.965888,1.007709,0.711152,0.954167,0.007276,0.013993,0.007276,0.005903,0
96,1.616699,1.059200,0.696032,1.007769,0.702574,0.956005,0.007305,0.014983,0.007305,0.005330,0
97,1.633366,1.222400,0.971200,1.015442,0.717892,0.950490,0.007577,0.014271,0.007577,0.006753,0
98,1.650033,1.157300,0.695296,1.007838,0.724265,0.953922,0.006684,0.015122,0.006684,0.003542,0
99,1.666700,1.344800,0.898016,1.016814,0.730147,0.951838,0.006757,0.014271,0.006757,0.005226,0
100,1.683367,1.028200,0.842272,1.038655,0.717034,0.944608,0.007130,0.014028,0.007130,0.005608,0
101,1.700034,1.460000,0.991200,1.065293,0.703309,0.944608,0.007303,0.014045,0.007303,0.005382,0
102,1.716701,1.034900,0.700096,1.058592,0.704657,0.948162,0.006973,0.013802,0.006973,0.004705,0
103,1.733368,1.129600,1.135744,1.069696,0.700000,0.943750,0.006530,0.013125,0.006530,0.004653,0
104,1.750035,1.027300,0.697440,1.053884,0.702451,0.946078,0.006892,0.013316,0.006892,0.006319,0
105,1.766702,1.303100,0.698080,1.042171,0.710417,0.948775,0.007228,0.013681,0.007228,0.005503,0
