frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,3.316601,2.755520,2.461288,0.434436,0.719363,0.007922,0.014271,0.007922,0.008993,0
17,0.300006,4.317899,2.773120,2.586542,0.427696,0.719240,0.008981,0.014826,0.008981,0.009462,0
18,0.316673,3.138957,2.741120,2.649937,0.426838,0.718260,0.008083,0.013194,0.008083,0.008681,0
19,0.333340,3.426216,2.770400,2.774612,0.420711,0.720833,0.010627,0.017604,0.010627,0.011042,0
20,0.350007,4.390696,2.780160,2.808937,0.406495,0.721078,0.010521,0.016476,0.010521,0.013802,0
21,0.366674,3.297785,2.895840,2.937087,0.408211,0.708578,0.009894,0.017726,0.009894,0.012066,0
22,0.383341,4.470124,2.759360,3.011417,0.415809,0.710662,0.009502,0.016215,0.009502,0.011215,0
23,0.400008,3.188400,2.758400,3.026811,0.403922,0.710907,0.009909,0.019167,0.009909,0.010764,0
24,0.416675,3.186216,2.763040,3.046015,0.403676,0.718995,0.009321,0.017847,0.009321,0.011441,0
25,0.433342,4.451079,2.778720,3.034677,0.400000,0.719485,0.009718,0.018420,0.009718,0.010920,0
26,0.450009,3.217114,2.737760,3.166870,0.395711,0.718015,0.008113,0.018351,0.008113,0.007865,0
27,0.466676,4.412326,2.773760,3.321987,0.388480,0.706373,0.008775,0.018160,0.008775,0.007326,0
28,0.483343,3.177370,2.760160,3.403304,0.388603,0.700000,0.008486,0.018420,0.008486,0.006858,0
29,0.500010,3.238685,2.762880,3.491423,0.378676,0.689828,0.008258,0.018125,0.008258,0.005330,0
30,0.516677,4.500301,2.792160,3.310419,0.374510,0.683578,0.009267,0.017899,0.009267,0.007795,0
31,0.533344,3.475369,2.749920,3.435663,0.374877,0.675123,0.010463,0.020382,0.010463,0.007170,0
32,0.550011,5.190646,2.771040,3.507264,0.376838,0.672917,0.012614,0.034427,0.012614,0.007622,0
33,0.566678,3.495807,2.757120,3.640246,0.366299,0.667647,0.013729,0.038490,0.013729,0.010156,0
34,0.583345,3.628315,2.763520,3.977059,0.362500,0.654289,0.014919,0.043472,0.014919,0.011615,0
35,0.600012,4.420351,2.800320,4.274162,0.355392,0.643995,0.014934,0.041389,0.014934,0.011962,0
36,0.616679,3.254384,2.766400,4.919799,0.343382,0.629412,0.015677,0.043403,0.015677,0.014062,0
37,0.633346,4.544484,2.765120,6.113983,0.338480,0.614216,0.015110,0.042830,0.015110,0.014132,0
38,0.650013,3.178551,2.755360,7.374572,0.322549,0.602206,0.015397,0.043003,0.015397,0.016267,0
39,0.666680,3.212205,2.779840,8.777476,0.319363,0.588480,0.015694,0.043819,0.015694,0.016181,0
40,0.683347,4.433766,2.789120,10.534133,0.311642,0.576471,0.015629,0.041701,0.015629,0.016163,0
41,0.700014,3.268510,2.745280,12.189013,0.299020,0.556005,0.014774,0.036979,0.014774,0.011684,0
42,0.716681,4.511261,2.778720,14.308175,0.291667,0.535049,0.014039,0.037135,0.014039,0.008872,0
43,0.733348,3.174935,2.783520,16.874109,0.276348,0.521936,0.015945,0.041806,0.015945,0.010712,0
44,0.750015,3.255115,2.789760,19.366623,0.263113,0.501471,0.016103,0.044931,0.016103,0.012031,0
45,0.766682,4.500220,2.799040,21.133302,0.252941,0.486520,0.018511,0.051753,0.018511,0.020139,0
46,0.783349,3.252480,2.774080,15.049551,0.248407,0.474020,0.025801,0.095937,0.025801,0.013889,0
47,0.800016,3.296253,2.794560,17.144157,0.233456,0.454412,0.038241,0.118628,0.038241,0.031528,0
48,0.816683,4.442192,2.789600,20.021520,0.224877,0.438480,0.015654,0.032014,0.015654,0.013247,0
49,0.833350,3.253683,2.789760,23.249327,0.215196,0.426593,0.015224,0.033767,0.015224,0.010642,0
50,0.850017,4.389643,2.787200,28.249966,0.198775,0.403064,0.014742,0.036510,0.014742,0.007795,0
51,0.866684,3.274682,2.774080,39.494344,0.187255,0.375980,0.015480,0.041597,0.015480,0.007795,0
52,0.883351,3.324536,2.795680,58.442354,0.174142,0.359559,0.016561,0.048455,0.016561,0.004792,0
53,0.900018,4.321986,2.805280,75.430143,0.163358,0.340809,0.044701,0.106458,0.044701,0.045608,0
54,0.916685,3.190063,2.740320,79.778750,0.168995,0.353554,0.053430,0.107222,0.053430,0.072865,0
55,0.933352,4.488759,2.741600,95.952232,0.165686,0.329534,0.100660,0.288559,0.100660,0.047934,0
56,0.950019,3.069177,2.632000,125.011617,0.130147,0.263113,0.095532,0.303559,0.095532,0.070191,0
57,0.966686,2.978046,2.593760,124.666857,0.111520,0.233946,0.123671,0.334479,0.123671,0.108646,0
58,0.983353,4.236946,2.555200,120.271048,0.090196,0.197059,0.159290,0.270677,0.159290,0.196389,0
59,1.000020,2.955684,2.516480,115.126061,0.085172,0.173652,0.123056,0.295747,0.123056,0.102535,0
60,1.016687,3.024783,2.662400,115.900339,0.085539,0.152819,0.134331,0.274062,0.134331,0.121667,0
61,1.033354,3.399787,2.511520,107.046136,0.071691,0.132475,0.112120,0.234497,0.112120,0.124792,0
62,1.050021,3.454249,2.503040,89.604976,0.077206,0.142034,0.096316,0.309028,0.096316,0.077309,0
63,1.066688,3.114341,2.531680,83.942835,0.114461,0.230760,0.106412,0.284340,0.106412,0.094896,0
64,1.083355,3.477022,2.538080,65.506074,0.191054,0.368260,0.102616,0.209653,0.102616,0.085903,0
65,1.100022,3.262179,2.576800,42.535498,0.270588,0.492034,0.087643,0.179479,0.087643,0.074826,0
