frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.000002,1.278700,0.946016,0.000080,1.000000,1.000000,0.000936,0.002031,0.000936,0.000799,0
17,0.000002,0.951300,0.622592,0.000288,1.000000,1.000000,0.000860,0.001719,0.000860,0.000729,0
18,0.000002,1.261600,0.912960,0.000000,1.000000,1.000000,0.000878,0.001788,0.000878,0.000747,0
19,0.000002,1.134900,0.626592,0.000105,1.000000,1.000000,0.000714,0.001580,0.000714,0.000642,0
20,0.000002,1.339000,0.902240,0.000000,1.000000,1.000000,0.000723,0.001181,0.000723,0.000868,0
21,0.000002,1.003900,0.623872,0.000180,1.000000,1.000000,0.000783,0.001389,0.000783,0.000833,0
22,0.000002,1.374400,0.996768,0.000354,1.000000,1.000000,0.000806,0.001215,0.000806,0.000799,0
23,0.000002,0.966800,0.624352,0.000000,1.000000,1.000000,0.000739,0.001354,0.000739,0.000625,0
24,0.000002,1.269900,0.931680,0.000178,1.000000,1.000000,0.000633,0.001250,0.000633,0.000486,0
25,0.000003,0.949400,0.628160,0.000000,1.000000,1.000000,0.000804,0.002309,0.000804,0.000521,0
26,0.000003,1.257100,0.908896,0.000139,1.000000,1.000000,0.000586,0.001510,0.000586,0.000469,0
27,0.000003,0.981500,0.619968,0.000033,1.000000,1.000000,0.000621,0.001285,0.000621,0.000486,0
28,0.000003,0.974100,0.929280,0.000163,1.000000,1.000000,0.000608,0.001163,0.000608,0.000625,0
29,0.000003,1.670700,0.625024,0.000109,1.000000,1.000000,0.000654,0.001128,0.000654,0.000590,0
30,0.000003,1.357100,0.628832,0.000000,1.000000,1.000000,0.000675,0.001319,0.000675,0.000660,0
31,0.000003,0.988300,0.623808,0.000076,1.000000,1.000000,0.000702,0.000972,0.000702,0.000712,0
32,0.000003,1.149500,0.621536,0.000112,1.000000,1.000000,0.000702,0.001111,0.000702,0.000660,0
33,0.000003,1.028400,0.623168,0.000142,1.000000,1.000000,0.000561,0.000920,0.000561,0.000538,0
34,0.000003,1.108300,0.628000,0.000149,1.000000,1.000000,0.000644,0.001024,0.000644,0.000625,0
35,0.000004,0.973100,0.629600,0.000000,1.000000,1.000000,0.000725,0.001597,0.000725,0.000590,0
36,0.000004,1.279600,0.625504,0.000103,1.000000,1.000000,0.000594,0.001163,0.000594,0.000556,0
37,0.000004,0.976000,0.623936,0.000063,1.000000,1.000000,0.000473,0.000833,0.000473,0.000417,0
38,0.000004,1.269100,0.889344,0.000142,1.000000,1.000000,0.000658,0.001198,0.000658,0.000677,0
39,0.000004,0.999900,0.625312,0.000000,1.000000,1.000000,0.000656,0.001233,0.000656,0.000556,0
40,0.000004,1.252800,0.903008,0.000164,1.000000,1.000000,0.000571,0.000955,0.000571,0.000521,0
41,0.000004,0.965700,0.620768,0.000209,1.000000,1.000000,0.000710,0.001042,0.000710,0.000677,0
42,0.000004,1.110400,0.894240,0.000036,1.000000,1.000000,0.000710,0.001215,0.000710,0.000729,0
43,0.000004,0.967600,0.629088,0.000000,1.000000,1.000000,0.000702,0.001267,0.000702,0.000712,0
44,0.000004,1.329000,0.747168,0.000000,1.000000,1.000000,0.000700,0.001823,0.000700,0.000625,0
45,0.000005,0.987100,0.622080,0.000204,1.000000,1.000000,0.000818,0.001146,0.000818,0.000660,0
46,0.000005,0.964600,0.990976,0.000176,1.000000,1.000000,0.000604,0.001632,0.000604,0.000451,0
47,0.000005,1.003700,0.624768,0.000041,1.000000,1.000000,0.000793,0.001042,0.000793,0.000781,0
48,0.000005,0.965400,0.625536,0.000154,1.000000,1.000000,0.000710,0.001059,0.000710,0.000712,0
49,0.000005,0.984700,0.630592,0.000000,1.000000,1.000000,0.000712,0.001319,0.000712,0.000729,0
50,0.000005,0.946600,0.623872,0.000125,1.000000,1.000000,0.000667,0.001233,0.000667,0.000590,0
