frame,time_s,cpu_ms,gpu_ms,epe_px,epe_within1,epe_within2,scene_change,sc_max,sc_mean,sc_median,cut
16,0.283339,4.542861,2.763520,1.387809,0.650368,0.914706,0.007922,0.014271,0.007922,0.008993,0
17,0.300006,3.387724,2.776160,1.353386,0.653309,0.918505,0.008981,0.014826,0.008981,0.009462,0
18,0.316673,3.232252,2.781760,1.382548,0.661152,0.915809,0.008083,0.013194,0.008083,0.008681,0
19,0.333340,4.339198,2.771040,1.397255,0.656373,0.920466,0.010627,0.017604,0.010627,0.011042,0
20,0.350007,3.259374,2.801120,1.394215,0.653922,0.921691,0.010521,0.016476,0.010521,0.013802,0
21,0.366674,4.918204,2.765120,1.363541,0.665931,0.926961,0.009894,0.017726,0.009894,0.012066,0
22,0.383341,3.412250,2.756800,1.395085,0.663971,0.928309,0.009502,0.016215,0.009502,0.011215,0
23,0.400008,3.180295,2.779520,1.350876,0.661887,0.931618,0.009909,0.019167,0.009909,0.010764,0
24,0.416675,4.371009,2.774560,1.349705,0.661765,0.932598,0.009321,0.017847,0.009321,0.011441,0
25,0.433342,3.409915,2.757440,1.413036,0.666912,0.932230,0.009718,0.018420,0.009718,0.010920,0
26,0.450009,4.872139,2.766240,1.488923,0.664951,0.929167,0.008113,0.018351,0.008113,0.007865,0
27,0.466676,3.402051,2.763200,1.538068,0.664706,0.928676,0.008775,0.018160,0.008775,0.007326,0
28,0.483343,3.131253,2.760960,1.468761,0.660049,0.929167,0.008486,0.018420,0.008486,0.006858,0
29,0.500010,4.284055,2.777760,1.408531,0.676961,0.934436,0.008258,0.018125,0.008258,0.005330,0
30,0.516677,3.381713,2.761920,1.461823,0.672549,0.935049,0.009267,0.017899,0.009267,0.007795,0
31,0.533344,5.255597,2.778720,1.649671,0.675000,0.928922,0.010463,0.020382,0.010463,0.007170,0
32,0.550011,3.652951,2.791040,1.701798,0.673652,0.926593,0.012614,0.034427,0.012614,0.007622,0
33,0.566678,3.480639,2.767040,1.767798,0.667647,0.923407,0.013729,0.038490,0.013729,0.010156,0
34,0.583345,4.439306,2.770560,1.774216,0.670956,0.920956,0.014919,0.043472,0.014919,0.011615,0
35,0.600012,3.465550,2.768480,1.999655,0.674265,0.920588,0.014934,0.041389,0.014934,0.011962,0
