frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,5.086500,0.390368,40.223053,0.983267,52.320629,80.913936
17,0.000002,4.551400,0.386016,40.216230,0.983403,51.707278,70.954292
18,0.000002,4.697700,0.389664,40.202572,0.983471,51.544692,99.000000
19,0.000002,4.708400,0.389824,40.257544,0.983838,51.304448,76.606607
20,0.000002,5.138700,0.385920,40.217857,0.983539,52.062361,99.000000
21,0.000002,4.881200,0.390080,40.177049,0.983479,51.179483,73.323003
22,0.000002,5.140500,0.384576,40.059385,0.982875,52.015923,68.998037
23,0.000002,5.120200,0.389728,40.068177,0.982856,51.251947,99.000000
24,0.000002,5.266300,0.389472,40.238953,0.983751,51.143692,70.373419
25,0.000003,4.811400,0.386688,40.150173,0.983229,52.177229,99.000000
26,0.000003,5.005000,0.387904,40.070699,0.982931,51.913967,70.381445
27,0.000003,4.668200,0.387872,40.053087,0.982961,51.328140,81.135617
28,0.000003,4.886500,0.389760,40.103549,0.982970,52.039450,70.994130
29,0.000003,5.230300,0.387712,40.088659,0.983031,51.660833,77.798512
30,0.000003,5.111500,0.651296,40.149857,0.983283,52.021477,99.000000
31,0.000003,4.926700,0.390496,40.184160,0.983621,50.893397,73.015640
32,0.000003,5.248200,0.385536,40.150130,0.983297,52.196890,73.590674
33,0.000003,4.792400,0.388704,40.141934,0.983198,51.247738,72.745808
34,0.000003,4.976500,0.388416,40.078583,0.982792,52.623861,75.810847
35,0.000004,4.574200,0.391264,40.049317,0.982803,52.069276,99.000000
36,0.000004,5.090300,0.391872,40.048817,0.982912,51.816794,74.441863
37,0.000004,4.929200,0.385984,40.141699,0.983438,51.418113,86.856916
38,0.000004,5.217600,0.391328,40.123571,0.983228,52.185105,78.923733
39,0.000004,4.853200,0.389280,40.105109,0.983291,51.229838,99.000000
40,0.000004,5.042300,0.390208,39.974193,0.982566,52.103203,77.283962
41,0.000004,5.141600,0.387072,40.013055,0.982702,51.279118,76.421480
42,0.000004,5.300000,0.389920,40.186973,0.983642,51.191235,82.370209
43,0.000004,4.693300,0.391872,40.092425,0.983070,52.215091,99.000000
44,0.000004,4.961200,0.388224,40.013494,0.982737,51.929263,99.000000
45,0.000005,5.029500,0.387584,40.021771,0.982910,51.308243,75.296493
46,0.000005,5.124500,0.386208,40.063286,0.982849,52.052723,79.164737
47,0.000005,4.761200,0.656064,40.053261,0.982935,51.658819,83.138093
48,0.000005,5.145200,0.392000,40.103491,0.983143,52.031429,78.972191
49,0.000005,4.865300,0.387872,40.144654,0.983504,50.880675,99.000000
50,0.000005,5.070400,0.388672,40.119340,0.983231,52.184446,78.627602
51,0.000005,4.697400,0.387232,40.105410,0.983097,51.251898,76.122556
52,0.000005,4.828700,0.391488,40.030561,0.982618,52.633076,85.386221
53,0.000005,4.669600,0.386432,39.995527,0.982594,52.089149,77.741962
54,0.000005,4.909000,0.394560,39.998563,0.982717,51.811989,99.000000
55,0.000006,4.836200,0.660128,40.102785,0.983292,51.411602,75.418225
56,0.000006,5.005300,0.386496,40.091217,0.983110,52.183697,99.000000
57,0.000006,4.632100,0.391488,40.079914,0.983210,51.216550,72.764264
58,0.000006,4.919700,0.384960,39.945311,0.982456,52.110133,82.372857
59,0.000006,4.610500,0.388512,39.993057,0.982636,51.269880,99.000000
60,0.000006,5.033200,0.390848,40.169082,0.983591,51.190733,74.501962
61,0.000006,4.938300,0.651584,40.073706,0.983007,52.220869,99.000000
62,0.000006,5.375300,0.387968,39.995314,0.982664,51.927730,72.837038
63,0.000006,4.870300,0.388064,40.011355,0.982880,51.298151,73.370438
64,0.000006,4.971900,0.391552,40.050532,0.982805,52.062664,99.000000
65,0.000007,4.711400,0.390848,40.042897,0.982900,51.661466,70.734330
66,0.000007,4.637300,0.578976,40.091526,0.983098,52.041814,99.000000
67,0.000007,4.598000,0.392608,40.132379,0.983463,50.877719,74.794428
68,0.000007,5.170400,0.385568,40.110297,0.983206,52.179253,73.083755
69,0.000007,4.721900,0.390560,40.091975,0.983061,51.255011,99.000000
70,0.000007,4.731300,0.388544,40.014252,0.982563,52.644646,77.650066
71,0.000007,4.731600,0.388416,39.977613,0.982530,52.089725,99.000000
72,0.000007,4.661400,0.389536,39.978810,0.982654,51.802324,73.784555
73,0.000007,4.754700,0.385120,40.088332,0.983247,51.398899,99.000000
74,0.000007,5.003500,0.677472,40.079478,0.983074,52.179500,75.543486
75,0.000008,4.733200,0.388096,40.069551,0.983184,51.217414,77.461427
76,0.000008,4.634700,0.389952,39.934929,0.982421,52.108677,97.590350
77,0.000008,4.462900,0.391360,39.984953,0.982614,51.275265,74.827529
78,0.000008,4.956600,0.389728,40.162767,0.983574,51.189632,99.000000
79,0.000008,4.836700,0.669792,40.068187,0.982989,52.223390,77.546824
80,0.000008,4.936600,0.385760,39.988764,0.982643,51.933687,70.509853
81,0.000008,12.519100,0.389472,40.007620,0.982873,51.305133,81.947198
82,0.000008,5.262200,0.389632,40.045068,0.982792,52.064546,99.000000
83,0.000008,4.552900,0.390336,40.036434,0.982885,51.652514,99.000000
84,0.000008,5.135700,0.418816,40.085102,0.983081,52.031207,76.019418
85,0.000009,4.813300,0.411584,40.127325,0.983450,50.827726,99.000000
86,0.000009,5.073300,0.390240,40.110933,0.983198,52.203052,76.516232
87,0.000009,4.923000,0.386304,40.091913,0.983052,51.222601,79.048254
88,0.000009,5.157100,0.381984,40.012167,0.982548,52.647932,99.000000
89,0.000009,4.652500,0.402208,39.973005,0.982510,52.094025,72.027484
90,0.000009,4.781100,0.392352,39.976395,0.982639,51.777238,99.000000
91,0.000009,4.900200,0.389824,40.085626,0.983236,51.401006,79.866690
92,0.000009,4.855100,0.651168,40.081152,0.983066,52.172758,75.238802
93,0.000009,4.556200,0.390528,40.071713,0.983181,51.219427,99.000000
94,0.000010,4.767600,0.388384,39.936168,0.982415,52.110289,76.223827
95,0.000010,4.459500,0.387648,39.986771,0.982613,51.267178,99.000000
96,0.000010,4.802200,0.392224,40.160506,0.983572,51.176752,75.465635
