frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.566666,12.752679,2.424160,36.193051,0.951661,36.042443,36.590882
17,0.599999,14.469790,2.446560,36.440719,0.953418,36.683755,37.144152
18,0.633333,12.719667,2.451360,36.443034,0.953048,36.252181,36.904230
19,0.666666,12.681506,2.431200,36.340590,0.953479,36.931616,37.558951
20,0.699999,14.126636,2.448160,36.566408,0.955285,36.003776,36.594902
21,0.733333,12.742690,2.465120,36.607919,0.956614,36.834534,37.044757
22,0.766666,12.782906,2.443040,36.511965,0.957606,35.983511,36.424369
23,0.799999,14.244687,2.473760,36.656209,0.960688,36.456563,36.507445
24,0.833333,12.884196,2.465120,36.512291,0.960733,34.781185,35.206950
25,0.866666,12.899655,2.463840,36.792098,0.963000,35.195612,35.633345
26,0.899999,13.869263,2.475040,36.677898,0.963697,28.399070,28.566190
27,0.933332,11.536708,2.465600,35.491480,0.951805,17.592005,17.589299
28,0.966666,11.136106,2.396000,35.908884,0.960102,17.228669,17.214151
29,0.999999,10.900114,2.273760,36.572943,0.974301,21.726613,21.722217
30,1.033332,11.145655,2.209120,37.256828,0.975485,22.755540,22.728038
31,1.066666,12.852315,2.187040,34.716354,0.935513,18.170662,18.178354
32,1.099999,11.819399,2.166560,31.795958,0.911257,17.482846,17.505822
33,1.133332,11.995709,2.252160,32.493238,0.921167,21.250911,21.483427
34,1.166666,11.832553,2.314240,32.787753,0.922435,23.315230,23.425306
35,1.199999,11.635764,2.338240,32.851965,0.922940,29.409084,29.549553
36,1.233332,13.009731,2.340480,32.814623,0.921052,29.925129,30.033241
37,1.266665,11.644871,2.312640,32.790494,0.920920,30.394805,30.432510
38,1.299999,11.623211,2.334240,32.847498,0.921813,30.778474,30.793978
39,1.333332,11.598344,2.345600,32.822642,0.921008,30.883676,31.028578
40,1.366665,11.625926,2.332480,32.864511,0.920740,31.023519,31.132036
41,1.399999,13.013057,2.336800,32.992420,0.921972,31.052621,31.199680
42,1.433332,12.272378,2.328000,32.991808,0.921309,31.449417,31.629289
43,1.466665,11.843935,2.353120,32.969180,0.919858,31.492544,31.688543
44,1.499999,11.765868,2.487200,32.993861,0.919287,31.791452,32.037943
45,1.533332,13.093318,2.365280,33.149262,0.920520,32.004819,32.292709
46,1.566665,11.714712,2.353760,33.300685,0.921605,32.317154,32.573722
47,1.599998,11.728618,2.363840,33.270750,0.920413,32.465966,32.791163
48,1.633332,12.024393,2.365600,33.361337,0.921283,32.828515,33.156274
49,1.666665,13.293734,2.362240,33.272281,0.918588,33.014346,33.406178
50,1.699998,11.819849,2.353600,33.415646,0.919367,33.323049,33.799718
51,1.733332,11.769114,2.337600,33.531048,0.920120,33.384979,33.812391
52,1.766665,11.821633,2.359840,33.426744,0.918770,33.459026,33.966261
53,1.799998,11.810842,2.373440,33.527534,0.919896,33.538228,33.996989
54,1.833332,13.026562,2.367040,33.461793,0.918353,33.597230,34.104285
55,1.866665,11.784503,2.336160,33.425891,0.918398,33.562844,33.920294
56,1.899998,11.838284,2.367840,33.512407,0.919781,33.343995,33.600528
57,1.933331,11.868290,2.372320,33.367120,0.918214,33.179026,33.441008
58,1.966665,13.308872,2.369440,33.376484,0.917837,32.870248,33.122326
59,1.999998,11.883339,2.356000,33.518263,0.919440,32.811024,33.025987
60,2.033331,11.925708,2.372320,33.396778,0.918336,32.348810,32.596268
61,2.066665,11.909067,2.373440,33.373514,0.918050,32.310365,32.561835
62,2.099998,13.350600,2.373600,33.309240,0.917497,31.999433,32.288300
63,2.133331,12.059780,2.367040,33.303725,0.918278,31.927787,32.128163
64,2.166664,12.382014,2.353440,33.487019,0.920973,31.508480,31.733123
65,2.199998,12.196045,2.384960,33.358932,0.919996,31.661863,31.780209
66,2.233331,13.547529,2.379680,33.396722,0.921167,31.292004,31.471311
67,2.266664,12.335687,2.360320,33.317068,0.920907,31.305018,31.481701
68,2.299998,12.237914,2.369120,33.128112,0.921243,30.586276,30.834095
69,2.333331,13.484311,2.378720,33.076639,0.923556,29.490836,29.619717
70,2.366664,12.266086,2.387840,33.060564,0.924156,28.024984,28.154015
71,2.399998,12.369219,2.358080,33.271198,0.927683,27.218972,27.284585
72,2.433331,12.196075,2.368800,33.166144,0.925173,20.631498,20.652255
73,2.466664,13.057851,2.393760,32.416107,0.906070,16.418150,16.418844
74,2.499997,11.539173,2.343520,33.185840,0.919566,19.907896,19.961625
75,2.533331,11.384993,2.304320,35.556919,0.953412,27.066656,27.475952
76,2.566664,11.305455,2.262080,36.554377,0.960538,29.153625,29.534421
77,2.599997,11.325261,2.237120,35.964908,0.955755,29.771502,30.040024
78,2.633331,11.313831,2.215040,35.446593,0.952333,30.684541,30.651548
79,2.666664,12.530543,2.213120,35.343839,0.949493,30.438772,30.512595
80,2.699997,11.671501,2.196640,35.324533,0.947532,31.214949,31.290529
