frame,time_s,cpu_ms,gpu_ms,psnr_upscale,ssim_upscale,tstab_upscale,tstab_ref
16,0.000002,11.452040,1.626880,39.672510,0.974376,56.629100,79.051493
17,0.000002,11.341262,1.634240,39.663232,0.974271,55.833157,71.417471
18,0.000002,11.194055,1.630400,39.593552,0.973879,56.231435,99.000000
19,0.000002,11.286399,1.628320,39.594792,0.973816,56.421270,71.213348
20,0.000002,12.634527,1.616960,39.551438,0.973539,57.022733,99.000000
21,0.000002,11.335231,1.620640,39.526937,0.973356,56.871827,72.874473
22,0.000002,11.249920,1.614400,39.479476,0.973148,57.576776,74.905692
23,0.000002,11.189147,1.641440,39.472501,0.973001,56.828017,99.000000
24,0.000002,11.790144,1.634880,39.492696,0.972986,56.388979,99.000000
25,0.000003,14.533910,1.648480,39.469335,0.972900,58.003921,99.000000
26,0.000003,11.127191,1.631040,39.424288,0.972714,57.612975,70.676722
27,0.000003,11.231516,1.621920,39.415116,0.972649,57.238973,80.122973
28,0.000003,11.262864,1.632960,39.434184,0.972693,57.359741,72.745995
29,0.000003,11.272553,1.620480,39.444357,0.972765,57.320473,75.051338
30,0.000003,11.225074,1.637120,39.466608,0.972821,57.075949,99.000000
31,0.000003,12.501518,1.636000,39.465133,0.972772,56.754116,77.709015
32,0.000003,11.267924,1.593280,39.440137,0.972629,57.922433,76.911338
33,0.000003,11.337995,1.628480,39.430170,0.972532,57.236782,76.686945
34,0.000003,11.278043,1.638560,39.402196,0.972414,58.116283,76.589002
35,0.000004,11.213281,1.639840,39.404953,0.972460,57.246926,99.000000
36,0.000004,11.234762,1.633120,39.380724,0.972372,57.141964,80.628178
37,0.000004,12.629558,1.619680,39.408346,0.972522,56.940418,79.500455
38,0.000004,11.263947,1.595840,39.391987,0.972448,57.516855,73.672973
39,0.000004,11.202852,1.622880,39.389114,0.972436,57.232434,99.000000
40,0.000004,11.210166,1.632960,39.350585,0.972287,57.855491,78.057181
41,0.000004,11.288443,1.617600,39.360029,0.972267,57.061061,71.007082
